sta_id,ds_cts_end_us,gap_us,backoff_slots,outcome
0,122906,34,0,SUCCESS
0,1.14823e+06,465,48,TIMING_EXPIRED
0,1.22976e+06,79,5,SUCCESS
0,1.84503e+06,711,75,TIMING_EXPIRED
0,1.89644e+06,52,2,SUCCESS
0,1.94086e+06,43,1,SUCCESS
0,2.49399e+06,70,4,SUCCESS
0,2.60697e+06,88,6,SUCCESS
0,2.71801e+06,465,48,TIMING_EXPIRED
0,3.30909e+06,52,2,SUCCESS
0,3.32492e+06,61,3,SUCCESS
0,3.39634e+06,61,3,SUCCESS
0,3.62331e+06,70,4,SUCCESS
0,3.81462e+06,70,4,SUCCESS
0,3.83644e+06,1743,190,TIMING_EXPIRED
0,3.95001e+06,97,7,SUCCESS
0,4.02453e+06,34,0,SUCCESS
0,4.50915e+06,43,1,RTS_COLLISION
0,4.60022e+06,79,5,SUCCESS
0,4.64425e+06,79,5,SUCCESS
0,4.73353e+06,88,6,SUCCESS
0,4.75746e+06,70,4,SUCCESS
0,4.80521e+06,1095,118,TIMING_EXPIRED
0,4.93292e+06,43,1,SUCCESS
0,4.97432e+06,43,1,SUCCESS
0,5.02333e+06,70,4,SUCCESS
0,5.2535e+06,79,5,SUCCESS
0,5.29034e+06,70,4,SUCCESS
0,5.5403e+06,70,4,SUCCESS
0,5.5914e+06,43,1,SUCCESS
0,5.94048e+06,61,3,SUCCESS
0,6.21167e+06,43,1,SUCCESS
0,6.31906e+06,34,0,SUCCESS
0,6.45406e+06,43,1,SUCCESS
0,6.47771e+06,34,0,RTS_COLLISION
0,6.658e+06,52,2,SUCCESS
0,6.86925e+06,79,5,SUCCESS
0,6.87721e+06,1104,119,TIMING_EXPIRED
0,6.94872e+06,52,2,SUCCESS
0,7.01353e+06,34,0,SUCCESS
0,7.21318e+06,34,0,SUCCESS
0,7.35616e+06,876,94,TIMING_EXPIRED
0,7.51656e+06,34,0,SUCCESS
0,7.5916e+06,79,5,SUCCESS
0,7.7014e+06,43,1,SUCCESS
0,7.71907e+06,474,49,TIMING_EXPIRED
0,7.82959e+06,88,6,SUCCESS
0,7.965e+06,70,4,SUCCESS
0,8.06834e+06,52,2,SUCCESS
0,8.14949e+06,474,49,TIMING_EXPIRED
0,8.43661e+06,921,99,TIMING_EXPIRED
0,8.56546e+06,88,6,SUCCESS
0,8.62852e+06,97,7,SUCCESS
0,8.63669e+06,52,2,SUCCESS
0,8.65943e+06,97,7,SUCCESS
0,8.74115e+06,97,7,SUCCESS
0,8.75778e+06,43,1,SUCCESS
0,8.78566e+06,474,49,TIMING_EXPIRED
0,8.85135e+06,43,1,SUCCESS
0,9.06004e+06,79,5,SUCCESS
0,9.25216e+06,34,0,SUCCESS
0,9.31817e+06,88,6,SUCCESS
0,9.45226e+06,97,7,SUCCESS
0,9.71716e+06,43,1,SUCCESS
0,9.73391e+06,61,3,SUCCESS
0,9.92527e+06,61,3,SUCCESS
0,9.99079e+06,97,7,SUCCESS
