time_us,node_id,frame_type,size_bytes
1.00005e+06,9,QOSDATA_TID6,1066
1.00024e+06,20,ACK,14
1.00028e+06,9,CTL,20
1.00037e+06,19,RTS,20
1.00045e+06,20,CTS,14
1.00051e+06,19,QOSDATA_TID6,1066
1.00069e+06,20,ACK,14
1.00074e+06,19,CTL,20
1.00082e+06,11,RTS,20
1.00082e+06,2,RTS,20
1.00082e+06,14,RTS,20
1.0009e+06,20,CTS,14
1.00096e+06,2,QOSDATA_TID6,1066
1.00114e+06,20,ACK,14
1.00119e+06,2,CTL,20
1.00128e+06,15,RTS,20
1.00136e+06,20,CTS,14
1.00142e+06,15,QOSDATA_TID6,1066
1.00161e+06,20,ACK,14
1.00165e+06,15,CTL,20
1.00174e+06,7,RTS,20
1.00174e+06,6,RTS,20
1.00182e+06,20,CTS,14
1.00188e+06,6,QOSDATA_TID6,1066
1.00206e+06,20,ACK,14
1.00211e+06,6,CTL,20
1.00219e+06,13,RTS,20
1.00227e+06,20,CTS,14
1.00233e+06,13,QOSDATA_TID6,1066
1.00252e+06,20,ACK,14
1.00256e+06,13,CTL,20
1.00265e+06,1,RTS,20
1.00265e+06,0,RTS,20
1.0028e+06,1,RTS,20
1.00288e+06,20,CTS,14
1.00294e+06,1,QOSDATA_TID6,1066
1.00312e+06,20,ACK,14
1.00317e+06,1,QOSDATA_TID6,1066
1.00335e+06,20,ACK,14
1.0034e+06,1,CTL,20
1.00348e+06,3,RTS,20
1.00356e+06,20,CTS,14
1.00362e+06,3,QOSDATA_TID6,1066
1.0038e+06,20,ACK,14
1.00385e+06,3,CTL,20
1.00394e+06,16,RTS,20
1.00394e+06,14,RTS,20
1.00406e+06,11,RTS,20
1.00406e+06,18,RTS,20
1.00414e+06,20,CTS,14
1.0042e+06,11,QOSDATA_TID6,1066
1.00438e+06,20,ACK,14
1.00442e+06,11,CTL,20
1.00452e+06,18,RTS,20
1.0046e+06,20,CTS,14
1.00466e+06,18,QOSDATA_TID6,1066
1.00484e+06,20,ACK,14
1.00489e+06,18,CTL,20
1.00497e+06,15,RTS,20
1.00497e+06,12,RTS,20
1.00505e+06,20,CTS,14
1.00511e+06,12,QOSDATA_TID6,1066
1.0053e+06,20,ACK,14
1.00534e+06,12,CTL,20
1.00543e+06,4,RTS,20
1.00551e+06,20,CTS,14
1.00557e+06,4,QOSDATA_TID6,1066
1.00575e+06,20,ACK,14
1.0058e+06,4,CTL,20
1.00588e+06,10,RTS,20
1.00588e+06,14,RTS,20
1.00588e+06,13,RTS,20
1.00588e+06,0,RTS,20
1.00602e+06,13,RTS,20
1.0061e+06,20,CTS,14
1.00616e+06,13,QOSDATA_TID6,1066
1.00635e+06,20,ACK,14
1.00639e+06,13,CTL,20
1.00648e+06,16,RTS,20
1.00656e+06,20,CTS,14
1.00662e+06,16,QOSDATA_TID6,1066
1.0068e+06,20,ACK,14
1.00685e+06,16,CTL,20
1.00693e+06,8,RTS,20
1.00693e+06,7,RTS,20
1.00706e+06,10,RTS,20
1.00714e+06,20,CTS,14
1.0072e+06,10,QOSDATA_TID6,1066
1.00739e+06,20,ACK,14
1.00743e+06,10,CTL,20
1.00752e+06,14,RTS,20
1.00752e+06,9,RTS,20
1.0076e+06,20,CTS,14
1.00766e+06,9,QOSDATA_TID6,1066
1.00784e+06,20,ACK,14
1.00789e+06,9,CTL,20
1.00797e+06,16,RTS,20
1.00805e+06,20,CTS,14
1.00811e+06,16,QOSDATA_TID6,1066
1.0083e+06,20,ACK,14
1.00834e+06,16,CTL,20
1.00844e+06,11,RTS,20
1.00844e+06,19,RTS,20
1.00844e+06,15,RTS,20
1.00844e+06,18,RTS,20
1.00856e+06,6,RTS,20
1.00864e+06,20,CTS,14
1.0087e+06,6,QOSDATA_TID6,1066
1.00888e+06,20,ACK,14
1.00892e+06,6,CTL,20
1.00901e+06,8,RTS,20
1.00901e+06,19,RTS,20
1.00901e+06,15,RTS,20
1.00913e+06,18,RTS,20
1.00921e+06,20,CTS,14
1.00927e+06,18,QOSDATA_TID6,1066
1.00946e+06,20,ACK,14
1.0095e+06,18,CTL,20
1.00959e+06,0,CTS,14
1.00959e+06,2,RTS,20
1.00969e+06,0,RTS,20
1.00977e+06,20,CTS,14
1.00983e+06,0,QOSDATA_TID6,1066
1.01001e+06,20,ACK,14
1.01005e+06,0,QOSDATA_TID6,1066
1.01024e+06,20,ACK,14
1.01028e+06,0,CTL,20
1.01036e+06,20,BEACON,152
1.01062e+06,14,RTS,20
1.01062e+06,1,RTS,20
1.01074e+06,7,RTS,20
1.01074e+06,11,RTS,20
1.01089e+06,11,RTS,20
1.01097e+06,20,CTS,14
1.01103e+06,11,QOSDATA_TID6,1066
1.01121e+06,20,ACK,14
1.01125e+06,11,CTL,20
1.01136e+06,19,RTS,20
1.01136e+06,7,RTS,20
1.01136e+06,8,RTS,20
1.01136e+06,14,RTS,20
1.01148e+06,3,RTS,20
1.01156e+06,20,CTS,14
1.01162e+06,3,QOSDATA_TID6,1066
1.0118e+06,20,ACK,14
1.01185e+06,3,CTL,20
1.01194e+06,2,RTS,20
1.01202e+06,20,CTS,14
1.01208e+06,2,QOSDATA_TID6,1066
1.01227e+06,20,ACK,14
1.01231e+06,2,CTL,20
1.0124e+06,12,RTS,20
1.0124e+06,8,RTS,20
1.01248e+06,20,CTS,14
1.01254e+06,12,QOSDATA_TID6,1066
1.01272e+06,20,ACK,14
1.01276e+06,12,CTL,20
1.01285e+06,1,RTS,20
1.01293e+06,20,CTS,14
1.01299e+06,1,QOSDATA_TID6,1066
1.01318e+06,20,ACK,14
1.01322e+06,1,CTL,20
1.0133e+06,8,RTS,20
1.0133e+06,7,RTS,20
1.0133e+06,19,RTS,20
1.01343e+06,4,RTS,20
1.01343e+06,14,RTS,20
1.01351e+06,20,CTS,14
1.01357e+06,4,QOSDATA_TID6,1066
1.01375e+06,20,ACK,14
1.0138e+06,4,CTL,20
1.01388e+06,10,RTS,20
1.01388e+06,19,RTS,20
1.01396e+06,20,CTS,14
1.01402e+06,10,QOSDATA_TID6,1066
1.0142e+06,20,ACK,14
1.01425e+06,10,CTL,20
1.01434e+06,19,RTS,20
1.01442e+06,20,CTS,14
1.01448e+06,19,QOSDATA_TID6,1066
1.01466e+06,20,ACK,14
1.0147e+06,19,QOSDATA_TID6,1066
1.01489e+06,20,ACK,14
1.01493e+06,19,CTL,20
1.01502e+06,8,RTS,20
1.0151e+06,20,CTS,14
1.01516e+06,8,QOSDATA_TID6,1066
1.01534e+06,20,ACK,14
1.01538e+06,8,QOSDATA_TID6,1066
1.01557e+06,20,ACK,14
1.01561e+06,8,CTL,20
