time_us,node_id,frame_type,size_bytes
1.00002e+06,20,RTS,20
1.00002e+06,14,RTS,20
1.00008e+06,13,CTS,14
1.00014e+06,20,QOSDATA_TID0,66
1.00021e+06,13,ACK,14
1.00027e+06,13,RTS,20
1.00034e+06,20,CTS,14
1.0004e+06,13,QOSDATA_TID6,1066
1.00058e+06,20,ACK,14
1.00063e+06,13,QOSDATA_TID6,1066
1.00081e+06,20,ACK,14
1.00086e+06,13,CTL,20
1.00094e+06,5,RTS,20
1.00101e+06,20,CTS,14
1.00107e+06,5,QOSDATA_TID6,1066
1.00125e+06,20,ACK,14
1.0013e+06,5,CTL,20
1.00138e+06,1,RTS,20
1.00138e+06,9,RTS,20
1.00138e+06,16,RTS,20
1.00148e+06,17,RTS,20
1.00155e+06,20,CTS,14
1.00161e+06,17,QOSDATA_TID6,1066
1.00179e+06,20,ACK,14
1.00184e+06,17,CTL,20
1.00192e+06,15,RTS,20
1.00199e+06,20,CTS,14
1.00205e+06,15,QOSDATA_TID6,1066
1.00224e+06,20,ACK,14
1.00228e+06,15,CTL,20
1.00236e+06,11,RTS,20
1.00236e+06,3,RTS,20
1.00236e+06,0,CTS,14
1.00249e+06,0,RTS,20
1.00256e+06,20,CTS,14
1.00262e+06,0,QOSDATA_TID6,1066
1.0028e+06,20,ACK,14
1.00284e+06,0,CTL,20
1.00294e+06,10,RTS,20
1.00294e+06,16,RTS,20
1.00294e+06,18,RTS,20
1.00294e+06,7,RTS,20
1.00304e+06,15,RTS,20
1.00304e+06,11,RTS,20
1.00304e+06,9,RTS,20
1.0031e+06,20,CTS,14
1.00316e+06,9,QOSDATA_TID6,1066
1.00335e+06,20,ACK,14
1.00339e+06,9,CTL,20
1.00348e+06,11,RTS,20
1.00355e+06,20,CTS,14
1.00361e+06,11,QOSDATA_TID6,1066
1.00379e+06,20,ACK,14
1.00383e+06,11,CTL,20
1.00392e+06,15,RTS,20
1.00392e+06,18,RTS,20
1.00392e+06,7,RTS,20
1.00392e+06,10,RTS,20
1.00399e+06,20,CTS,14
1.00405e+06,18,QOSDATA_TID6,1066
1.00423e+06,20,ACK,14
1.00428e+06,18,CTL,20
1.00436e+06,15,RTS,20
1.00443e+06,20,CTS,14
1.00449e+06,15,QOSDATA_TID6,1066
1.00467e+06,20,ACK,14
1.00472e+06,15,CTL,20
1.0048e+06,12,RTS,20
1.0048e+06,14,RTS,20
1.0048e+06,8,RTS,20
1.00491e+06,3,RTS,20
1.00498e+06,20,CTS,14
1.00504e+06,3,QOSDATA_TID6,1066
1.00522e+06,20,ACK,14
1.00527e+06,3,CTL,20
1.00535e+06,1,RTS,20
1.00535e+06,16,RTS,20
1.00542e+06,20,CTS,14
1.00548e+06,16,QOSDATA_TID6,1066
1.00567e+06,20,ACK,14
1.00571e+06,16,CTL,20
1.0058e+06,0,RTS,20
1.0058e+06,10,RTS,20
1.0059e+06,1,RTS,20
1.0059e+06,6,RTS,20
1.0059e+06,12,RTS,20
1.0059e+06,19,RTS,20
1.00601e+06,0,RTS,20
1.00608e+06,20,CTS,14
1.00614e+06,0,QOSDATA_TID6,1066
1.00632e+06,20,ACK,14
1.00637e+06,0,CTL,20
1.00645e+06,12,RTS,20
1.00645e+06,5,RTS,20
1.00655e+06,16,RTS,20
1.00662e+06,20,CTS,14
1.00668e+06,16,QOSDATA_TID6,1066
1.00686e+06,20,ACK,14
1.00691e+06,16,CTL,20
1.00699e+06,5,RTS,20
1.00706e+06,20,CTS,14
1.00712e+06,5,QOSDATA_TID6,1066
1.0073e+06,20,ACK,14
1.00735e+06,5,CTL,20
1.00743e+06,1,RTS,20
1.00743e+06,7,RTS,20
1.0075e+06,20,CTS,14
1.00756e+06,1,QOSDATA_TID6,1066
1.00775e+06,20,ACK,14
1.00779e+06,1,QOSDATA_TID6,1066
1.00797e+06,20,ACK,14
1.00802e+06,1,CTL,20
1.0081e+06,17,RTS,20
1.00817e+06,20,CTS,14
1.00823e+06,17,QOSDATA_TID6,1066
1.00842e+06,20,ACK,14
1.00846e+06,17,CTL,20
1.00855e+06,19,RTS,20
1.00855e+06,6,RTS,20
1.00861e+06,20,CTS,14
1.00867e+06,6,QOSDATA_TID6,1066
1.00886e+06,20,ACK,14
1.0089e+06,6,CTL,20
1.009e+06,4,RTS,20
1.009e+06,9,RTS,20
1.009e+06,13,RTS,20
1.009e+06,19,RTS,20
1.009e+06,3,RTS,20
1.009e+06,10,RTS,20
1.00906e+06,20,CTS,14
1.00912e+06,4,QOSDATA_TID6,1066
1.00931e+06,20,ACK,14
1.00935e+06,4,CTL,20
1.00944e+06,3,RTS,20
1.00944e+06,7,RTS,20
1.00951e+06,20,CTS,14
1.00957e+06,3,QOSDATA_TID6,1066
1.00975e+06,20,ACK,14
1.0098e+06,3,CTL,20
1.0099e+06,8,RTS,20
1.0099e+06,10,RTS,20
1.0099e+06,13,RTS,20
1.0099e+06,7,RTS,20
1.01001e+06,14,RTS,20
1.01007e+06,20,CTS,14
1.01013e+06,14,QOSDATA_TID6,1066
1.01032e+06,20,ACK,14
1.01036e+06,14,QOSDATA_TID6,1066
1.01055e+06,20,ACK,14
1.01059e+06,14,QOSDATA_TID6,1066
1.01077e+06,20,ACK,14
1.01082e+06,14,CTL,20
1.01091e+06,18,RTS,20
1.01091e+06,11,RTS,20
1.01098e+06,20,CTS,14
1.01104e+06,18,QOSDATA_TID6,1066
1.01122e+06,20,ACK,14
1.01127e+06,18,CTL,20
1.01137e+06,10,RTS,20
1.01144e+06,20,CTS,14
1.0115e+06,10,QOSDATA_TID6,1066
1.01168e+06,20,ACK,14
