time_us,node_id,frame_type,size_bytes
1.00004e+06,13,RTS,20
1.00004e+06,8,RTS,20
1.00004e+06,10,RTS,20
1.00012e+06,20,CTS,14
1.00018e+06,8,QOSDATA_TID6,1066
1.00037e+06,20,ACK,14
1.00041e+06,8,CTL,20
1.0005e+06,1,RTS,20
1.0005e+06,7,RTS,20
1.00058e+06,20,CTS,14
1.00064e+06,7,QOSDATA_TID6,1066
1.00082e+06,20,ACK,14
1.00087e+06,7,CTL,20
1.00095e+06,19,RTS,20
1.00103e+06,20,CTS,14
1.00109e+06,19,QOSDATA_TID6,1066
1.00128e+06,20,ACK,14
1.00132e+06,19,CTL,20
1.00141e+06,17,RTS,20
1.00141e+06,16,RTS,20
1.00141e+06,3,RTS,20
1.00141e+06,4,RTS,20
1.00154e+06,15,RTS,20
1.00162e+06,20,CTS,14
1.00168e+06,15,QOSDATA_TID6,1066
1.00186e+06,20,ACK,14
1.00191e+06,15,QOSDATA_TID6,1066
1.00209e+06,20,ACK,14
1.00213e+06,15,QOSDATA_TID6,1066
1.00232e+06,20,ACK,14
1.00236e+06,15,CTL,20
1.00245e+06,18,RTS,20
1.00245e+06,11,RTS,20
1.00261e+06,11,RTS,20
1.00269e+06,20,CTS,14
1.00275e+06,11,QOSDATA_TID6,1066
1.00293e+06,20,ACK,14
1.00298e+06,11,CTL,20
1.00306e+06,18,RTS,20
1.00314e+06,20,CTS,14
1.0032e+06,18,QOSDATA_TID6,1066
1.00339e+06,20,ACK,14
1.00343e+06,18,CTL,20
1.00352e+06,5,RTS,20
1.00352e+06,17,RTS,20
1.0036e+06,20,CTS,14
1.00366e+06,5,QOSDATA_TID6,1066
1.00384e+06,20,ACK,14
1.00388e+06,5,CTL,20
1.00397e+06,15,RTS,20
1.00405e+06,20,CTS,14
1.00411e+06,15,QOSDATA_TID6,1066
1.0043e+06,20,ACK,14
1.00434e+06,15,CTL,20
1.00442e+06,18,RTS,20
1.00442e+06,8,RTS,20
1.00442e+06,10,RTS,20
1.00442e+06,4,RTS,20
1.00442e+06,13,RTS,20
1.00455e+06,9,RTS,20
1.00463e+06,20,CTS,14
1.00469e+06,9,QOSDATA_TID6,1066
1.00487e+06,20,ACK,14
1.00492e+06,9,QOSDATA_TID6,1066
1.0051e+06,20,ACK,14
1.00514e+06,9,CTL,20
1.00523e+06,0,RTS,20
1.00523e+06,16,RTS,20
1.00523e+06,2,RTS,20
1.00523e+06,12,RTS,20
1.00523e+06,18,RTS,20
1.00536e+06,17,RTS,20
1.00536e+06,4,RTS,20
1.00544e+06,20,CTS,14
1.0055e+06,17,QOSDATA_TID6,1066
1.00568e+06,20,ACK,14
1.00573e+06,17,QOSDATA_TID6,1066
1.00591e+06,20,ACK,14
1.00596e+06,17,QOSDATA_TID6,1066
1.00614e+06,20,ACK,14
1.00618e+06,17,CTL,20
1.00627e+06,2,RTS,20
1.00635e+06,20,CTS,14
1.00641e+06,2,QOSDATA_TID6,1066
1.00659e+06,20,ACK,14
1.00664e+06,2,CTL,20
1.00673e+06,3,RTS,20
1.00673e+06,1,RTS,20
1.00673e+06,11,RTS,20
1.00686e+06,10,RTS,20
1.00686e+06,8,RTS,20
1.00686e+06,16,RTS,20
1.00686e+06,18,RTS,20
1.00698e+06,3,RTS,20
1.00706e+06,20,CTS,14
1.00712e+06,3,QOSDATA_TID6,1066
1.0073e+06,20,ACK,14
1.00734e+06,3,QOSDATA_TID6,1066
1.00753e+06,20,ACK,14
1.00757e+06,3,CTL,20
1.00767e+06,0,RTS,20
1.00775e+06,20,CTS,14
1.00781e+06,0,QOSDATA_TID6,1066
1.00799e+06,20,ACK,14
1.00804e+06,0,CTL,20
1.00812e+06,10,RTS,20
1.00812e+06,4,RTS,20
1.0082e+06,20,CTS,14
1.00826e+06,10,QOSDATA_TID6,1066
1.00845e+06,20,ACK,14
1.00849e+06,10,QOSDATA_TID6,1066
1.00868e+06,20,ACK,14
1.00872e+06,10,CTL,20
1.0088e+06,7,RTS,20
1.0088e+06,12,RTS,20
1.00888e+06,20,CTS,14
1.00894e+06,7,QOSDATA_TID6,1066
1.00913e+06,20,ACK,14
1.00917e+06,7,CTL,20
1.00927e+06,8,RTS,20
1.00927e+06,1,RTS,20
1.00927e+06,16,RTS,20
1.00927e+06,6,RTS,20
1.00927e+06,4,RTS,20
1.00927e+06,19,RTS,20
1.00941e+06,18,RTS,20
1.00949e+06,20,CTS,14
1.00955e+06,18,QOSDATA_TID6,1066
1.00973e+06,20,ACK,14
1.00978e+06,18,CTL,20
1.00986e+06,11,RTS,20
1.00994e+06,20,CTS,14
1.01e+06,11,QOSDATA_TID6,1066
1.01019e+06,20,ACK,14
1.01023e+06,11,CTL,20
1.01032e+06,4,RTS,20
1.01032e+06,19,RTS,20
1.0104e+06,20,CTS,14
1.01046e+06,19,QOSDATA_TID6,1066
1.01064e+06,20,ACK,14
1.01068e+06,19,CTL,20
1.01078e+06,16,RTS,20
1.01078e+06,12,RTS,20
1.01078e+06,13,RTS,20
1.01078e+06,4,RTS,20
1.01086e+06,20,CTS,14
1.01092e+06,16,QOSDATA_TID6,1066
1.0111e+06,20,ACK,14
1.01115e+06,16,QOSDATA_TID6,1066
1.01133e+06,20,ACK,14
1.01138e+06,16,CTL,20
1.01147e+06,13,RTS,20
1.01147e+06,15,RTS,20
1.0116e+06,5,RTS,20
1.01168e+06,20,CTS,14
1.01174e+06,5,QOSDATA_TID6,1066
1.01192e+06,20,ACK,14
1.01197e+06,5,CTL,20
1.01206e+06,0,RTS,20
1.01214e+06,20,CTS,14
1.0122e+06,0,QOSDATA_TID6,1066
1.01238e+06,20,ACK,14
1.01242e+06,0,CTL,20
1.01251e+06,18,RTS,20
1.01259e+06,20,CTS,14
1.01265e+06,18,QOSDATA_TID6,1066
1.01283e+06,20,ACK,14
1.01288e+06,18,CTL,20
1.01296e+06,8,RTS,20
1.01296e+06,2,RTS,20
1.01304e+06,20,CTS,14
1.0131e+06,8,QOSDATA_TID6,1066
1.01329e+06,20,ACK,14
1.01333e+06,8,QOSDATA_TID6,1066
1.01352e+06,20,ACK,14
1.01356e+06,8,CTL,20
1.01365e+06,3,RTS,20
1.01365e+06,2,RTS,20
1.01365e+06,12,RTS,20
1.01365e+06,17,RTS,20
1.01379e+06,15,RTS,20
1.01387e+06,20,CTS,14
1.01393e+06,15,QOSDATA_TID6,1066
1.01412e+06,20,ACK,14
1.01416e+06,15,CTL,20
1.01425e+06,6,RTS,20
1.01433e+06,20,CTS,14
1.01439e+06,6,QOSDATA_TID6,1066
1.01457e+06,20,ACK,14
1.01462e+06,6,CTL,20
1.0147e+06,13,RTS,20
1.0147e+06,2,RTS,20
1.0147e+06,12,RTS,20
1.01482e+06,17,RTS,20
1.01482e+06,3,RTS,20
1.01499e+06,2,RTS,20
1.01507e+06,20,CTS,14
1.01513e+06,2,QOSDATA_TID6,1066
1.01532e+06,20,ACK,14
1.01536e+06,2,CTL,20
1.01544e+06,13,RTS,20
1.01544e+06,10,RTS,20
1.01557e+06,9,RTS,20
1.01565e+06,20,CTS,14
1.01571e+06,9,QOSDATA_TID6,1066
1.01589e+06,20,ACK,14
1.01594e+06,9,CTL,20
1.01602e+06,16,RTS,20
1.01602e+06,6,RTS,20
1.01602e+06,4,RTS,20
1.0161e+06,20,CTS,14
1.01616e+06,16,QOSDATA_TID6,1066
1.01634e+06,20,ACK,14
1.01639e+06,16,CTL,20
1.01648e+06,4,RTS,20
1.01656e+06,20,CTS,14
1.01662e+06,4,QOSDATA_TID6,1066
1.0168e+06,20,ACK,14
1.01684e+06,4,QOSDATA_TID6,1066
1.01703e+06,20,ACK,14
1.01707e+06,4,QOSDATA_TID6,1066
1.01726e+06,20,ACK,14
1.0173e+06,4,CTL,20
1.01739e+06,1,RTS,20
1.01739e+06,11,RTS,20
1.01739e+06,7,RTS,20
1.01739e+06,17,RTS,20
1.01752e+06,6,RTS,20
1.0176e+06,20,CTS,14
1.01766e+06,6,QOSDATA_TID6,1066
1.01784e+06,20,ACK,14
1.01788e+06,6,CTL,20
1.01798e+06,13,RTS,20
1.01798e+06,3,RTS,20
1.01798e+06,19,RTS,20
1.01813e+06,3,RTS,20
1.01821e+06,20,CTS,14
1.01827e+06,3,QOSDATA_TID6,1066
1.01846e+06,20,ACK,14
1.0185e+06,3,CTL,20
1.01859e+06,12,RTS,20
1.01859e+06,19,RTS,20
1.01873e+06,10,RTS,20
1.01881e+06,20,CTS,14
1.01887e+06,10,QOSDATA_TID6,1066
1.01905e+06,20,ACK,14
1.01909e+06,10,CTL,20
1.01918e+06,1,RTS,20
1.01918e+06,5,RTS,20
1.01918e+06,12,RTS,20
1.01926e+06,20,CTS,14
1.01932e+06,5,QOSDATA_TID6,1066
1.0195e+06,20,ACK,14
