bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,0.0358982,0.179491,2524
215,220,217.5,0.059067,0.295335,4153
220,225,222.5,0.0128431,0.0642156,903
225,230,227.5,0.000597355,0.00298677,42
230,235,232.5,0.00146494,0.0073247,103
235,240,237.5,0.00177784,0.0088892,125
240,245,242.5,0.00226141,0.0113071,159
245,250,247.5,0.000611577,0.00305789,43
250,255,252.5,0.000412459,0.0020623,29
255,260,257.5,0.000611577,0.00305789,43
260,265,262.5,0.000753805,0.00376902,53
265,270,267.5,0.00103826,0.0051913,73
270,275,272.5,0.000910255,0.00455127,64
275,280,277.5,0.00078225,0.00391125,55
280,285,282.5,0.00109515,0.00547575,77
285,290,287.5,0.000696914,0.00348457,49
290,295,292.5,0.000483573,0.00241786,34
295,300,297.5,0.000483573,0.00241786,34
300,305,302.5,0.000426682,0.00213341,30
305,310,307.5,0.000184895,0.000924477,13
310,315,312.5,0.000270232,0.00135116,19
315,320,317.5,0.000128005,0.000640023,9
320,325,322.5,4.26682e-05,0.000213341,3
325,330,327.5,0.000384014,0.00192007,27
330,335,332.5,0.000696914,0.00348457,49
335,340,337.5,0.000554686,0.00277343,39
340,345,342.5,0.00046935,0.00234675,33
345,350,347.5,0.000227564,0.00113782,16
350,355,352.5,0.000227564,0.00113782,16
355,360,357.5,0.000995591,0.00497795,70
360,365,362.5,0.000839141,0.0041957,59
365,370,367.5,0.000568909,0.00284455,40
370,375,372.5,0.000597355,0.00298677,42
375,380,377.5,0.000227564,0.00113782,16
380,385,382.5,0.000128005,0.000640023,9
385,390,387.5,5.68909e-05,0.000284455,4
390,395,392.5,8.53364e-05,0.000426682,6
395,400,397.5,4.26682e-05,0.000213341,3
400,405,402.5,8.53364e-05,0.000426682,6
405,410,407.5,7.11136e-05,0.000355568,5
410,415,412.5,5.68909e-05,0.000284455,4
415,420,417.5,0.00015645,0.00078225,11
420,425,422.5,0.000426682,0.00213341,30
425,430,427.5,0.0018774,0.009387,132
430,435,432.5,0.00150761,0.00753805,106
435,440,437.5,0.00116626,0.00583132,82
440,445,442.5,0.000597355,0.00298677,42
445,450,447.5,0.000640023,0.00320011,45
450,455,452.5,0.000170673,0.000853364,12
455,460,457.5,0.000213341,0.0010667,15
460,465,462.5,0.000241786,0.00120893,17
465,470,467.5,0.000327123,0.00163561,23
470,475,472.5,0.000554686,0.00277343,39
475,480,477.5,0.000640023,0.00320011,45
480,485,482.5,0.0006258,0.003129,44
485,490,487.5,0.000682691,0.00341345,48
490,495,492.5,0.000426682,0.00213341,30
495,500,497.5,0.000640023,0.00320011,45
500,505,502.5,0.000853364,0.00426682,60
505,510,507.5,0.00285877,0.0142938,201
510,515,512.5,0.00261698,0.0130849,184
515,520,517.5,0.00283032,0.0141516,199
520,525,522.5,0.00376902,0.0188451,265
525,530,527.5,0.00317167,0.0158583,223
530,535,532.5,0.00227564,0.0113782,160
535,540,537.5,0.00221875,0.0110937,156
540,545,542.5,0.000369791,0.00184895,26
545,550,547.5,0.000184895,0.000924477,13
550,555,552.5,2.84455e-05,0.000142227,2
555,560,557.5,2.84455e-05,0.000142227,2
560,565,562.5,1.42227e-05,7.11136e-05,1
565,570,567.5,1.42227e-05,7.11136e-05,1
570,575,572.5,1.42227e-05,7.11136e-05,1
575,580,577.5,7.11136e-05,0.000355568,5
580,585,582.5,4.26682e-05,0.000213341,3
585,590,587.5,4.26682e-05,0.000213341,3
590,595,592.5,9.95591e-05,0.000497795,7
595,600,597.5,7.11136e-05,0.000355568,5
600,605,602.5,0.000128005,0.000640023,9
605,610,607.5,0.000142227,0.000711136,10
610,615,612.5,0.000213341,0.0010667,15
615,620,617.5,9.95591e-05,0.000497795,7
620,625,622.5,0.000113782,0.000568909,8
625,630,627.5,0.00015645,0.00078225,11
630,635,632.5,0.000199118,0.000995591,14
635,640,637.5,0.000128005,0.000640023,9
640,645,642.5,0.000227564,0.00113782,16
645,650,647.5,0.000412459,0.0020623,29
650,655,652.5,0.000327123,0.00163561,23
655,660,657.5,0.000355568,0.00177784,25
660,665,662.5,0.000398236,0.00199118,28
665,670,667.5,0.000227564,0.00113782,16
670,675,672.5,0.000227564,0.00113782,16
675,680,677.5,0.000426682,0.00213341,30
680,685,682.5,0.000369791,0.00184895,26
685,690,687.5,0.000497795,0.00248898,35
690,695,692.5,0.000640023,0.00320011,45
695,700,697.5,0.000298677,0.00149339,21
700,705,702.5,0.000227564,0.00113782,16
705,710,707.5,0.000227564,0.00113782,16
710,715,712.5,0.000128005,0.000640023,9
715,720,717.5,0.000170673,0.000853364,12
720,725,722.5,0.000184895,0.000924477,13
725,730,727.5,0.000256009,0.00128005,18
730,735,732.5,0.00015645,0.00078225,11
735,740,737.5,0.000369791,0.00184895,26
740,745,742.5,0.000455127,0.00227564,32
745,750,747.5,0.000583132,0.00291566,41
750,755,752.5,0.000867586,0.00433793,61
755,760,757.5,0.000768027,0.00384014,54
760,765,762.5,0.000753805,0.00376902,53
765,770,767.5,0.000241786,0.00120893,17
770,775,772.5,0.000412459,0.0020623,29
775,780,777.5,0.000369791,0.00184895,26
780,785,782.5,0.000241786,0.00120893,17
785,790,787.5,0.000355568,0.00177784,25
790,795,792.5,0.000512018,0.00256009,36
795,800,797.5,0.000526241,0.0026312,37
800,805,802.5,0.0009387,0.0046935,66
805,810,807.5,0.0009387,0.0046935,66
810,815,812.5,0.000867586,0.00433793,61
815,820,817.5,0.000768027,0.00384014,54
820,825,822.5,0.000327123,0.00163561,23
825,830,827.5,0.000213341,0.0010667,15
830,835,832.5,0.000256009,0.00128005,18
835,840,837.5,0.000170673,0.000853364,12
840,845,842.5,0.000199118,0.000995591,14
845,850,847.5,0.000142227,0.000711136,10
850,855,852.5,0.000113782,0.000568909,8
855,860,857.5,4.26682e-05,0.000213341,3
860,865,862.5,1.42227e-05,7.11136e-05,1
865,870,867.5,2.84455e-05,0.000142227,2
870,875,872.5,0.00015645,0.00078225,11
875,880,877.5,0.000170673,0.000853364,12
880,885,882.5,0.000213341,0.0010667,15
885,890,887.5,0.000170673,0.000853364,12
890,895,892.5,0.00015645,0.00078225,11
895,900,897.5,0.000128005,0.000640023,9
