bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,0.0269675,0.134838,1972
215,220,217.5,0.0443761,0.22188,3245
220,225,222.5,0.00898462,0.0449231,657
225,230,227.5,0.00103932,0.00519658,76
230,235,232.5,0.00105299,0.00526496,77
235,240,237.5,0.000588034,0.00294017,43
240,245,242.5,5.47009e-05,0.000273504,4
245,250,247.5,4.10256e-05,0.000205128,3
250,255,252.5,0.000902564,0.00451282,66
255,260,257.5,0.000806838,0.00403419,59
260,265,262.5,0.00101197,0.00505983,74
265,270,267.5,0.000847863,0.00423932,62
270,275,272.5,0.00094359,0.00471795,69
275,280,277.5,0.00240684,0.0120342,176
280,285,282.5,0.0030906,0.015453,226
285,290,287.5,0.00280342,0.0140171,205
290,295,292.5,0.00321368,0.0160684,235
295,300,297.5,0.00362393,0.0181197,265
300,305,302.5,0.00363761,0.018188,266
305,310,307.5,0.00354188,0.0177094,259
310,315,312.5,0.00268034,0.0134017,196
315,320,317.5,0.00161368,0.00806838,118
320,325,322.5,0.00274872,0.0137436,201
325,330,327.5,0.00311795,0.0155897,228
330,335,332.5,0.00227009,0.0113504,166
335,340,337.5,0.00243419,0.0121709,178
340,345,342.5,0.00211966,0.0105983,155
345,350,347.5,0.00233846,0.0116923,171
350,355,352.5,0.00169573,0.00847863,124
355,360,357.5,0.00134017,0.00670085,98
360,365,362.5,0.00118974,0.00594872,87
365,370,367.5,0.00124444,0.00622222,91
370,375,372.5,0.00142222,0.00711111,104
375,380,377.5,0.00166838,0.00834188,122
380,385,382.5,0.00146325,0.00731624,107
385,390,387.5,0.00065641,0.00328205,48
390,395,392.5,0.000697436,0.00348718,51
395,400,397.5,0.00062906,0.0031453,46
400,405,402.5,0.000300855,0.00150427,22
405,410,407.5,0.000164103,0.000820513,12
410,415,412.5,5.47009e-05,0.000273504,4
415,420,417.5,2.73504e-05,0.000136752,2
420,425,422.5,5.47009e-05,0.000273504,4
425,430,427.5,0.000123077,0.000615385,9
430,435,432.5,6.83761e-05,0.00034188,5
435,440,437.5,9.57265e-05,0.000478632,7
440,445,442.5,5.47009e-05,0.000273504,4
445,450,447.5,4.10256e-05,0.000205128,3
450,455,452.5,0.000123077,0.000615385,9
455,460,457.5,0.000191453,0.000957265,14
460,465,462.5,0.00031453,0.00157265,23
465,470,467.5,0.000478632,0.00239316,35
470,475,472.5,0.000259829,0.00129915,19
475,480,477.5,0.000464957,0.00232479,34
480,485,482.5,0.00034188,0.0017094,25
485,490,487.5,0.000478632,0.00239316,35
490,495,492.5,0.000369231,0.00184615,27
495,500,497.5,0.00062906,0.0031453,46
500,505,502.5,0.00114872,0.00574359,84
505,510,507.5,0.00158632,0.00793162,116
510,515,512.5,0.00203761,0.010188,149
515,520,517.5,0.00185983,0.00929915,136
520,525,522.5,0.00229744,0.0114872,168
525,530,527.5,0.00155897,0.00779487,114
530,535,532.5,0.00094359,0.00471795,69
535,540,537.5,0.000574359,0.00287179,42
540,545,542.5,0.000300855,0.00150427,22
545,550,547.5,0.000451282,0.00225641,33
550,555,552.5,6.83761e-05,0.00034188,5
555,560,557.5,0.000136752,0.000683761,10
560,565,562.5,6.83761e-05,0.00034188,5
565,570,567.5,5.47009e-05,0.000273504,4
570,575,572.5,0.000136752,0.000683761,10
575,580,577.5,5.47009e-05,0.000273504,4
580,585,582.5,6.83761e-05,0.00034188,5
585,590,587.5,0.000287179,0.0014359,21
590,595,592.5,0.000177778,0.000888889,13
595,600,597.5,0.000191453,0.000957265,14
600,605,602.5,0.000328205,0.00164103,24
605,610,607.5,0.000300855,0.00150427,22
610,615,612.5,0.000519658,0.00259829,38
615,620,617.5,0.000533333,0.00266667,39
620,625,622.5,0.000519658,0.00259829,38
625,630,627.5,0.000423932,0.00211966,31
630,635,632.5,0.000547009,0.00273504,40
635,640,637.5,0.000752137,0.00376068,55
640,645,642.5,0.000779487,0.00389744,57
645,650,647.5,0.000998291,0.00499145,73
650,655,652.5,0.00101197,0.00505983,74
655,660,657.5,0.00139487,0.00697436,102
660,665,662.5,0.00118974,0.00594872,87
665,670,667.5,0.000478632,0.00239316,35
670,675,672.5,0.000410256,0.00205128,30
675,680,677.5,0.000478632,0.00239316,35
680,685,682.5,0.000437607,0.00218803,32
685,690,687.5,0.000273504,0.00136752,20
690,695,692.5,0.000287179,0.0014359,21
695,700,697.5,0.000355556,0.00177778,26
700,705,702.5,0.000547009,0.00273504,40
705,710,707.5,0.000218803,0.00109402,16
710,715,712.5,0.000205128,0.00102564,15
715,720,717.5,0.000164103,0.000820513,12
720,725,722.5,8.20513e-05,0.000410256,6
725,730,727.5,9.57265e-05,0.000478632,7
730,735,732.5,2.73504e-05,0.000136752,2
740,745,742.5,1.36752e-05,6.83761e-05,1
745,750,747.5,1.36752e-05,6.83761e-05,1
755,760,757.5,5.47009e-05,0.000273504,4
760,765,762.5,4.10256e-05,0.000205128,3
765,770,767.5,5.47009e-05,0.000273504,4
