bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
350.0,355.0,352.5,0.05800948,0.2900474,0
355.0,360.0,357.5,0.10137388,0.5068694,0
360.0,365.0,362.5,0.018767668,0.09383834,0
390.0,395.0,392.5,0.0001777776,0.000888888,0
395.0,400.0,397.5,0.0001777776,0.000888888,0
405.0,410.0,407.5,0.0001422224,0.000711112,0
415.0,420.0,417.5,0.0001066668,0.000533334,0
445.0,450.0,447.5,0.0002488888,0.001244444,0
450.0,455.0,452.5,3.555556e-05,0.0001777778,0
460.0,465.0,462.5,0.0001777776,0.000888888,0
470.0,475.0,472.5,0.0001422224,0.000711112,0
515.0,520.0,517.5,0.001882772,0.00941386,0
520.0,525.0,522.5,0.002806396,0.01403198,0
525.0,530.0,527.5,0.003126112,0.01563056,0
530.0,535.0,532.5,0.002912968,0.01456484,0
535.0,540.0,537.5,0.002380108,0.01190054,0
540.0,545.0,542.5,0.002522204,0.01261102,0
545.0,550.0,547.5,0.003055064,0.01527532,0
550.0,555.0,552.5,0.001314388,0.00657194,0
600.0,605.0,602.5,0.0002133332,0.001066666,0
610.0,615.0,612.5,0.0001777776,0.000888888,0
620.0,625.0,622.5,3.555556e-05,0.0001777778,0
630.0,635.0,632.5,0.0002133332,0.001066666,0
