bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
350.0,355.0,352.5,0.05521964,0.2760982,0
355.0,360.0,357.5,0.09253212,0.4626606,0
360.0,365.0,362.5,0.01861878,0.0930939,0
410.0,415.0,412.5,0.000557368,0.00278684,0
415.0,420.0,417.5,0.000960568,0.00480284,0
420.0,425.0,422.5,0.000913132,0.00456566,0
425.0,430.0,427.5,0.000747108,0.00373554,0
430.0,435.0,432.5,0.0010198594,0.0050992968,0
435.0,440.0,437.5,0.000699672,0.00349836,0
440.0,445.0,442.5,0.001754836,0.00877418,0
445.0,450.0,447.5,0.00144622,0.0072311,0
450.0,455.0,452.5,0.000722964,0.00361482,0
455.0,460.0,457.5,0.000983704,0.00491852,0
460.0,465.0,462.5,0.000877036,0.00438518,0
465.0,470.0,467.5,0.00096,0.0048,0
470.0,475.0,472.5,0.000948148,0.00474074,0
475.0,480.0,477.5,0.00075852,0.0037926,0
515.0,520.0,517.5,0.0001066036,0.000533018,0
535.0,540.0,537.5,0.0009007112,0.004503556,0
540.0,545.0,542.5,0.0006755272,0.003377636,0
545.0,550.0,547.5,0.001351112,0.00675556,0
550.0,555.0,552.5,0.000722964,0.00361482,0
555.0,560.0,557.5,0.000888888,0.00444444,0
560.0,565.0,562.5,0.001197036,0.00598518,0
565.0,570.0,567.5,0.000557036,0.00278518,0
570.0,575.0,572.5,0.0005570668,0.002785334,0
575.0,580.0,577.5,0.000723176,0.00361588,0
580.0,585.0,582.5,0.00086544,0.0043272,0
585.0,590.0,587.5,0.001221104,0.00610552,0
590.0,595.0,592.5,0.000758744,0.00379372,0
595.0,600.0,597.5,0.001031416,0.00515708,0
600.0,605.0,602.5,0.0007706,0.003853,0
605.0,610.0,607.5,0.000983996,0.00491998,0
610.0,615.0,612.5,9.48428e-05,0.000474214,0
650.0,655.0,652.5,0.000426668,0.00213334,0
655.0,660.0,657.5,0.000628148,0.00314074,0
660.0,665.0,662.5,0.001031112,0.00515556,0
665.0,670.0,667.5,0.000770372,0.00385186,0
670.0,675.0,672.5,0.000817776,0.00408888,0
675.0,680.0,677.5,0.001197036,0.00598518,0
680.0,685.0,682.5,0.000817776,0.00408888,0
685.0,690.0,687.5,0.000983704,0.00491852,0
805.0,810.0,807.5,1.185536e-05,5.92768e-05,0
825.0,830.0,827.5,1.185536e-05,5.92768e-05,0
830.0,835.0,832.5,1.185536e-05,5.92768e-05,0
850.0,855.0,852.5,2.371072e-05,0.0001185536,0
870.0,875.0,872.5,2.371072e-05,0.0001185536,0
1035.0,1040.0,1037.5,3.556608e-05,0.0001778304,0
1045.0,1050.0,1047.5,4.74216e-05,0.000237108,0
1055.0,1060.0,1057.5,3.556608e-05,0.0001778304,0
