bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,0.054,0.27,1215
215,220,217.5,0.0789778,0.394889,1777
220,225,222.5,0.0170222,0.0851111,383
295,300,297.5,0.00422222,0.0211111,95
300,305,302.5,0.00728889,0.0364444,164
305,310,307.5,0.00671111,0.0335556,151
310,315,312.5,0.00773333,0.0386667,174
315,320,317.5,0.00684444,0.0342222,154
320,325,322.5,0.00675556,0.0337778,152
325,330,327.5,0.00622222,0.0311111,140
330,335,332.5,0.00342222,0.0171111,77
550,555,552.5,0.000222222,0.00111111,5
560,565,562.5,0.000311111,0.00155556,7
570,575,572.5,0.000133333,0.000666667,3
575,580,577.5,0.000133333,0.000666667,3
