======================================================================
  Simulation Log — nSta=12  dataRate=1Mbps
  Generated: 2026-02-24 14:47:18
======================================================================

──────────────────────────────────────────────────────────────────────
  P-EDCA  (nSta=12)
  Command: ./ns3 run scratch/pedca_verification_nsta.cc --nSta=12 --simTime=10.0 --dataRate=1Mbps --voicePdfBinUs=5 --voicePdfOutput=scratch/delay_pdf/delay_result_{data_rate}[2-50]/pedca_vo_delay_pdf_nSta12_1Mbps.csv
  Elapsed: 21.9s
  Success: True
  CSV: /home/wmnlab/Desktop/ns-3.45/scratch/delay_pdf/delay_result_{data_rate}[2-50]/pedca_vo_delay_pdf_nSta12_1Mbps.csv
──────────────────────────────────────────────────────────────────────

--- STDOUT ---
[0/2] Re-checking globbed directories...
ninja: no work to do.

=== WifiTxStatsHelper (MAC-layer) ===
Total Successes:       13500
Total Failures:        0
Total Retransmissions: 2869

--- Per-AC Success Statistics ---
AC_VO:
  Successes:         13500
  Throughput:        12 Mbps
  Packet Loss:       0 %
  Avg Retx/MPDU:     0.212519
  Avg Queue Delay:   199.764 us (Enqueue->TxStart)
  Avg Access Delay:  336.624 us (TxStart->Ack)
  Avg MAC Delay:     536.389 us (Total: Enqueue->Ack)

--- Per-AC Failure Statistics ---

--- VO Delay PDF (MAC Delay) ---
bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,0.0217185,0.108593,1466
215,220,217.5,0.0361185,0.180593,2438
220,225,222.5,0.0084,0.042,567
225,230,227.5,0.000103704,0.000518519,7
230,235,232.5,4.44444e-05,0.000222222,3
235,240,237.5,0.00576296,0.0288148,389
240,245,242.5,0.00647407,0.0323704,437
245,250,247.5,2.96296e-05,0.000148148,2
255,260,257.5,5.92593e-05,0.000296296,4
260,265,262.5,0.000325926,0.00162963,22
265,270,267.5,0.00042963,0.00214815,29
270,275,272.5,0.000622222,0.00311111,42
275,280,277.5,0.000622222,0.00311111,42
280,285,282.5,0.000637037,0.00318519,43
285,290,287.5,0.000755556,0.00377778,51
290,295,292.5,0.000577778,0.00288889,39
295,300,297.5,0.000340741,0.0017037,23
300,305,302.5,0.000518519,0.00259259,35
305,310,307.5,0.0013037,0.00651852,88
310,315,312.5,0.00143704,0.00718519,97
315,320,317.5,0.000977778,0.00488889,66
320,325,322.5,0.000977778,0.00488889,66
325,330,327.5,0.000918519,0.00459259,62
330,335,332.5,0.000918519,0.00459259,62
335,340,337.5,0.000948148,0.00474074,64
340,345,342.5,0.000548148,0.00274074,37
345,350,347.5,0.000207407,0.00103704,14
350,355,352.5,0.000133333,0.000666667,9
355,360,357.5,0.000192593,0.000962963,13
360,365,362.5,0.000177778,0.000888889,12
365,370,367.5,0.000296296,0.00148148,20
370,375,372.5,0.000237037,0.00118519,16
375,380,377.5,0.000222222,0.00111111,15
380,385,382.5,0.000296296,0.00148148,20
385,390,387.5,0.000355556,0.00177778,24
390,395,392.5,0.00167407,0.00837037,113
395,400,397.5,0.00357037,0.0178519,241
400,405,402.5,0.00358519,0.0179259,242
405,410,407.5,0.00253333,0.0126667,171
410,415,412.5,0.00217778,0.0108889,147
415,420,417.5,0.0016,0.008,108
420,425,422.5,0.000992593,0.00496296,67
425,430,427.5,0.000755556,0.00377778,51
430,435,432.5,0.000622222,0.00311111,42
435,440,437.5,0.00042963,0.00214815,29
440,445,442.5,0.000592593,0.00296296,40
445,450,447.5,0.000266667,0.00133333,18
450,455,452.5,0.000266667,0.00133333,18
455,460,457.5,0.000251852,0.00125926,17
460,465,462.5,0.000281481,0.00140741,19
465,470,467.5,0.000488889,0.00244444,33
470,475,472.5,0.000637037,0.00318519,43
475,480,477.5,0.000814815,0.00407407,55
480,485,482.5,0.00111111,0.00555556,75
485,490,487.5,0.00158519,0.00792593,107
490,495,492.5,0.00177778,0.00888889,120
495,500,497.5,0.00145185,0.00725926,98
500,505,502.5,0.00134815,0.00674074,91
505,510,507.5,0.00106667,0.00533333,72
510,515,512.5,0.000740741,0.0037037,50
515,520,517.5,0.000607407,0.00303704,41
520,525,522.5,0.000251852,0.00125926,17
525,530,527.5,0.000266667,0.00133333,18
530,535,532.5,7.40741e-05,0.00037037,5
535,540,537.5,0.000118519,0.000592593,8
540,545,542.5,7.40741e-05,0.00037037,5
545,550,547.5,2.96296e-05,0.000148148,2
550,555,552.5,7.40741e-05,0.00037037,5
555,560,557.5,0.000237037,0.00118519,16
560,565,562.5,0.000192593,0.000962963,13
565,570,567.5,0.000414815,0.00207407,28
570,575,572.5,0.000474074,0.00237037,32
575,580,577.5,0.000444444,0.00222222,30
580,585,582.5,0.000311111,0.00155556,21
585,590,587.5,0.000577778,0.00288889,39
590,595,592.5,0.000296296,0.00148148,20
595,600,597.5,0.000325926,0.00162963,22
600,605,602.5,0.000251852,0.00125926,17
605,610,607.5,0.00037037,0.00185185,25
610,615,612.5,0.000192593,0.000962963,13
615,620,617.5,0.000237037,0.00118519,16
620,625,622.5,0.000518519,0.00259259,35
625,630,627.5,0.000740741,0.0037037,50
630,635,632.5,0.00117037,0.00585185,79
635,640,637.5,0.00148148,0.00740741,100
640,645,642.5,0.00237037,0.0118519,160
645,650,647.5,0.00158519,0.00792593,107
650,655,652.5,0.00103704,0.00518519,70
655,660,657.5,0.00118519,0.00592593,80
660,665,662.5,0.00183704,0.00918519,124
665,670,667.5,0.00127407,0.00637037,86
670,675,672.5,0.0010963,0.00548148,74
675,680,677.5,0.0008,0.004,54
680,685,682.5,0.000518519,0.00259259,35
685,690,687.5,0.000192593,0.000962963,13
690,695,692.5,0.000222222,0.00111111,15
695,700,697.5,0.000177778,0.000888889,12
