bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,0.025881742,0.12940871,0
215.0,220.0,217.5,0.04425494,0.2212747,0
220.0,225.0,222.5,0.009888146,0.04944073,0
225.0,230.0,227.5,0.0016490382,0.008245191,0
230.0,235.0,232.5,0.0013780298,0.006890149,0
235.0,240.0,237.5,0.0019838221,0.0099191105,0
240.0,245.0,242.5,0.0020001809,0.010000904,0
245.0,250.0,247.5,0.00080315268,0.0040157634,0
250.0,255.0,252.5,0.00048995373,0.0024497686,0
255.0,260.0,257.5,0.00073437042,0.0036718521,0
260.0,265.0,262.5,0.00077230172,0.0038615086,0
265.0,270.0,267.5,0.00093475242,0.0046737621,0
270.0,275.0,272.5,0.001074762,0.0053738099,0
275.0,280.0,277.5,0.0012504142,0.006252071,0
280.0,285.0,282.5,0.0010379258,0.005189629,0
285.0,290.0,287.5,0.0010426216,0.0052131081,0
290.0,295.0,292.5,0.0011255174,0.005627587,0
295.0,300.0,297.5,0.0012452692,0.006226346,0
300.0,305.0,302.5,0.0013259094,0.006629547,0
305.0,310.0,307.5,0.0013198822,0.006599411,0
310.0,315.0,312.5,0.0014515568,0.007257784,0
315.0,320.0,317.5,0.001203685,0.006018425,0
320.0,325.0,322.5,0.0012596203,0.0062981013,0
325.0,330.0,327.5,0.0012905986,0.006452993,0
330.0,335.0,332.5,0.0013132052,0.006566026,0
335.0,340.0,337.5,0.0012218162,0.006109081,0
340.0,345.0,342.5,0.0013499794,0.006749897,0
345.0,350.0,347.5,0.0011151424,0.005575712,0
350.0,355.0,352.5,0.0010629648,0.005314824,0
355.0,360.0,357.5,0.0010689062,0.005344531,0
360.0,365.0,362.5,0.000992872,0.00496436,0
365.0,370.0,367.5,0.0009110212,0.004555106,0
370.0,375.0,372.5,0.00095022264,0.0047511132,0
375.0,380.0,377.5,0.00086478962,0.0043239481,0
380.0,385.0,382.5,0.000929983,0.004649915,0
385.0,390.0,387.5,0.00097510376,0.0048755188,0
390.0,395.0,392.5,0.0011294072,0.005647036,0
395.0,400.0,397.5,0.0010928362,0.005464181,0
400.0,405.0,402.5,0.0010880267,0.0054401335,0
405.0,410.0,407.5,0.001022681,0.0051134048,0
410.0,415.0,412.5,0.0011189004,0.0055945018,0
415.0,420.0,417.5,0.0011495479,0.0057477396,0
420.0,425.0,422.5,0.0013216422,0.006608211,0
425.0,430.0,427.5,0.0013284922,0.006642461,0
430.0,435.0,432.5,0.001322533,0.0066126652,0
435.0,440.0,437.5,0.0012726537,0.0063632683,0
440.0,445.0,442.5,0.0013415659,0.0067078294,0
445.0,450.0,447.5,0.0011695008,0.0058475042,0
450.0,455.0,452.5,0.0009573329,0.0047866645,0
455.0,460.0,457.5,0.00087189582,0.0043594791,0
460.0,465.0,462.5,0.0008315065,0.0041575325,0
465.0,470.0,467.5,0.00078057382,0.0039028691,0
470.0,475.0,472.5,0.00087898056,0.0043949028,0
475.0,480.0,477.5,0.00099050584,0.0049525292,0
480.0,485.0,482.5,0.00096197058,0.0048098529,0
485.0,490.0,487.5,0.00093110306,0.0046555153,0
490.0,495.0,492.5,0.001043832,0.00521916,0
495.0,500.0,497.5,0.0011542246,0.005771123,0
500.0,505.0,502.5,0.0010605975,0.0053029875,0
505.0,510.0,507.5,0.0010463729,0.0052318645,0
510.0,515.0,512.5,0.00086849932,0.0043424966,0
515.0,520.0,517.5,0.0011023209,0.0055116046,0
520.0,525.0,522.5,0.0016897552,0.0084487759,0
525.0,530.0,527.5,0.00090784308,0.0045392154,0
530.0,535.0,532.5,0.00043441864,0.0021720932,0
535.0,540.0,537.5,0.00046280455,0.0023140227,0
540.0,545.0,542.5,0.00022547958,0.0011273979,0
545.0,550.0,547.5,0.00027646294,0.0013823147,0
550.0,555.0,552.5,0.00013172218,0.0006586109,0
555.0,560.0,557.5,0.0001364324,0.000682162,0
560.0,565.0,562.5,0.00017442008,0.0008721004,0
565.0,570.0,567.5,0.00022303492,0.0011151746,0
570.0,575.0,572.5,0.00030135166,0.0015067583,0
575.0,580.0,577.5,0.0003890804,0.001945402,0
580.0,585.0,582.5,0.000453134,0.00226567,0
585.0,590.0,587.5,0.000504117,0.002520585,0
590.0,595.0,592.5,0.00060974,0.0030487,0
595.0,600.0,597.5,0.00058012894,0.0029006447,0
600.0,605.0,602.5,0.000556373,0.002781865,0
605.0,610.0,607.5,0.00042002196,0.0021001098,0
