bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
225,230,227.5,0.000209205,0.00104603,2
230,235,232.5,0.000104603,0.000523013,1
235,240,237.5,0.000104603,0.000523013,1
255,260,257.5,0.000104603,0.000523013,1
275,280,277.5,0.000104603,0.000523013,1
285,290,287.5,0.000104603,0.000523013,1
290,295,292.5,0.000104603,0.000523013,1
295,300,297.5,0.000104603,0.000523013,1
305,310,307.5,0.000104603,0.000523013,1
310,315,312.5,0.000104603,0.000523013,1
330,335,332.5,0.000209205,0.00104603,2
340,345,342.5,0.000104603,0.000523013,1
350,355,352.5,0.00135983,0.00679916,13
355,360,357.5,0.00156904,0.00784519,15
360,365,362.5,0.00146444,0.00732218,14
365,370,367.5,0.00156904,0.00784519,15
370,375,372.5,0.00083682,0.0041841,8
375,380,377.5,0.00125523,0.00627615,12
380,385,382.5,0.00125523,0.00627615,12
385,390,387.5,0.000313808,0.00156904,3
390,395,392.5,0.00125523,0.00627615,12
395,400,397.5,0.00083682,0.0041841,8
400,405,402.5,0.00125523,0.00627615,12
405,410,407.5,0.00156904,0.00784519,15
410,415,412.5,0.000523013,0.00261506,5
415,420,417.5,0.000627615,0.00313808,6
420,425,422.5,0.000732218,0.00366109,7
425,430,427.5,0.000732218,0.00366109,7
430,435,432.5,0.000104603,0.000523013,1
435,440,437.5,0.00041841,0.00209205,4
440,445,442.5,0.000627615,0.00313808,6
450,455,452.5,0.000732218,0.00366109,7
455,460,457.5,0.000313808,0.00156904,3
460,465,462.5,0.000627615,0.00313808,6
465,470,467.5,0.000627615,0.00313808,6
470,475,472.5,0.00041841,0.00209205,4
475,480,477.5,0.000104603,0.000523013,1
480,485,482.5,0.0179916,0.0899582,172
485,490,487.5,0.000627615,0.00313808,6
490,495,492.5,0.000209205,0.00104603,2
495,500,497.5,0.000209205,0.00104603,2
500,505,502.5,0.000209205,0.00104603,2
505,510,507.5,0.000313808,0.00156904,3
510,515,512.5,0.00041841,0.00209205,4
515,520,517.5,0.000313808,0.00156904,3
520,525,522.5,0.000732218,0.00366109,7
525,530,527.5,0.000209205,0.00104603,2
530,535,532.5,0.000209205,0.00104603,2
535,540,537.5,0.00041841,0.00209205,4
540,545,542.5,0.000732218,0.00366109,7
545,550,547.5,0.00083682,0.0041841,8
550,555,552.5,0.000209205,0.00104603,2
555,560,557.5,0.00083682,0.0041841,8
560,565,562.5,0.00083682,0.0041841,8
565,570,567.5,0.000313808,0.00156904,3
570,575,572.5,0.00041841,0.00209205,4
575,580,577.5,0.000313808,0.00156904,3
580,585,582.5,0.000104603,0.000523013,1
585,590,587.5,0.000313808,0.00156904,3
590,595,592.5,0.000523013,0.00261506,5
595,600,597.5,0.000627615,0.00313808,6
600,605,602.5,0.000313808,0.00156904,3
605,610,607.5,0.000627615,0.00313808,6
610,615,612.5,0.000313808,0.00156904,3
615,620,617.5,0.00282427,0.0141213,27
620,625,622.5,0.000523013,0.00261506,5
625,630,627.5,0.000313808,0.00156904,3
630,635,632.5,0.000313808,0.00156904,3
635,640,637.5,0.000313808,0.00156904,3
640,645,642.5,0.000732218,0.00366109,7
645,650,647.5,0.000523013,0.00261506,5
650,655,652.5,0.000104603,0.000523013,1
655,660,657.5,0.00041841,0.00209205,4
660,665,662.5,0.000313808,0.00156904,3
665,670,667.5,0.000523013,0.00261506,5
670,675,672.5,0.000209205,0.00104603,2
675,680,677.5,0.000209205,0.00104603,2
680,685,682.5,0.000313808,0.00156904,3
685,690,687.5,0.000523013,0.00261506,5
690,695,692.5,0.000313808,0.00156904,3
695,700,697.5,0.000313808,0.00156904,3
700,705,702.5,0.00041841,0.00209205,4
705,710,707.5,0.000627615,0.00313808,6
710,715,712.5,0.000313808,0.00156904,3
715,720,717.5,0.000209205,0.00104603,2
720,725,722.5,0.000313808,0.00156904,3
725,730,727.5,0.000313808,0.00156904,3
730,735,732.5,0.000209205,0.00104603,2
735,740,737.5,0.00041841,0.00209205,4
740,745,742.5,0.00083682,0.0041841,8
745,750,747.5,0.000732218,0.00366109,7
750,755,752.5,0.000627615,0.00313808,6
755,760,757.5,0.000523013,0.00261506,5
760,765,762.5,0.00041841,0.00209205,4
765,770,767.5,0.000209205,0.00104603,2
770,775,772.5,0.000209205,0.00104603,2
775,780,777.5,0.000627615,0.00313808,6
780,785,782.5,0.000941423,0.00470711,9
785,790,787.5,0.000104603,0.000523013,1
790,795,792.5,0.000209205,0.00104603,2
795,800,797.5,0.000209205,0.00104603,2
800,805,802.5,0.00041841,0.00209205,4
805,810,807.5,0.000313808,0.00156904,3
810,815,812.5,0.000104603,0.000523013,1
815,820,817.5,0.000209205,0.00104603,2
820,825,822.5,0.000209205,0.00104603,2
825,830,827.5,0.000523013,0.00261506,5
830,835,832.5,0.000209205,0.00104603,2
835,840,837.5,0.000104603,0.000523013,1
840,845,842.5,0.000627615,0.00313808,6
850,855,852.5,0.000523013,0.00261506,5
855,860,857.5,0.00041841,0.00209205,4
860,865,862.5,0.000104603,0.000523013,1
865,870,867.5,0.000313808,0.00156904,3
870,875,872.5,0.000523013,0.00261506,5
875,880,877.5,0.000104603,0.000523013,1
880,885,882.5,0.000104603,0.000523013,1
885,890,887.5,0.000209205,0.00104603,2
890,895,892.5,0.000104603,0.000523013,1
895,900,897.5,0.000313808,0.00156904,3
900,905,902.5,0.000313808,0.00156904,3
905,910,907.5,0.000209205,0.00104603,2
910,915,912.5,0.000523013,0.00261506,5
920,925,922.5,0.000313808,0.00156904,3
925,930,927.5,0.000104603,0.000523013,1
930,935,932.5,0.000209205,0.00104603,2
935,940,937.5,0.000732218,0.00366109,7
940,945,942.5,0.000104603,0.000523013,1
945,950,947.5,0.000104603,0.000523013,1
950,955,952.5,0.000209205,0.00104603,2
955,960,957.5,0.000313808,0.00156904,3
960,965,962.5,0.000209205,0.00104603,2
970,975,972.5,0.000209205,0.00104603,2
975,980,977.5,0.000313808,0.00156904,3
980,985,982.5,0.000313808,0.00156904,3
985,990,987.5,0.000104603,0.000523013,1
990,995,992.5,0.000313808,0.00156904,3
1000,1005,1002.5,0.000209205,0.00104603,2
1005,1010,1007.5,0.000209205,0.00104603,2
1020,1025,1022.5,0.000104603,0.000523013,1
1025,1030,1027.5,0.000209205,0.00104603,2
1030,1035,1032.5,0.000313808,0.00156904,3
1035,1040,1037.5,0.000104603,0.000523013,1
1040,1045,1042.5,0.000313808,0.00156904,3
1045,1050,1047.5,0.000209205,0.00104603,2
1050,1055,1052.5,0.000104603,0.000523013,1
1060,1065,1062.5,0.000104603,0.000523013,1
1065,1070,1067.5,0.000209205,0.00104603,2
1070,1075,1072.5,0.000313808,0.00156904,3
1075,1080,1077.5,0.000209205,0.00104603,2
1080,1085,1082.5,0.000104603,0.000523013,1
1085,1090,1087.5,0.000104603,0.000523013,1
1090,1095,1092.5,0.000209205,0.00104603,2
1100,1105,1102.5,0.000209205,0.00104603,2
1110,1115,1112.5,0.00041841,0.00209205,4
1115,1120,1117.5,0.000313808,0.00156904,3
1125,1130,1127.5,0.000104603,0.000523013,1
1130,1135,1132.5,0.000104603,0.000523013,1
1135,1140,1137.5,0.000209205,0.00104603,2
1140,1145,1142.5,0.000209205,0.00104603,2
1145,1150,1147.5,0.000209205,0.00104603,2
1150,1155,1152.5,0.000313808,0.00156904,3
1155,1160,1157.5,0.000209205,0.00104603,2
1160,1165,1162.5,0.000209205,0.00104603,2
1165,1170,1167.5,0.000104603,0.000523013,1
1170,1175,1172.5,0.000104603,0.000523013,1
1175,1180,1177.5,0.000523013,0.00261506,5
1180,1185,1182.5,0.000523013,0.00261506,5
1190,1195,1192.5,0.000313808,0.00156904,3
1195,1200,1197.5,0.000209205,0.00104603,2
1200,1205,1202.5,0.000209205,0.00104603,2
1205,1210,1207.5,0.000104603,0.000523013,1
1215,1220,1217.5,0.000209205,0.00104603,2
1225,1230,1227.5,0.00041841,0.00209205,4
1230,1235,1232.5,0.000104603,0.000523013,1
1235,1240,1237.5,0.000104603,0.000523013,1
1240,1245,1242.5,0.000209205,0.00104603,2
1245,1250,1247.5,0.000209205,0.00104603,2
1250,1255,1252.5,0.000104603,0.000523013,1
1255,1260,1257.5,0.000313808,0.00156904,3
1260,1265,1262.5,0.00041841,0.00209205,4
1265,1270,1267.5,0.000104603,0.000523013,1
1270,1275,1272.5,0.000209205,0.00104603,2
1275,1280,1277.5,0.000104603,0.000523013,1
1280,1285,1282.5,0.000313808,0.00156904,3
1285,1290,1287.5,0.00041841,0.00209205,4
1290,1295,1292.5,0.00041841,0.00209205,4
1295,1300,1297.5,0.000313808,0.00156904,3
1300,1305,1302.5,0.00041841,0.00209205,4
1305,1310,1307.5,0.000104603,0.000523013,1
1310,1315,1312.5,0.000313808,0.00156904,3
1315,1320,1317.5,0.000209205,0.00104603,2
1320,1325,1322.5,0.000209205,0.00104603,2
1325,1330,1327.5,0.000313808,0.00156904,3
1330,1335,1332.5,0.000209205,0.00104603,2
1335,1340,1337.5,0.000209205,0.00104603,2
1340,1345,1342.5,0.000313808,0.00156904,3
1345,1350,1347.5,0.000104603,0.000523013,1
1350,1355,1352.5,0.000732218,0.00366109,7
1355,1360,1357.5,0.000209205,0.00104603,2
1360,1365,1362.5,0.000209205,0.00104603,2
1365,1370,1367.5,0.000209205,0.00104603,2
1370,1375,1372.5,0.000209205,0.00104603,2
1375,1380,1377.5,0.000209205,0.00104603,2
1380,1385,1382.5,0.000104603,0.000523013,1
1390,1395,1392.5,0.000313808,0.00156904,3
1395,1400,1397.5,0.00041841,0.00209205,4
1400,1405,1402.5,0.000313808,0.00156904,3
1410,1415,1412.5,0.00041841,0.00209205,4
1415,1420,1417.5,0.000104603,0.000523013,1
1420,1425,1422.5,0.000209205,0.00104603,2
1425,1430,1427.5,0.000313808,0.00156904,3
1430,1435,1432.5,0.000209205,0.00104603,2
1440,1445,1442.5,0.00041841,0.00209205,4
1445,1450,1447.5,0.000313808,0.00156904,3
1450,1455,1452.5,0.00041841,0.00209205,4
1455,1460,1457.5,0.000104603,0.000523013,1
1460,1465,1462.5,0.000209205,0.00104603,2
1465,1470,1467.5,0.000313808,0.00156904,3
1470,1475,1472.5,0.000104603,0.000523013,1
1475,1480,1477.5,0.000104603,0.000523013,1
1480,1485,1482.5,0.000313808,0.00156904,3
1485,1490,1487.5,0.000209205,0.00104603,2
1490,1495,1492.5,0.000104603,0.000523013,1
1500,1505,1502.5,0.000209205,0.00104603,2
1510,1515,1512.5,0.000209205,0.00104603,2
1520,1525,1522.5,0.000313808,0.00156904,3
1525,1530,1527.5,0.000104603,0.000523013,1
1530,1535,1532.5,0.000104603,0.000523013,1
1535,1540,1537.5,0.000104603,0.000523013,1
1540,1545,1542.5,0.000313808,0.00156904,3
1545,1550,1547.5,0.000209205,0.00104603,2
1550,1555,1552.5,0.000209205,0.00104603,2
1560,1565,1562.5,0.000209205,0.00104603,2
1565,1570,1567.5,0.000104603,0.000523013,1
1570,1575,1572.5,0.000209205,0.00104603,2
1575,1580,1577.5,0.000209205,0.00104603,2
1580,1585,1582.5,0.000104603,0.000523013,1
1585,1590,1587.5,0.000209205,0.00104603,2
1590,1595,1592.5,0.000104603,0.000523013,1
1595,1600,1597.5,0.000209205,0.00104603,2
1600,1605,1602.5,0.000104603,0.000523013,1
1605,1610,1607.5,0.00041841,0.00209205,4
1610,1615,1612.5,0.000209205,0.00104603,2
1620,1625,1622.5,0.000104603,0.000523013,1
1625,1630,1627.5,0.000627615,0.00313808,6
1630,1635,1632.5,0.000209205,0.00104603,2
1635,1640,1637.5,0.000209205,0.00104603,2
1640,1645,1642.5,0.000209205,0.00104603,2
1645,1650,1647.5,0.000313808,0.00156904,3
1650,1655,1652.5,0.000313808,0.00156904,3
1660,1665,1662.5,0.000209205,0.00104603,2
1665,1670,1667.5,0.000209205,0.00104603,2
1670,1675,1672.5,0.000104603,0.000523013,1
1675,1680,1677.5,0.000209205,0.00104603,2
1680,1685,1682.5,0.000313808,0.00156904,3
1685,1690,1687.5,0.000209205,0.00104603,2
1690,1695,1692.5,0.000313808,0.00156904,3
1695,1700,1697.5,0.000313808,0.00156904,3
1700,1705,1702.5,0.000209205,0.00104603,2
1710,1715,1712.5,0.000209205,0.00104603,2
1715,1720,1717.5,0.000523013,0.00261506,5
1720,1725,1722.5,0.000209205,0.00104603,2
1725,1730,1727.5,0.000313808,0.00156904,3
1735,1740,1737.5,0.000104603,0.000523013,1
1740,1745,1742.5,0.000104603,0.000523013,1
1745,1750,1747.5,0.000209205,0.00104603,2
1750,1755,1752.5,0.000209205,0.00104603,2
1755,1760,1757.5,0.000209205,0.00104603,2
1760,1765,1762.5,0.000209205,0.00104603,2
1765,1770,1767.5,0.000209205,0.00104603,2
1770,1775,1772.5,0.000209205,0.00104603,2
1775,1780,1777.5,0.000104603,0.000523013,1
1780,1785,1782.5,0.000209205,0.00104603,2
1785,1790,1787.5,0.000209205,0.00104603,2
1795,1800,1797.5,0.000209205,0.00104603,2
1800,1805,1802.5,0.000104603,0.000523013,1
1805,1810,1807.5,0.000209205,0.00104603,2
1810,1815,1812.5,0.000209205,0.00104603,2
1815,1820,1817.5,0.000104603,0.000523013,1
1820,1825,1822.5,0.000104603,0.000523013,1
1825,1830,1827.5,0.000104603,0.000523013,1
1830,1835,1832.5,0.000104603,0.000523013,1
1835,1840,1837.5,0.000104603,0.000523013,1
1840,1845,1842.5,0.000209205,0.00104603,2
1850,1855,1852.5,0.000313808,0.00156904,3
1855,1860,1857.5,0.000104603,0.000523013,1
1860,1865,1862.5,0.000104603,0.000523013,1
1880,1885,1882.5,0.000209205,0.00104603,2
1885,1890,1887.5,0.000104603,0.000523013,1
1890,1895,1892.5,0.000209205,0.00104603,2
1895,1900,1897.5,0.000104603,0.000523013,1
1900,1905,1902.5,0.000313808,0.00156904,3
1905,1910,1907.5,0.00041841,0.00209205,4
1910,1915,1912.5,0.000523013,0.00261506,5
1915,1920,1917.5,0.00041841,0.00209205,4
1920,1925,1922.5,0.000209205,0.00104603,2
1925,1930,1927.5,0.000104603,0.000523013,1
1930,1935,1932.5,0.000313808,0.00156904,3
1935,1940,1937.5,0.000104603,0.000523013,1
1940,1945,1942.5,0.000313808,0.00156904,3
1960,1965,1962.5,0.000313808,0.00156904,3
1965,1970,1967.5,0.000104603,0.000523013,1
1970,1975,1972.5,0.000104603,0.000523013,1
1975,1980,1977.5,0.000209205,0.00104603,2
1985,1990,1987.5,0.000104603,0.000523013,1
1995,2000,1997.5,0.000209205,0.00104603,2
2005,2010,2007.5,0.000104603,0.000523013,1
2010,2015,2012.5,0.000209205,0.00104603,2
2025,2030,2027.5,0.000209205,0.00104603,2
2030,2035,2032.5,0.000104603,0.000523013,1
2035,2040,2037.5,0.000104603,0.000523013,1
2045,2050,2047.5,0.000209205,0.00104603,2
2050,2055,2052.5,0.000209205,0.00104603,2
2055,2060,2057.5,0.000313808,0.00156904,3
2070,2075,2072.5,0.000104603,0.000523013,1
2075,2080,2077.5,0.000209205,0.00104603,2
2080,2085,2082.5,0.000209205,0.00104603,2
2085,2090,2087.5,0.000209205,0.00104603,2
2095,2100,2097.5,0.000104603,0.000523013,1
2100,2105,2102.5,0.000209205,0.00104603,2
2105,2110,2107.5,0.000104603,0.000523013,1
2115,2120,2117.5,0.000104603,0.000523013,1
2120,2125,2122.5,0.000209205,0.00104603,2
2125,2130,2127.5,0.000104603,0.000523013,1
2130,2135,2132.5,0.000104603,0.000523013,1
2135,2140,2137.5,0.000209205,0.00104603,2
2145,2150,2147.5,0.000209205,0.00104603,2
2150,2155,2152.5,0.000104603,0.000523013,1
2160,2165,2162.5,0.000104603,0.000523013,1
2165,2170,2167.5,0.000104603,0.000523013,1
2175,2180,2177.5,0.000209205,0.00104603,2
2180,2185,2182.5,0.00041841,0.00209205,4
2185,2190,2187.5,0.000104603,0.000523013,1
2190,2195,2192.5,0.000313808,0.00156904,3
2195,2200,2197.5,0.000313808,0.00156904,3
2200,2205,2202.5,0.00041841,0.00209205,4
2205,2210,2207.5,0.000104603,0.000523013,1
2210,2215,2212.5,0.000209205,0.00104603,2
2215,2220,2217.5,0.000104603,0.000523013,1
2220,2225,2222.5,0.000104603,0.000523013,1
2225,2230,2227.5,0.000209205,0.00104603,2
2230,2235,2232.5,0.000313808,0.00156904,3
2235,2240,2237.5,0.000209205,0.00104603,2
2250,2255,2252.5,0.000104603,0.000523013,1
2255,2260,2257.5,0.000104603,0.000523013,1
2270,2275,2272.5,0.000313808,0.00156904,3
2280,2285,2282.5,0.00041841,0.00209205,4
2285,2290,2287.5,0.000209205,0.00104603,2
2290,2295,2292.5,0.000209205,0.00104603,2
2295,2300,2297.5,0.000209205,0.00104603,2
2305,2310,2307.5,0.000209205,0.00104603,2
2310,2315,2312.5,0.000313808,0.00156904,3
2320,2325,2322.5,0.000104603,0.000523013,1
2330,2335,2332.5,0.000104603,0.000523013,1
2335,2340,2337.5,0.000104603,0.000523013,1
2340,2345,2342.5,0.000209205,0.00104603,2
2345,2350,2347.5,0.000104603,0.000523013,1
2355,2360,2357.5,0.000209205,0.00104603,2
2370,2375,2372.5,0.000104603,0.000523013,1
2375,2380,2377.5,0.000209205,0.00104603,2
2380,2385,2382.5,0.000104603,0.000523013,1
2390,2395,2392.5,0.000104603,0.000523013,1
2400,2405,2402.5,0.000104603,0.000523013,1
2410,2415,2412.5,0.000313808,0.00156904,3
2415,2420,2417.5,0.000104603,0.000523013,1
2420,2425,2422.5,0.000104603,0.000523013,1
2425,2430,2427.5,0.000104603,0.000523013,1
2430,2435,2432.5,0.000104603,0.000523013,1
2435,2440,2437.5,0.000104603,0.000523013,1
2440,2445,2442.5,0.000104603,0.000523013,1
2445,2450,2447.5,0.000209205,0.00104603,2
2450,2455,2452.5,0.000104603,0.000523013,1
2465,2470,2467.5,0.000104603,0.000523013,1
2470,2475,2472.5,0.000104603,0.000523013,1
2475,2480,2477.5,0.000104603,0.000523013,1
2485,2490,2487.5,0.000523013,0.00261506,5
2500,2505,2502.5,0.000104603,0.000523013,1
2510,2515,2512.5,0.000209205,0.00104603,2
