bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
215,220,217.5,0.000569801,0.002849,2
230,235,232.5,0.0002849,0.0014245,1
280,285,282.5,0.000569801,0.002849,2
305,310,307.5,0.000569801,0.002849,2
350,355,352.5,0.000854701,0.0042735,3
365,370,367.5,0.000569801,0.002849,2
370,375,372.5,0.0002849,0.0014245,1
375,380,377.5,0.000569801,0.002849,2
380,385,382.5,0.0002849,0.0014245,1
390,395,392.5,0.0002849,0.0014245,1
400,405,402.5,0.000854701,0.0042735,3
405,410,407.5,0.0002849,0.0014245,1
420,425,422.5,0.0002849,0.0014245,1
435,440,437.5,0.0002849,0.0014245,1
440,445,442.5,0.000569801,0.002849,2
445,450,447.5,0.000569801,0.002849,2
450,455,452.5,0.000569801,0.002849,2
460,465,462.5,0.0011396,0.00569801,4
470,475,472.5,0.000569801,0.002849,2
475,480,477.5,0.0002849,0.0014245,1
480,485,482.5,0.0356125,0.178063,125
525,530,527.5,0.000854701,0.0042735,3
530,535,532.5,0.000569801,0.002849,2
540,545,542.5,0.000569801,0.002849,2
545,550,547.5,0.000569801,0.002849,2
555,560,557.5,0.0002849,0.0014245,1
565,570,567.5,0.0002849,0.0014245,1
580,585,582.5,0.0002849,0.0014245,1
585,590,587.5,0.0002849,0.0014245,1
600,605,602.5,0.0002849,0.0014245,1
605,610,607.5,0.0002849,0.0014245,1
615,620,617.5,0.0022792,0.011396,8
625,630,627.5,0.0002849,0.0014245,1
640,645,642.5,0.0002849,0.0014245,1
645,650,647.5,0.0002849,0.0014245,1
655,660,657.5,0.0002849,0.0014245,1
670,675,672.5,0.0002849,0.0014245,1
675,680,677.5,0.000569801,0.002849,2
685,690,687.5,0.000854701,0.0042735,3
705,710,707.5,0.0002849,0.0014245,1
710,715,712.5,0.0002849,0.0014245,1
735,740,737.5,0.0002849,0.0014245,1
745,750,747.5,0.0002849,0.0014245,1
750,755,752.5,0.0011396,0.00569801,4
755,760,757.5,0.000569801,0.002849,2
765,770,767.5,0.0002849,0.0014245,1
775,780,777.5,0.0002849,0.0014245,1
785,790,787.5,0.0002849,0.0014245,1
800,805,802.5,0.000854701,0.0042735,3
805,810,807.5,0.0002849,0.0014245,1
830,835,832.5,0.0002849,0.0014245,1
840,845,842.5,0.0002849,0.0014245,1
870,875,872.5,0.0002849,0.0014245,1
900,905,902.5,0.000569801,0.002849,2
955,960,957.5,0.0002849,0.0014245,1
985,990,987.5,0.0002849,0.0014245,1
990,995,992.5,0.0002849,0.0014245,1
1005,1010,1007.5,0.000569801,0.002849,2
1030,1035,1032.5,0.0002849,0.0014245,1
1035,1040,1037.5,0.0002849,0.0014245,1
1050,1055,1052.5,0.0002849,0.0014245,1
1065,1070,1067.5,0.0002849,0.0014245,1
1070,1075,1072.5,0.0002849,0.0014245,1
1075,1080,1077.5,0.0002849,0.0014245,1
1165,1170,1167.5,0.000569801,0.002849,2
1170,1175,1172.5,0.0011396,0.00569801,4
1175,1180,1177.5,0.0002849,0.0014245,1
1190,1195,1192.5,0.0002849,0.0014245,1
1200,1205,1202.5,0.000569801,0.002849,2
1205,1210,1207.5,0.0002849,0.0014245,1
1220,1225,1222.5,0.0002849,0.0014245,1
1230,1235,1232.5,0.000569801,0.002849,2
1235,1240,1237.5,0.000569801,0.002849,2
1270,1275,1272.5,0.0002849,0.0014245,1
1310,1315,1312.5,0.0002849,0.0014245,1
1320,1325,1322.5,0.0002849,0.0014245,1
1340,1345,1342.5,0.000569801,0.002849,2
1355,1360,1357.5,0.0002849,0.0014245,1
1360,1365,1362.5,0.0002849,0.0014245,1
1375,1380,1377.5,0.000569801,0.002849,2
1390,1395,1392.5,0.0002849,0.0014245,1
1400,1405,1402.5,0.0002849,0.0014245,1
1405,1410,1407.5,0.0002849,0.0014245,1
1425,1430,1427.5,0.0002849,0.0014245,1
1440,1445,1442.5,0.0002849,0.0014245,1
1460,1465,1462.5,0.0002849,0.0014245,1
1470,1475,1472.5,0.0002849,0.0014245,1
1480,1485,1482.5,0.0002849,0.0014245,1
1490,1495,1492.5,0.0002849,0.0014245,1
1550,1555,1552.5,0.0002849,0.0014245,1
1605,1610,1607.5,0.0002849,0.0014245,1
1620,1625,1622.5,0.0002849,0.0014245,1
1625,1630,1627.5,0.0002849,0.0014245,1
1635,1640,1637.5,0.000569801,0.002849,2
1640,1645,1642.5,0.0002849,0.0014245,1
1660,1665,1662.5,0.0002849,0.0014245,1
1675,1680,1677.5,0.0002849,0.0014245,1
1695,1700,1697.5,0.0002849,0.0014245,1
1705,1710,1707.5,0.0002849,0.0014245,1
1715,1720,1717.5,0.0002849,0.0014245,1
1720,1725,1722.5,0.0002849,0.0014245,1
1760,1765,1762.5,0.0002849,0.0014245,1
1790,1795,1792.5,0.0002849,0.0014245,1
1810,1815,1812.5,0.000569801,0.002849,2
1820,1825,1822.5,0.0002849,0.0014245,1
1840,1845,1842.5,0.0002849,0.0014245,1
1850,1855,1852.5,0.0002849,0.0014245,1
1860,1865,1862.5,0.0002849,0.0014245,1
1895,1900,1897.5,0.0002849,0.0014245,1
1935,1940,1937.5,0.0002849,0.0014245,1
1950,1955,1952.5,0.0002849,0.0014245,1
2015,2020,2017.5,0.0002849,0.0014245,1
2025,2030,2027.5,0.0002849,0.0014245,1
2045,2050,2047.5,0.0002849,0.0014245,1
2050,2055,2052.5,0.0002849,0.0014245,1
2055,2060,2057.5,0.000569801,0.002849,2
2070,2075,2072.5,0.0002849,0.0014245,1
2100,2105,2102.5,0.0002849,0.0014245,1
2105,2110,2107.5,0.0002849,0.0014245,1
2110,2115,2112.5,0.0002849,0.0014245,1
2135,2140,2137.5,0.0002849,0.0014245,1
2185,2190,2187.5,0.0002849,0.0014245,1
2210,2215,2212.5,0.0002849,0.0014245,1
2225,2230,2227.5,0.0002849,0.0014245,1
2230,2235,2232.5,0.000569801,0.002849,2
2235,2240,2237.5,0.0002849,0.0014245,1
2285,2290,2287.5,0.0002849,0.0014245,1
2300,2305,2302.5,0.0002849,0.0014245,1
2305,2310,2307.5,0.0002849,0.0014245,1
2310,2315,2312.5,0.0002849,0.0014245,1
2315,2320,2317.5,0.0002849,0.0014245,1
2325,2330,2327.5,0.0002849,0.0014245,1
2340,2345,2342.5,0.0002849,0.0014245,1
2370,2375,2372.5,0.0002849,0.0014245,1
2375,2380,2377.5,0.0002849,0.0014245,1
2380,2385,2382.5,0.0002849,0.0014245,1
2385,2390,2387.5,0.0002849,0.0014245,1
2395,2400,2397.5,0.0002849,0.0014245,1
2410,2415,2412.5,0.0002849,0.0014245,1
2420,2425,2422.5,0.0002849,0.0014245,1
2435,2440,2437.5,0.0002849,0.0014245,1
2440,2445,2442.5,0.0002849,0.0014245,1
2450,2455,2452.5,0.0002849,0.0014245,1
2465,2470,2467.5,0.0002849,0.0014245,1
2480,2485,2482.5,0.0002849,0.0014245,1
2495,2500,2497.5,0.000569801,0.002849,2
2500,2505,2502.5,0.0002849,0.0014245,1
2515,2520,2517.5,0.0002849,0.0014245,1
2530,2535,2532.5,0.0002849,0.0014245,1
2560,2565,2562.5,0.0002849,0.0014245,1
2565,2570,2567.5,0.0002849,0.0014245,1
2570,2575,2572.5,0.0002849,0.0014245,1
2580,2585,2582.5,0.0002849,0.0014245,1
2595,2600,2597.5,0.0002849,0.0014245,1
2650,2655,2652.5,0.0002849,0.0014245,1
2660,2665,2662.5,0.0002849,0.0014245,1
2665,2670,2667.5,0.0002849,0.0014245,1
