bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,2.15308e-05,0.000107654,2
215,220,217.5,6.45925e-05,0.000322963,6
220,225,222.5,6.45925e-05,0.000322963,6
225,230,227.5,3.22963e-05,0.000161481,3
230,235,232.5,2.15308e-05,0.000107654,2
235,240,237.5,4.30617e-05,0.000215308,4
240,245,242.5,3.22963e-05,0.000161481,3
245,250,247.5,8.61234e-05,0.000430617,8
250,255,252.5,4.30617e-05,0.000215308,4
255,260,257.5,4.30617e-05,0.000215308,4
260,265,262.5,1.07654e-05,5.38271e-05,1
265,270,267.5,4.30617e-05,0.000215308,4
270,275,272.5,2.15308e-05,0.000107654,2
275,280,277.5,3.22963e-05,0.000161481,3
280,285,282.5,2.15308e-05,0.000107654,2
285,290,287.5,4.30617e-05,0.000215308,4
290,295,292.5,1.07654e-05,5.38271e-05,1
295,300,297.5,3.22963e-05,0.000161481,3
300,305,302.5,4.30617e-05,0.000215308,4
305,310,307.5,2.15308e-05,0.000107654,2
310,315,312.5,4.30617e-05,0.000215308,4
315,320,317.5,6.45925e-05,0.000322963,6
320,325,322.5,3.22963e-05,0.000161481,3
325,330,327.5,4.30617e-05,0.000215308,4
330,335,332.5,3.22963e-05,0.000161481,3
335,340,337.5,5.38271e-05,0.000269136,5
340,345,342.5,3.22963e-05,0.000161481,3
345,350,347.5,4.30617e-05,0.000215308,4
350,355,352.5,0.000430617,0.00215308,40
355,360,357.5,0.000688987,0.00344493,64
360,365,362.5,0.000613629,0.00306815,57
365,370,367.5,0.000656691,0.00328345,61
370,375,372.5,0.000570567,0.00285284,53
375,380,377.5,0.000592098,0.00296049,55
380,385,382.5,0.000527506,0.00263753,49
385,390,387.5,0.000290666,0.00145333,27
390,395,392.5,0.000312197,0.00156099,29
395,400,397.5,0.00037679,0.00188395,35
400,405,402.5,0.000269136,0.00134568,25
405,410,407.5,0.000290666,0.00145333,27
410,415,412.5,0.000193778,0.000968888,18
415,420,417.5,0.000183012,0.000915061,17
420,425,422.5,0.000344493,0.00172247,32
425,430,427.5,0.000204543,0.00102272,19
430,435,432.5,0.000269136,0.00134568,25
435,440,437.5,0.000150716,0.00075358,14
440,445,442.5,0.000193778,0.000968888,18
445,450,447.5,0.000236839,0.0011842,22
450,455,452.5,0.000279901,0.0013995,26
455,460,457.5,0.000226074,0.00113037,21
460,465,462.5,0.000183012,0.000915061,17
465,470,467.5,0.000226074,0.00113037,21
470,475,472.5,0.000398321,0.0019916,37
475,480,477.5,0.000172247,0.000861234,16
480,485,482.5,9.68888e-05,0.000484444,9
485,490,487.5,0.000161481,0.000807407,15
490,495,492.5,0.000161481,0.000807407,15
495,500,497.5,0.000204543,0.00102272,19
500,505,502.5,0.000226074,0.00113037,21
505,510,507.5,0.000107654,0.000538271,10
510,515,512.5,0.000172247,0.000861234,16
515,520,517.5,0.000129185,0.000645925,12
520,525,522.5,9.68888e-05,0.000484444,9
525,530,527.5,0.00013995,0.000699752,13
530,535,532.5,0.000193778,0.000968888,18
535,540,537.5,0.000204543,0.00102272,19
540,545,542.5,0.00013995,0.000699752,13
545,550,547.5,0.000150716,0.00075358,14
550,555,552.5,0.000129185,0.000645925,12
555,560,557.5,0.000150716,0.00075358,14
560,565,562.5,0.000172247,0.000861234,16
565,570,567.5,0.000150716,0.00075358,14
570,575,572.5,0.000279901,0.0013995,26
575,580,577.5,0.000236839,0.0011842,22
580,585,582.5,0.000161481,0.000807407,15
585,590,587.5,0.000247605,0.00123802,23
590,595,592.5,0.000129185,0.000645925,12
595,600,597.5,0.000172247,0.000861234,16
600,605,602.5,0.000150716,0.00075358,14
