bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,3.073824e-05,0.0001536912,0
215.0,220.0,217.5,3.510108e-05,0.0001755054,0
220.0,225.0,222.5,5.209962e-05,0.0002604981,0
225.0,230.0,227.5,3.570264e-05,0.0001785132,0
230.0,235.0,232.5,3.083098e-05,0.0001541549,0
235.0,240.0,237.5,3.71666e-05,0.000185833,0
240.0,245.0,242.5,1.548242e-05,7.74121e-05,0
245.0,250.0,247.5,2.052976e-05,0.0001026488,0
250.0,255.0,252.5,2.644524e-05,0.0001322262,0
255.0,260.0,257.5,2.941888e-05,0.0001470944,0
260.0,265.0,262.5,3.916308e-05,0.0001958154,0
265.0,270.0,267.5,3.234588e-05,0.0001617294,0
270.0,275.0,272.5,1.96565e-05,9.82825e-05,0
275.0,280.0,277.5,2.46465e-05,0.0001232325,0
280.0,285.0,282.5,1.94897e-05,9.74485e-05,0
285.0,290.0,287.5,1.588886e-05,7.94443e-05,0
290.0,295.0,292.5,3.597596e-05,0.0001798798,0
295.0,300.0,297.5,4.57291e-05,0.0002286455,0
300.0,305.0,302.5,1.427944e-05,7.13972e-05,0
305.0,310.0,307.5,1.560316e-05,7.80158e-05,0
310.0,315.0,312.5,2.526338e-05,0.0001263169,0
315.0,320.0,317.5,4.474558e-05,0.0002237279,0
320.0,325.0,322.5,1.51027e-05,7.55135e-05,0
325.0,330.0,327.5,2.559818e-05,0.0001279909,0
330.0,335.0,332.5,4.192696e-05,0.0002096348,0
335.0,340.0,337.5,1.951714e-05,9.75857e-05,0
340.0,345.0,342.5,1.989614e-05,9.94807e-05,0
345.0,350.0,347.5,3.083098e-05,0.0001541549,0
350.0,355.0,352.5,0.0003056946,0.001528473,0
355.0,360.0,357.5,0.0004171198,0.002085599,0
360.0,365.0,362.5,0.0003333194,0.001666597,0
365.0,370.0,367.5,0.0003793058,0.001896529,0
370.0,375.0,372.5,0.00035127482,0.0017563741,0
375.0,380.0,377.5,0.0003343632,0.001671816,0
380.0,385.0,382.5,0.000370005,0.001850025,0
385.0,390.0,387.5,0.00013431558,0.0006715779,0
390.0,395.0,392.5,0.00014008048,0.0007004024,0
395.0,400.0,397.5,0.0001513337,0.0007566685,0
400.0,405.0,402.5,0.0001044242,0.000522121,0
