bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,4.8526e-05,0.00024263,2
215,220,217.5,9.7052e-05,0.00048526,4
220,225,222.5,0.000121315,0.000606575,5
225,230,227.5,7.2789e-05,0.000363945,3
230,235,232.5,7.2789e-05,0.000363945,3
235,240,237.5,2.4263e-05,0.000121315,1
240,245,242.5,2.4263e-05,0.000121315,1
245,250,247.5,9.7052e-05,0.00048526,4
250,255,252.5,2.4263e-05,0.000121315,1
255,260,257.5,0.000121315,0.000606575,5
265,270,267.5,0.000121315,0.000606575,5
275,280,277.5,4.8526e-05,0.00024263,2
280,285,282.5,0.000169841,0.000849205,7
285,290,287.5,2.4263e-05,0.000121315,1
290,295,292.5,7.2789e-05,0.000363945,3
295,300,297.5,4.8526e-05,0.00024263,2
300,305,302.5,7.2789e-05,0.000363945,3
305,310,307.5,4.8526e-05,0.00024263,2
310,315,312.5,2.4263e-05,0.000121315,1
315,320,317.5,4.8526e-05,0.00024263,2
325,330,327.5,4.8526e-05,0.00024263,2
335,340,337.5,9.7052e-05,0.00048526,4
340,345,342.5,0.000921994,0.00460997,38
345,350,347.5,0.000752153,0.00376077,31
350,355,352.5,0.000315419,0.0015771,13
355,360,357.5,0.000630838,0.00315419,26
360,365,362.5,0.000655101,0.00327551,27
365,370,367.5,0.000558049,0.00279025,23
370,375,372.5,0.000606575,0.00303288,25
375,380,377.5,0.000436734,0.00218367,18
380,385,382.5,0.000412471,0.00206236,17
385,390,387.5,0.000339682,0.00169841,14
390,395,392.5,0.000121315,0.000606575,5
395,400,397.5,0.000145578,0.00072789,6
400,405,402.5,0.000218367,0.00109184,9
405,410,407.5,0.000218367,0.00109184,9
410,415,412.5,0.000315419,0.0015771,13
415,420,417.5,0.000169841,0.000849205,7
420,425,422.5,0.000194104,0.00097052,8
425,430,427.5,7.2789e-05,0.000363945,3
430,435,432.5,0.000315419,0.0015771,13
435,440,437.5,0.000339682,0.00169841,14
440,445,442.5,0.000194104,0.00097052,8
445,450,447.5,0.000291156,0.00145578,12
450,455,452.5,0.000291156,0.00145578,12
455,460,457.5,0.000145578,0.00072789,6
460,465,462.5,0.000266893,0.00133447,11
465,470,467.5,0.000388208,0.00194104,16
470,475,472.5,0.0160864,0.0804319,663
475,480,477.5,0.000169841,0.000849205,7
480,485,482.5,0.000194104,0.00097052,8
485,490,487.5,0.000363945,0.00181973,15
490,495,492.5,0.000121315,0.000606575,5
495,500,497.5,0.000315419,0.0015771,13
500,505,502.5,0.000218367,0.00109184,9
505,510,507.5,0.000315419,0.0015771,13
510,515,512.5,0.00024263,0.00121315,10
515,520,517.5,0.000218367,0.00109184,9
520,525,522.5,0.000218367,0.00109184,9
525,530,527.5,0.000218367,0.00109184,9
530,535,532.5,0.000315419,0.0015771,13
535,540,537.5,0.000169841,0.000849205,7
540,545,542.5,0.000339682,0.00169841,14
545,550,547.5,0.000218367,0.00109184,9
550,555,552.5,0.000218367,0.00109184,9
555,560,557.5,0.000315419,0.0015771,13
560,565,562.5,4.8526e-05,0.00024263,2
565,570,567.5,0.000266893,0.00133447,11
570,575,572.5,0.00024263,0.00121315,10
575,580,577.5,7.2789e-05,0.000363945,3
580,585,582.5,2.4263e-05,0.000121315,1
585,590,587.5,0.000145578,0.00072789,6
590,595,592.5,4.8526e-05,0.00024263,2
595,600,597.5,0.000218367,0.00109184,9
600,605,602.5,0.000994783,0.00497392,41
605,610,607.5,0.00024263,0.00121315,10
610,615,612.5,0.000582312,0.00291156,24
615,620,617.5,0.000121315,0.000606575,5
620,625,622.5,0.000218367,0.00109184,9
625,630,627.5,0.000121315,0.000606575,5
630,635,632.5,0.000169841,0.000849205,7
635,640,637.5,0.000339682,0.00169841,14
640,645,642.5,0.000315419,0.0015771,13
645,650,647.5,0.000218367,0.00109184,9
650,655,652.5,0.000218367,0.00109184,9
655,660,657.5,0.000194104,0.00097052,8
660,665,662.5,0.000388208,0.00194104,16
665,670,667.5,0.000291156,0.00145578,12
670,675,672.5,0.000169841,0.000849205,7
675,680,677.5,0.000218367,0.00109184,9
680,685,682.5,0.00024263,0.00121315,10
685,690,687.5,0.000339682,0.00169841,14
690,695,692.5,0.000218367,0.00109184,9
695,700,697.5,0.000291156,0.00145578,12
700,705,702.5,0.000266893,0.00133447,11
705,710,707.5,7.2789e-05,0.000363945,3
710,715,712.5,0.00024263,0.00121315,10
715,720,717.5,0.000145578,0.00072789,6
720,725,722.5,0.00024263,0.00121315,10
725,730,727.5,0.000266893,0.00133447,11
730,735,732.5,0.000218367,0.00109184,9
735,740,737.5,0.000194104,0.00097052,8
740,745,742.5,0.0028873,0.0144365,119
745,750,747.5,9.7052e-05,0.00048526,4
750,755,752.5,0.000169841,0.000849205,7
755,760,757.5,0.00024263,0.00121315,10
760,765,762.5,0.000266893,0.00133447,11
765,770,767.5,0.000121315,0.000606575,5
770,775,772.5,0.000388208,0.00194104,16
775,780,777.5,0.000460997,0.00230499,19
780,785,782.5,0.000169841,0.000849205,7
785,790,787.5,0.000266893,0.00133447,11
790,795,792.5,0.000145578,0.00072789,6
795,800,797.5,0.00024263,0.00121315,10
800,805,802.5,0.000194104,0.00097052,8
805,810,807.5,0.000145578,0.00072789,6
810,815,812.5,0.000266893,0.00133447,11
815,820,817.5,0.000218367,0.00109184,9
820,825,822.5,0.000194104,0.00097052,8
825,830,827.5,0.000145578,0.00072789,6
830,835,832.5,0.00024263,0.00121315,10
835,840,837.5,0.000291156,0.00145578,12
840,845,842.5,0.000145578,0.00072789,6
845,850,847.5,0.000145578,0.00072789,6
850,855,852.5,0.000194104,0.00097052,8
855,860,857.5,0.000145578,0.00072789,6
860,865,862.5,7.2789e-05,0.000363945,3
865,870,867.5,9.7052e-05,0.00048526,4
870,875,872.5,0.000218367,0.00109184,9
875,880,877.5,0.000291156,0.00145578,12
880,885,882.5,0.000291156,0.00145578,12
885,890,887.5,0.000121315,0.000606575,5
890,895,892.5,0.000121315,0.000606575,5
895,900,897.5,0.000145578,0.00072789,6
900,905,902.5,0.000218367,0.00109184,9
905,910,907.5,0.000218367,0.00109184,9
910,915,912.5,0.000388208,0.00194104,16
915,920,917.5,7.2789e-05,0.000363945,3
920,925,922.5,0.000194104,0.00097052,8
925,930,927.5,0.000145578,0.00072789,6
