bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,6.514298e-05,0.0003257149,0
215.0,220.0,217.5,0.00010479762,0.0005239881,0
220.0,225.0,222.5,0.00011695138,0.0005847569,0
225.0,230.0,227.5,0.0001186794,0.000593397,0
230.0,235.0,232.5,9.309414e-05,0.0004654707,0
235.0,240.0,237.5,8.768768e-05,0.0004384384,0
240.0,245.0,242.5,0.00013302082,0.0006651041,0
245.0,250.0,247.5,0.00013021694,0.0006510847,0
250.0,255.0,252.5,0.00012648432,0.0006324216,0
255.0,260.0,257.5,0.00010801844,0.0005400922,0
260.0,265.0,262.5,0.00014778962,0.0007389481,0
265.0,270.0,267.5,8.286304e-05,0.0004143152,0
270.0,275.0,272.5,0.00013416276,0.0006708138,0
275.0,280.0,277.5,9.42757e-05,0.0004713785,0
280.0,285.0,282.5,0.00012679948,0.0006339974,0
285.0,290.0,287.5,0.00010027964,0.0005013982,0
290.0,295.0,292.5,0.00011808344,0.0005904172,0
295.0,300.0,297.5,0.00010135568,0.0005067784,0
300.0,305.0,302.5,0.0001210614,0.000605307,0
305.0,310.0,307.5,0.00014273262,0.0007136631,0
310.0,315.0,312.5,0.00013123946,0.0006561973,0
315.0,320.0,317.5,9.509186e-05,0.0004754593,0
320.0,325.0,322.5,8.661552e-05,0.0004330776,0
325.0,330.0,327.5,0.0001176006,0.000588003,0
330.0,335.0,332.5,0.00016636414,0.0008318207,0
335.0,340.0,337.5,0.00011672044,0.0005836022,0
340.0,345.0,342.5,0.0015004512,0.007502256,0
345.0,350.0,347.5,0.0008566716,0.004283358,0
350.0,355.0,352.5,0.0006939436,0.003469718,0
355.0,360.0,357.5,0.000719512,0.00359756,0
360.0,365.0,362.5,0.0006909522,0.003454761,0
365.0,370.0,367.5,0.0007011772,0.003505886,0
370.0,375.0,372.5,0.0006191874,0.003095937,0
375.0,380.0,377.5,0.000497694,0.00248847,0
380.0,385.0,382.5,0.0004875828,0.002437914,0
385.0,390.0,387.5,0.0003160877,0.0015804385,0
390.0,395.0,392.5,0.00031765898,0.0015882949,0
395.0,400.0,397.5,0.00028042522,0.0014021261,0
400.0,405.0,402.5,0.00035718416,0.0017859208,0
405.0,410.0,407.5,0.00035238284,0.0017619142,0
410.0,415.0,412.5,0.00025334724,0.0012667362,0
415.0,420.0,417.5,0.0003256354,0.001628177,0
420.0,425.0,422.5,0.0003180294,0.001590147,0
425.0,430.0,427.5,0.00033506584,0.0016753292,0
430.0,435.0,432.5,0.00032803834,0.0016401917,0
435.0,440.0,437.5,0.00039327334,0.0019663667,0
440.0,445.0,442.5,0.00030260264,0.0015130132,0
445.0,450.0,447.5,0.00028197682,0.0014098841,0
450.0,455.0,452.5,0.00024114884,0.0012057442,0
455.0,460.0,457.5,0.00032510704,0.0016255352,0
460.0,465.0,462.5,0.00023756504,0.0011878252,0
465.0,470.0,467.5,0.00028542698,0.0014271349,0
470.0,475.0,472.5,0.017038938,0.08519469,0
475.0,480.0,477.5,0.00031552542,0.0015776271,0
480.0,485.0,482.5,0.00026227612,0.0013113806,0
485.0,490.0,487.5,0.00024769912,0.0012384956,0
490.0,495.0,492.5,0.00033338794,0.0016669397,0
495.0,500.0,497.5,0.00026659342,0.0013329671,0
500.0,505.0,502.5,0.0003511886,0.001755943,0
505.0,510.0,507.5,0.00030811684,0.0015405842,0
510.0,515.0,512.5,0.0003193742,0.001596871,0
515.0,520.0,517.5,0.00031653442,0.0015826721,0
520.0,525.0,522.5,0.00030316082,0.0015158041,0
525.0,530.0,527.5,0.00037721858,0.0018860929,0
530.0,535.0,532.5,0.00024020712,0.0012010356,0
535.0,540.0,537.5,0.00025107244,0.0012553622,0
540.0,545.0,542.5,0.00025769304,0.0012884652,0
545.0,550.0,547.5,0.00027873124,0.0013936562,0
550.0,555.0,552.5,0.00027055194,0.0013527597,0
555.0,560.0,557.5,0.00028480098,0.0014240049,0
560.0,565.0,562.5,0.00032290106,0.0016145053,0
565.0,570.0,567.5,0.00019788764,0.0009894382,0
570.0,575.0,572.5,0.00021634636,0.0010817318,0
575.0,580.0,577.5,0.00021196786,0.0010598393,0
580.0,585.0,582.5,0.00015344546,0.0007672273,0
585.0,590.0,587.5,0.00016881112,0.0008440556,0
590.0,595.0,592.5,0.00024833032,0.0012416516,0
595.0,600.0,597.5,0.00014260272,0.0007130136,0
600.0,605.0,602.5,0.003673266,0.01836633,0
605.0,610.0,607.5,0.00016890854,0.0008445427,0
610.0,615.0,612.5,0.00025525766,0.0012762883,0
615.0,620.0,617.5,0.0002801878,0.001400939,0
620.0,625.0,622.5,0.00028098998,0.0014049499,0
625.0,630.0,627.5,0.00022789748,0.0011394874,0
630.0,635.0,632.5,0.00026087538,0.0013043769,0
635.0,640.0,637.5,0.00022307396,0.0011153698,0
