CWds,QSRC,PSRC,nPedca,delay_type,P50_us,P95_us,P99_us
0,0,1,5,all,2002.50,15607.50,22852.50
0,0,2,5,all,2012.50,16092.50,23362.50
0,0,3,5,all,1927.50,15447.50,22677.50
0,1,1,5,all,2127.50,15807.50,23282.50
0,1,2,5,all,2137.50,16002.50,23342.50
0,1,3,5,all,2082.50,15767.50,23307.50
0,2,1,5,all,2312.50,15812.50,23307.50
0,2,2,5,all,2297.50,15872.50,23532.50
0,2,3,5,all,2237.50,15572.50,23237.50
0,3,1,5,all,2312.50,15587.50,23157.50
0,3,2,5,all,2397.50,15957.50,23777.50
0,3,3,5,all,2412.50,15957.50,23642.50
0,4,1,5,all,2287.50,15582.50,22922.50
0,4,2,5,all,2277.50,15497.50,22777.50
0,4,3,5,all,2282.50,15347.50,22772.50
0,5,1,5,all,2382.50,16157.50,23357.50
0,5,2,5,all,2342.50,15942.50,23247.50
0,5,3,5,all,2367.50,16097.50,23382.50
1,0,1,5,all,2002.50,15607.50,22852.50
1,0,2,5,all,2017.50,16062.50,23382.50
1,0,3,5,all,1922.50,15647.50,22862.50
1,1,1,5,all,2122.50,15682.50,23082.50
1,1,2,5,all,2182.50,16192.50,23842.50
1,1,3,5,all,2097.50,15787.50,23277.50
1,2,1,5,all,2302.50,15777.50,23327.50
1,2,2,5,all,2292.50,15697.50,23322.50
1,2,3,5,all,2322.50,15897.50,23532.50
1,3,1,5,all,2277.50,15327.50,22777.50
1,3,2,5,all,2307.50,15397.50,22912.50
1,3,3,5,all,2312.50,15487.50,23067.50
1,4,1,5,all,2362.50,15877.50,23107.50
1,4,2,5,all,2287.50,15642.50,23052.50
1,4,3,5,all,2287.50,15452.50,22782.50
1,5,1,5,all,2367.50,16057.50,23272.50
1,5,2,5,all,2362.50,16132.50,23397.50
1,5,3,5,all,2387.50,16142.50,23497.50
0,0,1,15,all,1752.50,15612.50,23192.50
0,0,2,15,all,1482.50,14902.50,22802.50
0,0,3,15,all,1392.50,15117.50,23252.50
0,1,1,15,all,1977.50,16262.50,24537.50
0,1,2,15,all,1742.50,15837.50,24787.50
0,1,3,15,all,1667.50,16482.50,26147.50
0,2,1,15,all,2332.50,16122.50,25092.50
0,2,2,15,all,2162.50,15862.50,25422.50
0,2,3,15,all,2087.50,15647.50,25292.50
0,3,1,15,all,2492.50,15847.50,24417.50
0,3,2,15,all,2382.50,15637.50,24987.50
0,3,3,15,all,2387.50,16222.50,26427.50
0,4,1,15,all,2317.50,15202.50,23257.50
0,4,2,15,all,2522.50,16342.50,25082.50
0,4,3,15,all,2492.50,16467.50,25972.50
0,5,1,15,all,2572.50,16632.50,24557.50
0,5,2,15,all,2662.50,17572.50,26047.50
0,5,3,15,all,2552.50,17127.50,25787.50
1,0,1,15,all,1752.50,15612.50,23192.50
1,0,2,15,all,1462.50,14422.50,22122.50
1,0,3,15,all,1392.50,15262.50,23392.50
1,1,1,15,all,1982.50,16132.50,24382.50
1,1,2,15,all,1732.50,15532.50,24542.50
1,1,3,15,all,1677.50,15687.50,24832.50
1,2,1,15,all,2337.50,16052.50,25237.50
1,2,2,15,all,2212.50,15907.50,25367.50
1,2,3,15,all,2142.50,15957.50,25842.50
1,3,1,15,all,2507.50,15752.50,24652.50
1,3,2,15,all,2407.50,15577.50,24902.50
1,3,3,15,all,2337.50,15562.50,24972.50
1,4,1,15,all,2547.50,15937.50,24202.50
1,4,2,15,all,2492.50,16047.50,24762.50
1,4,3,15,all,2507.50,16382.50,25392.50
1,5,1,15,all,2502.50,16237.50,23907.50
1,5,2,15,all,2662.50,17307.50,25727.50
1,5,3,15,all,2587.50,17162.50,25602.50
0,0,1,30,all,1582.50,15877.50,23647.50
0,0,2,30,all,1002.50,13072.50,21632.50
0,0,3,30,all,867.50,11947.50,22052.50
0,1,1,30,all,1757.50,16242.50,25747.50
0,1,2,30,all,1237.50,14422.50,27417.50
0,1,3,30,all,1147.50,14112.50,31817.50
0,2,1,30,all,2197.50,16102.50,27657.50
0,2,2,30,all,1837.50,16722.50,33337.50
0,2,3,30,all,1632.50,17772.50,38887.50
0,3,1,30,all,2567.50,16122.50,28092.50
0,3,2,30,all,2267.50,16292.50,32877.50
0,3,3,30,all,2142.50,17442.50,37367.50
0,4,1,30,all,2662.50,16077.50,26837.50
0,4,2,30,all,2807.50,18357.50,33607.50
0,4,3,30,all,2547.50,18432.50,35752.50
0,5,1,30,all,2687.50,17132.50,26447.50
0,5,2,30,all,2827.50,18772.50,31032.50
0,5,3,30,all,2877.50,19947.50,34442.50
1,0,1,30,all,1582.50,15877.50,23647.50
1,0,2,30,all,1002.50,12852.50,21422.50
1,0,3,30,all,877.50,11867.50,22137.50
1,1,1,30,all,1837.50,16777.50,26587.50
1,1,2,30,all,1347.50,14967.50,27927.50
1,1,3,30,all,1247.50,14887.50,31832.50
1,2,1,30,all,2187.50,15992.50,27177.50
1,2,2,30,all,1792.50,15747.50,32342.50
1,2,3,30,all,1652.50,17477.50,38802.50
1,3,1,30,all,2632.50,16387.50,28852.50
1,3,2,30,all,2282.50,16077.50,32487.50
1,3,3,30,all,2182.50,17692.50,37842.50
1,4,1,30,all,2757.50,16297.50,27072.50
1,4,2,30,all,2782.50,17932.50,33097.50
1,4,3,30,all,2682.50,19067.50,36802.50
1,5,1,30,all,2917.50,17832.50,27052.50
1,5,2,30,all,2972.50,19217.50,31307.50
1,5,3,30,all,2992.50,20537.50,35302.50
0,0,1,5,legacy,2487.50,16262.50,23332.50
