bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,4.93171e-05,0.0002465855,0
215.0,220.0,217.5,9.280258e-05,0.0004640129,0
220.0,225.0,222.5,0.00010953222,0.0005476611,0
225.0,230.0,227.5,0.00011174382,0.0005587191,0
230.0,235.0,232.5,0.00011304556,0.0005652278,0
235.0,240.0,237.5,0.00010164246,0.0005082123,0
240.0,245.0,242.5,0.00012991416,0.0006495708,0
245.0,250.0,247.5,0.0001084647,0.0005423235,0
250.0,255.0,252.5,0.00011397238,0.0005698619,0
255.0,260.0,257.5,0.00011633422,0.0005816711,0
260.0,265.0,262.5,0.00011173658,0.0005586829,0
265.0,270.0,267.5,0.00010741684,0.0005370842,0
270.0,275.0,272.5,0.00010970318,0.0005485159,0
275.0,280.0,277.5,0.00011835648,0.0005917824,0
280.0,285.0,282.5,0.00010399156,0.0005199578,0
285.0,290.0,287.5,9.944994e-05,0.0004972497,0
290.0,295.0,292.5,0.00010958298,0.0005479149,0
295.0,300.0,297.5,0.00012617954,0.0006308977,0
300.0,305.0,302.5,0.00012852822,0.0006426411,0
305.0,310.0,307.5,0.00010967168,0.0005483584,0
310.0,315.0,312.5,0.00012069922,0.0006034961,0
315.0,320.0,317.5,0.00011279644,0.0005639822,0
320.0,325.0,322.5,0.00010833836,0.0005416918,0
325.0,330.0,327.5,9.731658e-05,0.0004865829,0
330.0,335.0,332.5,0.00010752042,0.0005376021,0
335.0,340.0,337.5,0.00011633172,0.0005816586,0
340.0,345.0,342.5,0.001596675,0.007983375,0
345.0,350.0,347.5,0.0010482478,0.005241239,0
350.0,355.0,352.5,0.0007587758,0.003793879,0
355.0,360.0,357.5,0.0008043002,0.004021501,0
360.0,365.0,362.5,0.0007999328,0.003999664,0
365.0,370.0,367.5,0.0007646828,0.003823414,0
370.0,375.0,372.5,0.0007501552,0.003750776,0
375.0,380.0,377.5,0.0004687258,0.002343629,0
380.0,385.0,382.5,0.0004450752,0.002225376,0
385.0,390.0,387.5,0.000305309,0.001526545,0
390.0,395.0,392.5,0.0003172322,0.001586161,0
395.0,400.0,397.5,0.0003365926,0.001682963,0
400.0,405.0,402.5,0.0003407706,0.001703853,0
405.0,410.0,407.5,0.0003709854,0.001854927,0
410.0,415.0,412.5,0.00038520766,0.0019260383,0
415.0,420.0,417.5,0.0003521824,0.001760912,0
420.0,425.0,422.5,0.0003778844,0.001889422,0
425.0,430.0,427.5,0.0003284956,0.001642478,0
430.0,435.0,432.5,0.0003908612,0.001954306,0
435.0,440.0,437.5,0.0003969486,0.001984743,0
440.0,445.0,442.5,0.0002802641,0.0014013205,0
445.0,450.0,447.5,0.0002636072,0.001318036,0
450.0,455.0,452.5,0.0002477273,0.0012386365,0
455.0,460.0,457.5,0.0002658486,0.001329243,0
460.0,465.0,462.5,0.00027954602,0.0013977301,0
465.0,470.0,467.5,0.0002593194,0.001296597,0
470.0,475.0,472.5,0.01568229,0.07841145,0
475.0,480.0,477.5,0.0003042298,0.001521149,0
480.0,485.0,482.5,0.0002915068,0.001457534,0
485.0,490.0,487.5,0.000320653,0.001603265,0
490.0,495.0,492.5,0.00030288916,0.0015144458,0
495.0,500.0,497.5,0.0003141366,0.001570683,0
500.0,505.0,502.5,0.000296239,0.001481195,0
505.0,510.0,507.5,0.0002795326,0.001397663,0
510.0,515.0,512.5,0.0003378382,0.001689191,0
515.0,520.0,517.5,0.000312952,0.00156476,0
520.0,525.0,522.5,0.00028953738,0.0014476869,0
