bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,7.447186e-05,0.0003723593,0
215.0,220.0,217.5,0.00011587454,0.0005793727,0
220.0,225.0,222.5,0.00011595204,0.0005797602,0
225.0,230.0,227.5,9.673548e-05,0.0004836774,0
230.0,235.0,232.5,8.927302e-05,0.0004463651,0
235.0,240.0,237.5,0.00012444624,0.0006222312,0
240.0,245.0,242.5,9.892328e-05,0.0004946164,0
245.0,250.0,247.5,9.152834e-05,0.0004576417,0
250.0,255.0,252.5,0.00010425072,0.0005212536,0
255.0,260.0,257.5,9.681988e-05,0.0004840994,0
260.0,265.0,262.5,0.00011373642,0.0005686821,0
265.0,270.0,267.5,0.000106369,0.000531845,0
270.0,275.0,272.5,0.00010633056,0.0005316528,0
275.0,280.0,277.5,9.99664e-05,0.000499832,0
280.0,285.0,282.5,0.00011274728,0.0005637364,0
285.0,290.0,287.5,0.00011168996,0.0005584498,0
290.0,295.0,292.5,0.00011065274,0.0005532637,0
295.0,300.0,297.5,0.00012444782,0.0006222391,0
300.0,305.0,302.5,0.00010957706,0.0005478853,0
305.0,310.0,307.5,0.00011693312,0.0005846656,0
310.0,315.0,312.5,0.00010106592,0.0005053296,0
315.0,320.0,317.5,0.00011059828,0.0005529914,0
320.0,325.0,322.5,0.00012229852,0.0006114926,0
325.0,330.0,327.5,9.362136e-05,0.0004681068,0
330.0,335.0,332.5,0.0001084967,0.0005424835,0
335.0,340.0,337.5,0.000101103,0.000505515,0
340.0,345.0,342.5,0.0009920956,0.004960478,0
345.0,350.0,347.5,0.0008677784,0.004338892,0
350.0,355.0,352.5,0.0005838948,0.002919474,0
355.0,360.0,357.5,0.0006254614,0.003127307,0
360.0,365.0,362.5,0.0005998536,0.002999268,0
365.0,370.0,367.5,0.000548898,0.00274449,0
370.0,375.0,372.5,0.0005253452,0.002626726,0
375.0,380.0,377.5,0.0002893716,0.001446858,0
380.0,385.0,382.5,0.0003137102,0.001568551,0
385.0,390.0,387.5,0.00027540184,0.0013770092,0
390.0,395.0,392.5,0.0003094918,0.001547459,0
395.0,400.0,397.5,0.00027962168,0.0013981084,0
400.0,405.0,402.5,0.0003468054,0.001734027,0
405.0,410.0,407.5,0.00024356548,0.0012178274,0
410.0,415.0,412.5,0.0002881418,0.001440709,0
415.0,420.0,417.5,0.000292511,0.001462555,0
420.0,425.0,422.5,0.0003190834,0.001595417,0
425.0,430.0,427.5,0.0002850734,0.001425367,0
430.0,435.0,432.5,0.00027866928,0.0013933464,0
435.0,440.0,437.5,0.0003456242,0.001728121,0
440.0,445.0,442.5,0.000293571,0.001467855,0
445.0,450.0,447.5,0.00024996032,0.0012498016,0
450.0,455.0,452.5,0.0002393118,0.001196559,0
455.0,460.0,457.5,0.00025088238,0.0012544119,0
460.0,465.0,462.5,0.00022441882,0.0011220941,0
465.0,470.0,467.5,0.00024355816,0.0012177908,0
470.0,475.0,472.5,0.01570552,0.0785276,0
475.0,480.0,477.5,0.00026688196,0.0013344098,0
480.0,485.0,482.5,0.00024781694,0.0012390847,0
485.0,490.0,487.5,0.00024777654,0.0012388827,0
490.0,495.0,492.5,0.00025506078,0.0012753039,0
495.0,500.0,497.5,0.0002806908,0.001403454,0
500.0,505.0,502.5,0.0002946164,0.001473082,0
505.0,510.0,507.5,0.00026701084,0.0013350542,0
510.0,515.0,512.5,0.0002775784,0.001387892,0
515.0,520.0,517.5,0.00025531678,0.0012765839,0
520.0,525.0,522.5,0.0002488746,0.001244373,0
525.0,530.0,527.5,0.0002871662,0.001435831,0
530.0,535.0,532.5,0.00023924456,0.0011962228,0
535.0,540.0,537.5,0.0002743874,0.001371937,0
540.0,545.0,542.5,0.00025732,0.0012866,0
545.0,550.0,547.5,0.00024564014,0.0012282007,0
550.0,555.0,552.5,0.000274455,0.001372275,0
555.0,560.0,557.5,0.00025106794,0.0012553397,0
560.0,565.0,562.5,0.00026264308,0.0013132154,0
565.0,570.0,567.5,0.0002615546,0.001307773,0
570.0,575.0,572.5,0.00021589798,0.0010794899,0
575.0,580.0,577.5,0.00023717124,0.0011858562,0
580.0,585.0,582.5,0.00022429706,0.0011214853,0
585.0,590.0,587.5,0.00026479062,0.0013239531,0
590.0,595.0,592.5,0.00020409478,0.0010204739,0
595.0,600.0,597.5,0.00022754276,0.0011377138,0
600.0,605.0,602.5,0.003011098,0.01505549,0
605.0,610.0,607.5,0.00022328272,0.0011164136,0
610.0,615.0,612.5,0.0003690492,0.001845246,0
