bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,6.119932e-05,0.0003059966,0
215.0,220.0,217.5,0.00013816436,0.0006908218,0
220.0,225.0,222.5,0.0001228382,0.000614191,0
225.0,230.0,227.5,0.00010959372,0.0005479686,0
230.0,235.0,232.5,7.999486e-05,0.0003999743,0
235.0,240.0,237.5,0.000106237,0.000531185,0
240.0,245.0,242.5,0.00013841498,0.0006920749,0
245.0,250.0,247.5,0.00012936944,0.0006468472,0
250.0,255.0,252.5,0.00011209116,0.0005604558,0
255.0,260.0,257.5,0.00010578958,0.0005289479,0
260.0,265.0,262.5,0.00011622584,0.0005811292,0
265.0,270.0,267.5,0.00010271268,0.0005135634,0
270.0,275.0,272.5,0.00011233742,0.0005616871,0
275.0,280.0,277.5,0.00014346566,0.0007173283,0
280.0,285.0,282.5,0.0001172905,0.0005864525,0
285.0,290.0,287.5,0.00014014014,0.0007007007,0
290.0,295.0,292.5,0.00010674384,0.0005337192,0
295.0,300.0,297.5,0.0001008085,0.0005040425,0
300.0,305.0,302.5,0.00011985766,0.0005992883,0
305.0,310.0,307.5,0.00011081702,0.0005540851,0
310.0,315.0,312.5,0.00010721126,0.0005360563,0
315.0,320.0,317.5,0.00011094844,0.0005547422,0
320.0,325.0,322.5,0.00011028582,0.0005514291,0
325.0,330.0,327.5,0.00013630326,0.0006815163,0
330.0,335.0,332.5,0.0001266444,0.000633222,0
335.0,340.0,337.5,0.00010514046,0.0005257023,0
340.0,345.0,342.5,0.0004438982,0.002219491,0
345.0,350.0,347.5,9.177784e-05,0.0004588892,0
350.0,355.0,352.5,0.00011242458,0.0005621229,0
355.0,360.0,357.5,0.0001113418,0.000556709,0
360.0,365.0,362.5,8.72937e-05,0.0004364685,0
365.0,370.0,367.5,0.00011183366,0.0005591683,0
370.0,375.0,372.5,0.00016290716,0.0008145358,0
375.0,380.0,377.5,0.000112113,0.000560565,0
380.0,385.0,382.5,8.779708e-05,0.0004389854,0
385.0,390.0,387.5,0.00010321846,0.0005160923,0
390.0,395.0,392.5,0.00012415014,0.0006207507,0
395.0,400.0,397.5,0.0001475201,0.0007376005,0
400.0,405.0,402.5,0.0001015583,0.0005077915,0
405.0,410.0,407.5,0.00012978584,0.0006489292,0
410.0,415.0,412.5,0.00013171112,0.0006585556,0
415.0,420.0,417.5,0.0001431198,0.000715599,0
420.0,425.0,422.5,0.0001696345,0.0008481725,0
425.0,430.0,427.5,0.00033017104,0.0016508552,0
430.0,435.0,432.5,0.0003863254,0.001931627,0
435.0,440.0,437.5,0.0004891076,0.002445538,0
440.0,445.0,442.5,0.0005668648,0.002834324,0
445.0,450.0,447.5,0.0006987084,0.003493542,0
450.0,455.0,452.5,0.0006826324,0.003413162,0
455.0,460.0,457.5,0.0007885158,0.003942579,0
