QSRC,PSRC,nPedca,delay_type,P50_us,P95_us,P99_us,,,,,P-EDCA sta,,,
0,1,5,legacy,2557.5,11697.5,18527.5,,,,,nPedca,min P50,min P95,min P99
0,2,5,legacy,2942.5,13482.5,20472.5,,,,,5,Q0¡ÑP3?(1062),Q0¡ÑP3?(4138),Q0¡ÑP3?(7142)
0,3,5,legacy,2892.5,13212.5,20237.5,,,,,15,Q0¡ÑP3?(1072),Q0¡ÑP3?(5048),Q1¡ÑP3 (8268)
1,1,5,legacy,2762.5,12902.5,19822.5,,,,,30,Q0¡ÑP3?(1112),Q1¡ÑP3 (7592),Q1¡ÑP3 (14248)
1,2,5,legacy,2877.5,13612.5,20812.5,,,,,,,,
1,3,5,legacy,2697.5,12337.5,19367.5,,,,,,,,
2,1,5,legacy,2677.5,12487.5,19132.5,,,,,legacy sta,,,
2,2,5,legacy,2607.5,12052.5,19102.5,,,,,nPedca,min P50,min P95,min P99
2,3,5,legacy,2592.5,11832.5,18757.5,,,,,5,Q0¡ÑP1?(2558),Q0¡ÑP1?(11698),Q0¡ÑP1?(18528)
3,1,5,legacy,2612.5,12482.5,19532.5,,,,,15,Q4¡ÑP1 (2722),Q1¡ÑP1?(12192),Q1¡ÑP1?(18768)
3,2,5,legacy,2617.5,12472.5,19427.5,,,,,,,,
3,3,5,legacy,2812.5,12842.5,19707.5,,,,,,,,
4,1,5,legacy,2767.5,13197.5,20192.5,,,,,,,,
4,2,5,legacy,2627.5,12067.5,19102.5,,,,,All sta,,,
4,3,5,legacy,2567.5,12482.5,19592.5,,,,,nPedca,min P50,min P95,min P99
5,1,5,legacy,2557.5,11807.5,18857.5,,,,,5,Q0¡ÑP1 (2142),Q2¡ÑP3?(10798),Q2¡ÑP3?(18068)
5,2,5,legacy,2647.5,12372.5,19297.5,,,,,15,Q0¡ÑP3 (1892),Q3¡ÑP2?(9742),Q3¡ÑP2?(17618)
5,3,5,legacy,2662.5,12772.5,20042.5,,,,,30,Q0¡ÑP3 (1112),Q1¡ÑP3 (7588),Q1¡ÑP3 (14202)
0,1,15,legacy,3092.5,13417.5,20362.5,,,,,,,,
0,2,15,legacy,3412.5,15102.5,21577.5,,,,,,,,
0,3,15,legacy,3302.5,14477.5,21537.5,,,,,,,,
1,1,15,legacy,2802.5,12192.5,18767.5,,,,,,,,
1,2,15,legacy,2917.5,13407.5,20262.5,,,,,,,,
1,3,15,legacy,3247.5,14052.5,20532.5,,,,,,,,
2,1,15,legacy,3012.5,13552.5,20492.5,,,,,,,,
2,2,15,legacy,3057.5,13922.5,21097.5,,,,,,,,
2,3,15,legacy,3142.5,13727.5,20257.5,,,,,,,,
3,1,15,legacy,2842.5,13302.5,20337.5,,,,,,,,
3,2,15,legacy,2817.5,12402.5,19427.5,,,,,,,,
3,3,15,legacy,2957.5,13432.5,20442.5,,,,,,,,
4,1,15,legacy,2722.5,12512.5,19512.5,,,,,,,,
4,2,15,legacy,2872.5,13017.5,19782.5,,,,,,,,
4,3,15,legacy,2777.5,12467.5,19247.5,,,,,,,,
5,1,15,legacy,2757.5,12817.5,19662.5,,,,,,,,
5,2,15,legacy,2887.5,13612.5,20717.5,,,,,,,,
