bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,4.83793e-05,0.000241896,1
215,220,217.5,4.83793e-05,0.000241896,1
220,225,222.5,4.83793e-05,0.000241896,1
225,230,227.5,9.67586e-05,0.000483793,2
230,235,232.5,4.83793e-05,0.000241896,1
235,240,237.5,4.83793e-05,0.000241896,1
240,245,242.5,4.83793e-05,0.000241896,1
245,250,247.5,9.67586e-05,0.000483793,2
250,255,252.5,0.000145138,0.000725689,3
255,260,257.5,0.000145138,0.000725689,3
260,265,262.5,4.83793e-05,0.000241896,1
265,270,267.5,4.83793e-05,0.000241896,1
270,275,272.5,4.83793e-05,0.000241896,1
275,280,277.5,9.67586e-05,0.000483793,2
280,285,282.5,4.83793e-05,0.000241896,1
290,295,292.5,0.000145138,0.000725689,3
295,300,297.5,4.83793e-05,0.000241896,1
300,305,302.5,4.83793e-05,0.000241896,1
310,315,312.5,4.83793e-05,0.000241896,1
320,325,322.5,4.83793e-05,0.000241896,1
325,330,327.5,9.67586e-05,0.000483793,2
340,345,342.5,0.000774069,0.00387034,16
345,350,347.5,0.000919207,0.00459603,19
350,355,352.5,0.000387034,0.00193517,8
355,360,357.5,0.000580552,0.00290276,12
360,365,362.5,0.000725689,0.00362845,15
365,370,367.5,0.000774069,0.00387034,16
370,375,372.5,0.000580552,0.00290276,12
375,380,377.5,0.000338655,0.00169328,7
380,385,382.5,0.000435414,0.00217707,9
385,390,387.5,0.000193517,0.000967586,4
390,395,392.5,0.000387034,0.00193517,8
395,400,397.5,0.000193517,0.000967586,4
400,405,402.5,0.000338655,0.00169328,7
405,410,407.5,0.000193517,0.000967586,4
410,415,412.5,0.000193517,0.000967586,4
415,420,417.5,0.000241896,0.00120948,5
420,425,422.5,0.000532172,0.00266086,11
425,430,427.5,0.000532172,0.00266086,11
430,435,432.5,0.000145138,0.000725689,3
435,440,437.5,0.000290276,0.00145138,6
440,445,442.5,0.000145138,0.000725689,3
445,450,447.5,9.67586e-05,0.000483793,2
450,455,452.5,9.67586e-05,0.000483793,2
455,460,457.5,0.000241896,0.00120948,5
460,465,462.5,0.000145138,0.000725689,3
465,470,467.5,0.000193517,0.000967586,4
470,475,472.5,0.0159168,0.0795839,329
475,480,477.5,0.000145138,0.000725689,3
480,485,482.5,0.000338655,0.00169328,7
485,490,487.5,0.000580552,0.00290276,12
490,495,492.5,0.000145138,0.000725689,3
495,500,497.5,0.000145138,0.000725689,3
500,505,502.5,0.000193517,0.000967586,4
505,510,507.5,4.83793e-05,0.000241896,1
510,515,512.5,0.000387034,0.00193517,8
515,520,517.5,0.000338655,0.00169328,7
520,525,522.5,0.000241896,0.00120948,5
525,530,527.5,0.000290276,0.00145138,6
530,535,532.5,9.67586e-05,0.000483793,2
535,540,537.5,0.000338655,0.00169328,7
540,545,542.5,0.000145138,0.000725689,3
545,550,547.5,0.000241896,0.00120948,5
550,555,552.5,0.000193517,0.000967586,4
555,560,557.5,9.67586e-05,0.000483793,2
560,565,562.5,9.67586e-05,0.000483793,2
565,570,567.5,0.000290276,0.00145138,6
570,575,572.5,0.000145138,0.000725689,3
575,580,577.5,0.000193517,0.000967586,4
580,585,582.5,0.000483793,0.00241896,10
585,590,587.5,0.000290276,0.00145138,6
590,595,592.5,0.000290276,0.00145138,6
595,600,597.5,9.67586e-05,0.000483793,2
600,605,602.5,0.00067731,0.00338655,14
605,610,607.5,0.000241896,0.00120948,5
610,615,612.5,0.000241896,0.00120948,5
615,620,617.5,9.67586e-05,0.000483793,2
620,625,622.5,0.000387034,0.00193517,8
625,630,627.5,0.000193517,0.000967586,4
