bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,3.001546e-05,0.0001500773,0
215.0,220.0,217.5,4.94674e-05,0.000247337,0
220.0,225.0,222.5,5.692482e-05,0.0002846241,0
225.0,230.0,227.5,5.583594e-05,0.0002791797,0
230.0,235.0,232.5,5.592948e-05,0.0002796474,0
235.0,240.0,237.5,5.266528e-05,0.0002633264,0
240.0,245.0,242.5,6.110794e-05,0.0003055397,0
245.0,250.0,247.5,6.340266e-05,0.0003170133,0
250.0,255.0,252.5,6.123468e-05,0.0003061734,0
255.0,260.0,257.5,6.555274e-05,0.0003277637,0
260.0,265.0,262.5,6.241764e-05,0.0003120882,0
265.0,270.0,267.5,6.327374e-05,0.0003163687,0
270.0,275.0,272.5,4.521533e-05,0.00022607665,0
275.0,280.0,277.5,5.258531e-05,0.00026292655,0
280.0,285.0,282.5,5.371566e-05,0.0002685783,0
285.0,290.0,287.5,5.473508e-05,0.0002736754,0
290.0,295.0,292.5,5.04195e-05,0.0002520975,0
295.0,300.0,297.5,6.2425088e-05,0.00031212544,0
300.0,305.0,302.5,7.833168e-05,0.0003916584,0
305.0,310.0,307.5,4.4057586e-05,0.00022028793,0
310.0,315.0,312.5,6.976268e-05,0.0003488134,0
315.0,320.0,317.5,5.706066e-05,0.0002853033,0
320.0,325.0,322.5,4.4037784e-05,0.00022018892,0
325.0,330.0,327.5,6.108572e-05,0.0003054286,0
330.0,335.0,332.5,5.805336e-05,0.0002902668,0
335.0,340.0,337.5,6.654184e-05,0.0003327092,0
340.0,345.0,342.5,0.0006593204,0.003296602,0
345.0,350.0,347.5,0.0005532402,0.002766201,0
350.0,355.0,352.5,0.0004724722,0.002362361,0
355.0,360.0,357.5,0.00051978,0.0025989,0
360.0,365.0,362.5,0.0005122908,0.002561454,0
365.0,370.0,367.5,0.000502727,0.002513635,0
370.0,375.0,372.5,0.000479882,0.00239941,0
375.0,380.0,377.5,0.0003222042,0.001611021,0
380.0,385.0,382.5,0.0003244192,0.001622096,0
385.0,390.0,387.5,0.00018057496,0.0009028748,0
390.0,395.0,392.5,0.00013542256,0.0006771128,0
395.0,400.0,397.5,0.00016946816,0.0008473408,0
400.0,405.0,402.5,0.00017625012,0.0008812506,0
405.0,410.0,407.5,0.00017295138,0.0008647569,0
410.0,415.0,412.5,0.0001672736,0.000836368,0
415.0,420.0,417.5,0.0001557594,0.000778797,0
420.0,425.0,422.5,0.00014074298,0.0007037149,0
425.0,430.0,427.5,0.00019642182,0.0009821091,0
430.0,435.0,432.5,0.0001878904,0.000939452,0
435.0,440.0,437.5,0.00024185034,0.0012092517,0
440.0,445.0,442.5,0.00013840716,0.0006920358,0
