sta_id,ds_cts_end_us,gap_us,backoff_slots,outcome
0,123532,52,2,SUCCESS
0,945551,54,2,SUCCESS
0,963360,108,8,SUCCESS
0,1.00614e+06,1007,108,TIMING_EXPIRED
0,1.04724e+06,81,5,SUCCESS
0,1.05932e+06,99,7,SUCCESS
0,1.08533e+06,63,3,SUCCESS
0,1.09782e+06,81,5,SUCCESS
0,1.12429e+06,99,7,RTS_COLLISION
0,1.1483e+06,90,6,SUCCESS
0,1.15831e+06,108,8,RTS_COLLISION
0,1.17731e+06,99,7,SUCCESS
0,1.19768e+06,99,7,SUCCESS
0,1.23411e+06,90,6,SUCCESS
0,1.25917e+06,90,6,SUCCESS
0,1.2896e+06,52,2,SUCCESS
0,1.31017e+06,54,2,SUCCESS
0,1.32716e+06,81,5,SUCCESS
0,1.34377e+06,72,4,SUCCESS
0,1.39964e+06,34,0,SUCCESS
0,1.41482e+06,54,2,SUCCESS
0,1.43048e+06,90,6,SUCCESS
0,1.44157e+06,70,4,SUCCESS
0,1.45074e+06,99,7,SUCCESS
0,1.45656e+06,54,2,SUCCESS
0,1.46423e+06,90,6,SUCCESS
0,1.49273e+06,72,4,SUCCESS
0,1.50532e+06,43,1,SUCCESS
0,1.52031e+06,99,7,SUCCESS
0,1.55033e+06,108,8,SUCCESS
0,1.56472e+06,88,6,SUCCESS
0,1.56821e+06,70,4,SUCCESS
0,1.5871e+06,81,5,SUCCESS
0,1.61314e+06,54,2,SUCCESS
0,1.62805e+06,3477,383,TIMING_EXPIRED
0,1.67e+06,108,8,SUCCESS
0,1.73315e+06,565,59,TIMING_EXPIRED
0,1.75241e+06,61,3,SUCCESS
0,1.76463e+06,43,1,SUCCESS
0,1.77932e+06,81,5,SUCCESS
0,1.7864e+06,4418,487,TIMING_EXPIRED
0,1.83699e+06,99,7,SUCCESS
0,1.84374e+06,70,4,SUCCESS
0,1.85857e+06,108,8,SUCCESS
0,1.86688e+06,88,6,SUCCESS
0,1.87432e+06,34,0,SUCCESS
0,1.90204e+06,90,6,SUCCESS
0,1.91485e+06,781,83,TIMING_EXPIRED
0,1.92797e+06,90,6,SUCCESS
0,1.94504e+06,63,3,SUCCESS
0,1.95489e+06,99,7,RTS_COLLISION
0,1.96462e+06,90,6,SUCCESS
0,1.97829e+06,34,0,SUCCESS
0,2.00146e+06,90,6,SUCCESS
0,2.0282e+06,43,1,SUCCESS
0,2.04663e+06,81,5,SUCCESS
0,2.08501e+06,108,8,SUCCESS
0,2.11654e+06,63,3,SUCCESS
0,2.12722e+06,108,8,SUCCESS
0,2.15024e+06,79,5,SUCCESS
0,2.19917e+06,108,8,SUCCESS
0,2.21508e+06,108,8,SUCCESS
0,2.26634e+06,54,2,SUCCESS
0,2.281e+06,763,81,TIMING_EXPIRED
0,2.30703e+06,99,7,SUCCESS
0,2.32368e+06,72,4,SUCCESS
0,2.33806e+06,81,5,SUCCESS
0,2.35952e+06,79,5,SUCCESS
0,2.38288e+06,54,2,SUCCESS
0,2.41521e+06,72,4,SUCCESS
0,2.44926e+06,72,4,SUCCESS
0,2.45456e+06,61,3,SUCCESS
0,2.48268e+06,54,2,SUCCESS
0,2.50976e+06,1320,143,TIMING_EXPIRED
0,2.53338e+06,72,4,SUCCESS
0,2.53792e+06,54,2,SUCCESS
0,2.57208e+06,43,1,SUCCESS
0,2.60058e+06,99,7,RTS_COLLISION
0,2.64265e+06,562,59,TIMING_EXPIRED
0,2.66175e+06,88,6,SUCCESS
0,2.68686e+06,72,4,SUCCESS
0,2.70083e+06,43,1,SUCCESS
0,2.71385e+06,79,5,SUCCESS
0,2.72668e+06,34,0,SUCCESS
0,2.73744e+06,99,7,SUCCESS
0,2.76971e+06,34,0,SUCCESS
0,2.77988e+06,108,8,RTS_COLLISION
0,2.82607e+06,108,8,SUCCESS
0,2.85009e+06,54,2,SUCCESS
0,2.86603e+06,81,5,SUCCESS
0,2.87601e+06,88,6,SUCCESS
0,2.8863e+06,54,2,SUCCESS
0,2.90265e+06,72,4,SUCCESS
0,2.91506e+06,34,0,SUCCESS
0,2.95155e+06,52,2,SUCCESS
0,2.97739e+06,60,3,SUCCESS
0,3.03803e+06,99,7,SUCCESS
0,3.05947e+06,90,6,SUCCESS
0,3.17488e+06,99,7,SUCCESS
0,3.18575e+06,99,7,SUCCESS
0,3.2311e+06,97,7,SUCCESS
0,3.24313e+06,88,6,SUCCESS
0,3.25396e+06,108,8,RTS_COLLISION
0,3.27636e+06,54,2,SUCCESS
0,3.28458e+06,99,7,SUCCESS
0,3.30037e+06,81,5,SUCCESS
0,3.311e+06,63,3,SUCCESS
0,3.32356e+06,70,4,SUCCESS
0,3.33185e+06,54,2,SUCCESS
0,3.35686e+06,61,3,SUCCESS
0,3.44625e+06,54,2,SUCCESS
0,3.4903e+06,54,2,SUCCESS
0,3.50063e+06,54,2,SUCCESS
0,3.53439e+06,562,59,TIMING_EXPIRED
0,3.55509e+06,90,6,SUCCESS
0,3.56359e+06,90,6,SUCCESS
0,3.58193e+06,43,1,SUCCESS
0,3.59713e+06,108,8,RTS_COLLISION
0,3.63484e+06,90,6,SUCCESS
0,3.64075e+06,544,57,TIMING_EXPIRED
0,3.6585e+06,63,3,SUCCESS
0,3.67954e+06,90,6,SUCCESS
0,3.69507e+06,54,2,SUCCESS
0,3.7211e+06,81,5,SUCCESS
0,3.7352e+06,81,5,SUCCESS
0,3.78292e+06,99,7,SUCCESS
0,3.83177e+06,72,4,SUCCESS
0,3.84558e+06,81,5,SUCCESS
0,3.85078e+06,97,7,SUCCESS
0,3.88395e+06,81,5,SUCCESS
0,3.9102e+06,54,2,SUCCESS
0,3.95124e+06,1436,156,TIMING_EXPIRED
0,3.97146e+06,81,5,SUCCESS
0,3.98136e+06,63,3,SUCCESS
0,3.98924e+06,54,2,SUCCESS
0,3.99862e+06,99,7,SUCCESS
0,4.0232e+06,63,3,SUCCESS
0,4.04527e+06,81,5,SUCCESS
