sta_id,ds_cts_end_us,gap_us,backoff_slots,outcome
0,121632,42,1,SUCCESS
0,952453,88,6,SUCCESS
0,973950,60,3,SUCCESS
0,985611,34,0,SUCCESS
0,1.00926e+06,105,8,SUCCESS
0,1.0666e+06,60,3,SUCCESS
0,1.08823e+06,34,0,SUCCESS
0,1.09875e+06,42,1,SUCCESS
0,1.1208e+06,42,1,SUCCESS
0,1.15538e+06,96,7,SUCCESS
0,1.19078e+06,51,2,SUCCESS
0,1.21412e+06,42,1,SUCCESS
0,1.2714e+06,1407,153,TIMING_EXPIRED
0,1.31267e+06,70,4,SUCCESS
0,1.32466e+06,70,4,SUCCESS
0,1.33132e+06,88,6,SUCCESS
0,1.34823e+06,69,4,SUCCESS
0,1.38382e+06,96,7,SUCCESS
0,1.39097e+06,78,5,SUCCESS
0,1.41392e+06,1617,176,TIMING_EXPIRED
0,1.43654e+06,60,3,SUCCESS
0,1.46345e+06,51,2,SUCCESS
0,1.49583e+06,105,8,SUCCESS
0,1.52973e+06,51,2,SUCCESS
0,1.5528e+06,88,6,SUCCESS
0,1.57614e+06,79,5,SUCCESS
0,1.5912e+06,69,4,SUCCESS
0,1.59598e+06,79,5,SUCCESS
0,1.61371e+06,96,7,SUCCESS
0,1.63068e+06,42,1,SUCCESS
0,1.64244e+06,87,6,SUCCESS
0,1.65431e+06,78,5,SUCCESS
0,1.68807e+06,42,1,SUCCESS
0,1.72032e+06,96,7,SUCCESS
0,1.74256e+06,96,7,SUCCESS
0,1.74722e+06,69,4,SUCCESS
0,1.76652e+06,34,0,SUCCESS
0,1.77972e+06,42,1,SUCCESS
0,1.79836e+06,60,3,SUCCESS
0,1.81158e+06,60,3,SUCCESS
0,1.82433e+06,78,5,SUCCESS
0,1.83461e+06,87,6,RTS_COLLISION
0,1.85967e+06,69,4,SUCCESS
0,1.88212e+06,60,3,SUCCESS
0,1.89594e+06,61,3,SUCCESS
0,1.90574e+06,52,2,SUCCESS
0,1.91718e+06,69,4,SUCCESS
0,2.0284e+06,34,0,SUCCESS
0,2.04214e+06,96,7,SUCCESS
0,2.06342e+06,1019,109,TIMING_EXPIRED
0,2.07749e+06,42,1,SUCCESS
0,2.08787e+06,60,3,SUCCESS
0,2.10602e+06,505,52,TIMING_EXPIRED
0,2.1539e+06,61,3,SUCCESS
0,2.18145e+06,60,3,SUCCESS
0,2.1942e+06,34,0,SUCCESS
0,2.21519e+06,105,8,SUCCESS
0,2.27319e+06,43,1,SUCCESS
0,2.30707e+06,51,2,SUCCESS
0,2.34383e+06,60,3,SUCCESS
0,2.35832e+06,52,2,SUCCESS
0,2.37929e+06,79,5,SUCCESS
0,2.416e+06,87,6,SUCCESS
0,2.42133e+06,34,0,SUCCESS
0,2.44598e+06,34,0,SUCCESS
0,2.47267e+06,105,8,SUCCESS
0,2.5438e+06,60,3,SUCCESS
0,2.57122e+06,97,7,SUCCESS
0,2.59747e+06,60,3,SUCCESS
0,2.60987e+06,51,2,SUCCESS
0,2.68467e+06,78,5,SUCCESS
0,2.73844e+06,43,1,SUCCESS
0,2.75532e+06,51,2,SUCCESS
0,2.77894e+06,1199,129,TIMING_EXPIRED
0,2.85549e+06,87,6,SUCCESS
0,2.86814e+06,96,7,RTS_COLLISION
0,2.92453e+06,88,6,SUCCESS
0,2.96123e+06,60,3,SUCCESS
0,2.97889e+06,79,5,SUCCESS
0,3.03761e+06,70,4,SUCCESS
0,3.06249e+06,538,56,TIMING_EXPIRED
0,3.09601e+06,529,55,TIMING_EXPIRED
0,3.10925e+06,51,2,SUCCESS
0,3.11675e+06,855,91,TIMING_EXPIRED
0,3.15188e+06,87,6,SUCCESS
0,3.17438e+06,529,55,TIMING_EXPIRED
0,3.20337e+06,96,7,SUCCESS
0,3.21477e+06,69,4,SUCCESS
0,3.28299e+06,60,3,SUCCESS
0,3.2924e+06,87,6,SUCCESS
0,3.33026e+06,96,7,SUCCESS
0,3.35476e+06,96,7,SUCCESS
0,3.36607e+06,88,6,SUCCESS
0,3.37429e+06,88,6,SUCCESS
0,3.38713e+06,60,3,SUCCESS
0,3.39716e+06,88,6,SUCCESS
0,3.44101e+06,42,1,SUCCESS
0,3.44541e+06,88,6,SUCCESS
0,3.48159e+06,52,2,SUCCESS
0,3.50684e+06,87,6,SUCCESS
0,3.52674e+06,78,5,SUCCESS
0,3.53833e+06,51,2,SUCCESS
0,3.56248e+06,69,4,SUCCESS
0,3.59535e+06,61,3,SUCCESS
0,3.61628e+06,78,5,SUCCESS
0,3.64531e+06,69,4,SUCCESS
0,3.6639e+06,87,6,SUCCESS
0,3.6711e+06,43,1,SUCCESS
0,3.69344e+06,523,54,TIMING_EXPIRED
