sta_id,ds_cts_end_us,gap_us,backoff_slots,outcome
0,122984,52,2,SUCCESS
0,921052,70,4,SUCCESS
0,970908,34,0,SUCCESS
0,985699,52,2,SUCCESS
0,995947,34,0,RTS_COLLISION
0,1.00958e+06,1387,150,TIMING_EXPIRED
0,1.05733e+06,79,5,SUCCESS
0,1.06992e+06,2529,277,TIMING_EXPIRED
0,1.13496e+06,79,5,SUCCESS
0,1.2004e+06,79,5,SUCCESS
0,1.22106e+06,1278,138,TIMING_EXPIRED
0,1.25136e+06,97,7,SUCCESS
0,1.26482e+06,43,1,RTS_COLLISION
0,1.27155e+06,52,2,SUCCESS
0,1.28435e+06,34,0,SUCCESS
0,1.2921e+06,876,94,TIMING_EXPIRED
0,1.32318e+06,61,3,SUCCESS
0,1.32913e+06,492,51,TIMING_EXPIRED
0,1.35698e+06,52,2,SUCCESS
0,1.36367e+06,34,0,RTS_COLLISION
0,1.3963e+06,79,5,RTS_COLLISION
0,1.4296e+06,79,5,SUCCESS
0,1.4496e+06,34,0,SUCCESS
0,1.45738e+06,52,2,SUCCESS
0,1.47072e+06,70,4,SUCCESS
0,1.48105e+06,70,4,SUCCESS
0,1.51586e+06,97,7,SUCCESS
0,1.52466e+06,61,3,SUCCESS
0,1.53914e+06,79,5,RTS_COLLISION
0,1.56129e+06,34,0,RTS_COLLISION
0,1.58964e+06,876,94,TIMING_EXPIRED
0,1.61811e+06,88,6,SUCCESS
0,1.641e+06,70,4,SUCCESS
0,1.64977e+06,708,75,TIMING_EXPIRED
0,1.70048e+06,88,6,SUCCESS
0,1.72909e+06,492,51,TIMING_EXPIRED
0,1.7794e+06,79,5,SUCCESS
0,1.78587e+06,34,0,RTS_COLLISION
0,1.80975e+06,61,3,SUCCESS
0,1.81938e+06,61,3,SUCCESS
0,1.82657e+06,88,6,SUCCESS
0,1.84422e+06,34,0,RTS_COLLISION
0,1.85961e+06,34,0,SUCCESS
0,1.86644e+06,70,4,SUCCESS
0,1.87584e+06,61,3,SUCCESS
0,1.90139e+06,70,4,SUCCESS
0,1.9113e+06,43,1,SUCCESS
0,1.9209e+06,79,5,SUCCESS
0,1.9478e+06,61,3,SUCCESS
0,1.95437e+06,34,0,RTS_COLLISION
0,1.96917e+06,482,50,TIMING_EXPIRED
0,1.9946e+06,885,95,TIMING_EXPIRED
0,2.0117e+06,43,1,RTS_COLLISION
0,2.05203e+06,34,0,RTS_COLLISION
0,2.05748e+06,70,4,SUCCESS
0,2.11801e+06,88,6,SUCCESS
0,2.13706e+06,52,2,SUCCESS
0,2.15277e+06,79,5,SUCCESS
0,2.16514e+06,79,5,SUCCESS
0,2.17896e+06,70,4,RTS_COLLISION
0,2.18724e+06,43,1,RTS_COLLISION
0,2.1971e+06,4023,443,TIMING_EXPIRED
0,2.22408e+06,43,1,SUCCESS
0,2.24662e+06,2434,267,TIMING_EXPIRED
0,2.2886e+06,461,47,TIMING_EXPIRED
0,2.33967e+06,34,0,SUCCESS
0,2.34573e+06,61,3,SUCCESS
0,2.35531e+06,70,4,SUCCESS
0,2.37239e+06,52,2,SUCCESS
0,2.37721e+06,61,3,SUCCESS
0,2.38843e+06,2985,328,TIMING_EXPIRED
0,2.42736e+06,43,1,SUCCESS
0,2.44356e+06,52,2,SUCCESS
0,2.44885e+06,34,0,RTS_COLLISION
0,2.47331e+06,70,4,SUCCESS
0,2.48869e+06,88,6,SUCCESS
0,2.49811e+06,2766,304,TIMING_EXPIRED
0,2.54532e+06,61,3,SUCCESS
0,2.55724e+06,43,1,RTS_COLLISION
0,2.57904e+06,34,0,SUCCESS
0,2.59411e+06,43,1,RTS_COLLISION
0,2.6069e+06,34,0,RTS_COLLISION
0,2.61875e+06,43,1,RTS_COLLISION
0,2.62858e+06,88,6,SUCCESS
