time_us,node_id,frame_type,size_bytes
1.00003e+06,1,QOSDATA_TID6,1066
1.00021e+06,20,ACK,14
1.00026e+06,1,CTL,20
1.00034e+06,17,RTS,20
1.00034e+06,0,RTS,20
1.00046e+06,10,RTS,20
1.00054e+06,20,CTS,14
1.0006e+06,10,QOSDATA_TID6,1066
1.00079e+06,20,ACK,14
1.00083e+06,10,QOSDATA_TID6,1066
1.00102e+06,20,ACK,14
1.00106e+06,10,CTL,20
1.00116e+06,16,RTS,20
1.00124e+06,20,CTS,14
1.0013e+06,16,QOSDATA_TID6,1066
1.00148e+06,20,ACK,14
1.00152e+06,16,CTL,20
1.00161e+06,19,RTS,20
1.00161e+06,9,RTS,20
1.00161e+06,12,RTS,20
1.00169e+06,20,CTS,14
1.00175e+06,19,QOSDATA_TID6,1066
1.00193e+06,20,ACK,14
1.00198e+06,19,CTL,20
1.00206e+06,9,RTS,20
1.00206e+06,3,RTS,20
1.00206e+06,14,RTS,20
1.00206e+06,16,RTS,20
1.0022e+06,17,RTS,20
1.00228e+06,20,CTS,14
1.00234e+06,17,QOSDATA_TID6,1066
1.00253e+06,20,ACK,14
1.00257e+06,17,CTL,20
1.00266e+06,1,RTS,20
1.00266e+06,8,RTS,20
1.00278e+06,16,RTS,20
1.00286e+06,20,CTS,14
1.00292e+06,16,QOSDATA_TID6,1066
1.0031e+06,20,ACK,14
1.00315e+06,16,CTL,20
1.00323e+06,6,RTS,20
1.00331e+06,20,CTS,14
1.00337e+06,6,QOSDATA_TID6,1066
1.00356e+06,20,ACK,14
1.0036e+06,6,CTL,20
1.00369e+06,8,RTS,20
1.00369e+06,5,RTS,20
1.00377e+06,20,CTS,14
1.00383e+06,5,QOSDATA_TID6,1066
1.00401e+06,20,ACK,14
1.00406e+06,5,QOSDATA_TID6,1066
1.00424e+06,20,ACK,14
1.00428e+06,5,CTL,20
1.00437e+06,8,RTS,20
1.00445e+06,20,CTS,14
1.00451e+06,8,QOSDATA_TID6,1066
1.0047e+06,20,ACK,14
1.00474e+06,8,CTL,20
1.00482e+06,17,RTS,20
1.00482e+06,3,RTS,20
1.0049e+06,20,CTS,14
1.00496e+06,17,QOSDATA_TID6,1066
1.00515e+06,20,ACK,14
1.00519e+06,17,CTL,20
1.00528e+06,10,RTS,20
1.00528e+06,3,RTS,20
1.00541e+06,1,RTS,20
1.00541e+06,12,RTS,20
1.00554e+06,7,RTS,20
1.00562e+06,20,CTS,14
1.00568e+06,7,QOSDATA_TID6,1066
1.00586e+06,20,ACK,14
1.00591e+06,7,CTL,20
1.006e+06,18,RTS,20
1.006e+06,13,RTS,20
1.00612e+06,10,RTS,20
1.0062e+06,20,CTS,14
1.00626e+06,10,QOSDATA_TID6,1066
1.00644e+06,20,ACK,14
1.00648e+06,10,CTL,20
1.00657e+06,14,RTS,20
1.00657e+06,0,CTS,14
1.00671e+06,14,RTS,20
1.00671e+06,0,RTS,20
1.00685e+06,3,RTS,20
1.00693e+06,20,CTS,14
1.00699e+06,3,QOSDATA_TID6,1066
1.00718e+06,20,ACK,14
1.00722e+06,3,QOSDATA_TID6,1066
1.00741e+06,20,ACK,14
1.00745e+06,3,CTL,20
1.00754e+06,15,RTS,20
1.00762e+06,20,CTS,14
1.00768e+06,15,QOSDATA_TID6,1066
1.00786e+06,20,ACK,14
1.0079e+06,15,CTL,20
1.00799e+06,4,RTS,20
1.00807e+06,20,CTS,14
1.00813e+06,4,QOSDATA_TID6,1066
1.00831e+06,20,ACK,14
1.00836e+06,4,CTL,20
1.00844e+06,1,RTS,20
1.00852e+06,20,CTS,14
1.00858e+06,1,QOSDATA_TID6,1066
1.00877e+06,20,ACK,14
1.00881e+06,1,CTL,20
1.0089e+06,18,RTS,20
1.0089e+06,9,RTS,20
1.00898e+06,20,CTS,14
1.00904e+06,18,QOSDATA_TID6,1066
1.00922e+06,20,ACK,14
1.00927e+06,18,CTL,20
1.00935e+06,9,RTS,20
1.00943e+06,20,CTS,14
1.00949e+06,9,QOSDATA_TID6,1066
1.00968e+06,20,ACK,14
1.00972e+06,9,QOSDATA_TID6,1066
1.0099e+06,20,ACK,14
1.00995e+06,9,CTL,20
1.01003e+06,14,RTS,20
1.01011e+06,20,CTS,14
1.01017e+06,14,QOSDATA_TID6,1066
1.01036e+06,20,ACK,14
1.0104e+06,14,QOSDATA_TID6,1066
1.01059e+06,20,ACK,14
1.01063e+06,14,CTL,20
1.01072e+06,19,RTS,20
1.01072e+06,1,RTS,20
1.01072e+06,12,RTS,20
1.0108e+06,20,CTS,14
1.01086e+06,19,QOSDATA_TID6,1066
1.01104e+06,20,ACK,14
1.01108e+06,19,CTL,20
1.01118e+06,0,RTS,20
1.01118e+06,8,RTS,20
1.0113e+06,13,RTS,20
1.0113e+06,16,RTS,20
1.01138e+06,20,CTS,14
1.01144e+06,13,QOSDATA_TID6,1066
1.01162e+06,20,ACK,14
1.01167e+06,13,CTL,20
1.01177e+06,1,RTS,20
1.01185e+06,20,CTS,14
1.01191e+06,1,QOSDATA_TID6,1066
1.0121e+06,20,ACK,14
1.01214e+06,1,CTL,20
1.01223e+06,17,RTS,20
1.01223e+06,6,RTS,20
1.01235e+06,0,RTS,20
1.01243e+06,20,CTS,14
1.01249e+06,0,QOSDATA_TID6,1066
1.01267e+06,20,ACK,14
1.01272e+06,0,QOSDATA_TID6,1066
1.0129e+06,20,ACK,14
1.01295e+06,0,QOSDATA_TID6,1066
1.01313e+06,20,ACK,14
1.01317e+06,0,CTL,20
1.01327e+06,12,RTS,20
1.01327e+06,10,RTS,20
1.01339e+06,13,RTS,20
1.01347e+06,20,CTS,14
1.01353e+06,13,QOSDATA_TID6,1066
1.01372e+06,20,ACK,14
1.01376e+06,13,CTL,20
1.01385e+06,18,RTS,20
1.01393e+06,20,CTS,14
1.01399e+06,18,QOSDATA_TID6,1066
1.01418e+06,20,ACK,14
1.01422e+06,18,CTL,20
1.01431e+06,7,RTS,20
1.01439e+06,20,CTS,14
1.01445e+06,7,QOSDATA_TID6,1066
1.01463e+06,20,ACK,14
1.01468e+06,7,CTL,20
1.01476e+06,3,RTS,20
1.01476e+06,4,RTS,20
1.01476e+06,5,RTS,20
1.01476e+06,9,RTS,20
1.01476e+06,8,RTS,20
1.01488e+06,16,RTS,20
1.01496e+06,20,CTS,14
1.01502e+06,16,QOSDATA_TID6,1066
1.01521e+06,20,ACK,14
1.01525e+06,16,CTL,20
1.01534e+06,12,RTS,20
1.01542e+06,20,CTS,14
1.01548e+06,12,QOSDATA_TID6,1066
1.01566e+06,20,ACK,14
1.01571e+06,12,QOSDATA_TID6,1066
1.01589e+06,20,ACK,14
1.01593e+06,12,QOSDATA_TID6,1066
1.01612e+06,20,ACK,14
1.01616e+06,12,CTL,20
1.01625e+06,8,RTS,20
1.01625e+06,19,RTS,20
1.01633e+06,20,CTS,14
1.01639e+06,19,QOSDATA_TID6,1066
1.01657e+06,20,ACK,14
1.01662e+06,19,CTL,20
1.0167e+06,10,RTS,20
1.01678e+06,20,CTS,14
1.01684e+06,10,QOSDATA_TID6,1066
1.01703e+06,20,ACK,14
1.01707e+06,10,CTL,20
1.01716e+06,14,RTS,20
1.01716e+06,6,RTS,20
1.01728e+06,17,RTS,20
1.01728e+06,4,RTS,20
1.01736e+06,20,CTS,14
1.01742e+06,17,QOSDATA_TID6,1066
1.0176e+06,20,ACK,14
1.01765e+06,17,CTL,20
1.01774e+06,15,RTS,20
1.01774e+06,3,RTS,20
1.01782e+06,20,CTS,14
1.01788e+06,15,QOSDATA_TID6,1066
1.01806e+06,20,ACK,14
1.01811e+06,15,CTL,20
1.0182e+06,1,RTS,20
1.01828e+06,20,CTS,14
1.01834e+06,1,QOSDATA_TID6,1066
1.01852e+06,20,ACK,14
1.01856e+06,1,CTL,20
1.01865e+06,3,RTS,20
1.01873e+06,20,CTS,14
1.01879e+06,3,QOSDATA_TID6,1066
1.01897e+06,20,ACK,14
1.01902e+06,3,CTL,20
1.0191e+06,6,RTS,20
1.01918e+06,20,CTS,14
