time_us,node_id,frame_type,size_bytes
1.00005e+06,20,ACK,14
1.0001e+06,16,QOSDATA_TID6,1066
1.00028e+06,20,ACK,14
1.00032e+06,16,CTL,20
1.00041e+06,14,RTS,20
1.00041e+06,10,RTS,20
1.00049e+06,20,CTS,14
1.00055e+06,14,QOSDATA_TID6,1066
1.00073e+06,20,ACK,14
1.00078e+06,14,CTL,20
1.00087e+06,13,RTS,20
1.00087e+06,15,RTS,20
1.001e+06,10,RTS,20
1.00108e+06,20,CTS,14
1.00114e+06,10,QOSDATA_TID6,1066
1.00132e+06,20,ACK,14
1.00136e+06,10,CTL,20
1.00146e+06,17,RTS,20
1.00154e+06,20,CTS,14
1.0016e+06,17,QOSDATA_TID6,1066
1.00178e+06,20,ACK,14
1.00183e+06,17,CTL,20
1.00191e+06,4,RTS,20
1.00199e+06,20,CTS,14
1.00205e+06,4,QOSDATA_TID6,1066
1.00224e+06,20,ACK,14
1.00228e+06,4,CTL,20
1.00237e+06,11,RTS,20
1.00237e+06,15,RTS,20
1.00237e+06,18,RTS,20
1.00237e+06,1,RTS,20
1.00245e+06,20,CTS,14
1.00251e+06,11,QOSDATA_TID6,1066
1.00269e+06,20,ACK,14
1.00273e+06,11,CTL,20
1.00282e+06,15,RTS,20
1.0029e+06,20,CTS,14
1.00296e+06,15,QOSDATA_TID6,1066
1.00314e+06,20,ACK,14
1.00319e+06,15,CTL,20
1.00328e+06,1,RTS,20
1.00336e+06,20,CTS,14
1.00342e+06,1,QOSDATA_TID6,1066
1.0036e+06,20,ACK,14
1.00364e+06,1,QOSDATA_TID6,1066
1.00383e+06,20,ACK,14
1.00387e+06,1,CTL,20
1.00396e+06,2,RTS,20
1.00396e+06,7,RTS,20
1.00396e+06,12,RTS,20
1.00396e+06,18,RTS,20
1.00396e+06,19,RTS,20
1.00408e+06,9,RTS,20
1.00416e+06,20,CTS,14
1.00422e+06,9,QOSDATA_TID6,1066
1.0044e+06,20,ACK,14
1.00445e+06,9,CTL,20
1.00453e+06,7,RTS,20
1.00461e+06,20,CTS,14
1.00467e+06,7,QOSDATA_TID6,1066
1.00486e+06,20,ACK,14
1.0049e+06,7,QOSDATA_TID6,1066
1.00508e+06,20,ACK,14
1.00513e+06,7,CTL,20
1.00522e+06,19,RTS,20
1.00522e+06,12,RTS,20
1.00522e+06,13,RTS,20
1.00534e+06,3,RTS,20
1.00542e+06,20,CTS,14
1.00548e+06,3,QOSDATA_TID6,1066
1.00566e+06,20,ACK,14
1.0057e+06,3,CTL,20
1.00579e+06,13,RTS,20
1.00579e+06,19,RTS,20
1.00587e+06,20,CTS,14
1.00593e+06,13,QOSDATA_TID6,1066
1.00612e+06,20,ACK,14
1.00616e+06,13,CTL,20
1.00625e+06,18,RTS,20
1.00633e+06,20,CTS,14
1.00639e+06,18,QOSDATA_TID6,1066
1.00658e+06,20,ACK,14
1.00662e+06,18,CTL,20
1.00671e+06,6,RTS,20
1.00671e+06,19,RTS,20
1.00671e+06,5,RTS,20
1.00671e+06,16,RTS,20
1.00683e+06,10,RTS,20
1.00691e+06,20,CTS,14
1.00697e+06,10,QOSDATA_TID6,1066
1.00715e+06,20,ACK,14
1.0072e+06,10,CTL,20
1.00729e+06,1,RTS,20
1.00729e+06,2,RTS,20
