bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,0.0475209,0.237604,1337
215,220,217.5,0.0802559,0.40128,2258
220,225,222.5,0.0163142,0.081571,459
370,375,372.5,0.00127955,0.00639773,36
375,380,377.5,0.00295006,0.0147503,83
380,385,382.5,0.00252355,0.0126177,71
385,390,387.5,0.00298561,0.014928,84
390,395,392.5,0.000959659,0.00479829,27
455,460,457.5,7.10858e-05,0.000355429,2
460,465,462.5,0.000213258,0.00106629,6
465,470,467.5,0.000177715,0.000888573,5
470,475,472.5,0.000497601,0.002488,14
475,480,477.5,0.0002488,0.001244,7
480,485,482.5,0.000177715,0.000888573,5
485,490,487.5,7.10858e-05,0.000355429,2
490,495,492.5,0.0002488,0.001244,7
495,500,497.5,0.000213258,0.00106629,6
500,505,502.5,0.00110183,0.00550915,31
505,510,507.5,0.00298561,0.014928,84
510,515,512.5,0.00362538,0.0181269,102
515,520,517.5,0.00415852,0.0207926,117
520,525,522.5,0.00565132,0.0282566,159
525,530,527.5,0.00483384,0.0241692,136
530,535,532.5,0.00366092,0.0183046,103
535,540,537.5,0.00362538,0.0181269,102
540,545,542.5,0.000675315,0.00337658,19
545,550,547.5,0.000533144,0.00266572,15
635,640,637.5,0.000106629,0.000533144,3
640,645,642.5,0.000533144,0.00266572,15
645,650,647.5,0.0002488,0.001244,7
650,655,652.5,0.000177715,0.000888573,5
655,660,657.5,0.000177715,0.000888573,5
660,665,662.5,0.000213258,0.00106629,6
665,670,667.5,0.0002488,0.001244,7
670,675,672.5,0.000106629,0.000533144,3
675,680,677.5,0.000106629,0.000533144,3
680,685,682.5,0.000177715,0.000888573,5
685,690,687.5,7.10858e-05,0.000355429,2
690,695,692.5,7.10858e-05,0.000355429,2
705,710,707.5,0.00209703,0.0104852,59
710,715,712.5,0.0019904,0.00995202,56
735,740,737.5,7.10858e-05,0.000355429,2
750,755,752.5,3.55429e-05,0.000177715,1
760,765,762.5,0.000106629,0.000533144,3
770,775,772.5,3.55429e-05,0.000177715,1
775,780,777.5,3.55429e-05,0.000177715,1
780,785,782.5,3.55429e-05,0.000177715,1
785,790,787.5,0.000106629,0.000533144,3
790,795,792.5,0.000177715,0.000888573,5
795,800,797.5,7.10858e-05,0.000355429,2
800,805,802.5,0.000106629,0.000533144,3
805,810,807.5,0.000177715,0.000888573,5
810,815,812.5,0.000284343,0.00142172,8
815,820,817.5,0.000390972,0.00195486,11
820,825,822.5,0.000319886,0.00159943,9
825,830,827.5,0.000284343,0.00142172,8
830,835,832.5,0.000284343,0.00142172,8
835,840,837.5,3.55429e-05,0.000177715,1
850,855,852.5,3.55429e-05,0.000177715,1
860,865,862.5,3.55429e-05,0.000177715,1
895,900,897.5,7.10858e-05,0.000355429,2
905,910,907.5,3.55429e-05,0.000177715,1
915,920,917.5,3.55429e-05,0.000177715,1
920,925,922.5,3.55429e-05,0.000177715,1
925,930,927.5,3.55429e-05,0.000177715,1
930,935,932.5,3.55429e-05,0.000177715,1
940,945,942.5,3.55429e-05,0.000177715,1
960,965,962.5,7.10858e-05,0.000355429,2
965,970,967.5,0.000284343,0.00142172,8
970,975,972.5,0.000142172,0.000710858,4
975,980,977.5,0.000177715,0.000888573,5
980,985,982.5,0.0002488,0.001244,7
985,990,987.5,0.000142172,0.000710858,4
990,995,992.5,0.0002488,0.001244,7
995,1000,997.5,0.0002488,0.001244,7
1000,1005,1002.5,0.000213258,0.00106629,6
1005,1010,1007.5,0.000284343,0.00142172,8
1010,1015,1012.5,0.000284343,0.00142172,8
1040,1045,1042.5,3.55429e-05,0.000177715,1
1055,1060,1057.5,3.55429e-05,0.000177715,1
1070,1075,1072.5,3.55429e-05,0.000177715,1
1075,1080,1077.5,7.10858e-05,0.000355429,2
1080,1085,1082.5,7.10858e-05,0.000355429,2
1095,1100,1097.5,3.55429e-05,0.000177715,1
1100,1105,1102.5,3.55429e-05,0.000177715,1
1120,1125,1122.5,3.55429e-05,0.000177715,1
1200,1205,1202.5,3.55429e-05,0.000177715,1
1225,1230,1227.5,3.55429e-05,0.000177715,1
1230,1235,1232.5,3.55429e-05,0.000177715,1
1250,1255,1252.5,3.55429e-05,0.000177715,1
1255,1260,1257.5,3.55429e-05,0.000177715,1
1260,1265,1262.5,3.55429e-05,0.000177715,1
1280,1285,1282.5,3.55429e-05,0.000177715,1
1290,1295,1292.5,7.10858e-05,0.000355429,2
1305,1310,1307.5,3.55429e-05,0.000177715,1
1360,1365,1362.5,3.55429e-05,0.000177715,1
1385,1390,1387.5,3.55429e-05,0.000177715,1
1480,1485,1482.5,3.55429e-05,0.000177715,1
1485,1490,1487.5,3.55429e-05,0.000177715,1
