bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,0.0460627,0.230313,3109
215,220,217.5,0.073724,0.36862,4976
220,225,222.5,0.0143714,0.0718572,970
225,230,227.5,0.000222239,0.00111119,15
230,235,232.5,0.000251871,0.00125935,17
235,240,237.5,0.000177791,0.000888955,12
240,245,242.5,0.000281502,0.00140751,19
245,250,247.5,0.000118527,0.000592636,8
250,255,252.5,7.40796e-05,0.000370398,5
255,260,257.5,0.000207423,0.00103711,14
260,265,262.5,0.000207423,0.00103711,14
265,270,267.5,0.000237055,0.00118527,16
270,275,272.5,0.000296318,0.00148159,20
275,280,277.5,0.000296318,0.00148159,20
280,285,282.5,0.000266686,0.00133343,18
285,290,287.5,0.000133343,0.000666716,9
290,295,292.5,0.000237055,0.00118527,16
295,300,297.5,0.000207423,0.00103711,14
300,305,302.5,0.000281502,0.00140751,19
305,310,307.5,0.000251871,0.00125935,17
310,315,312.5,0.000740796,0.00370398,50
315,320,317.5,0.00146678,0.00733388,99
320,325,322.5,0.00148159,0.00740796,100
325,330,327.5,0.00152604,0.00763019,103
330,335,332.5,0.0013927,0.00696348,94
335,340,337.5,0.0012149,0.00607452,82
340,345,342.5,0.000770427,0.00385214,52
345,350,347.5,0.000370398,0.00185199,25
350,355,352.5,0.000385214,0.00192607,26
355,360,357.5,7.40796e-05,0.000370398,5
360,365,362.5,5.92636e-05,0.000296318,4
365,370,367.5,4.44477e-05,0.000222239,3
370,375,372.5,0.000681532,0.00340766,46
375,380,377.5,0.00100748,0.00503741,68
380,385,382.5,0.00134825,0.00674124,91
385,390,387.5,0.00137788,0.0068894,93
390,395,392.5,0.00100748,0.00503741,68
395,400,397.5,0.00108156,0.00540781,73
400,405,402.5,0.00122972,0.0061486,83
405,410,407.5,0.00105193,0.00525965,71
410,415,412.5,7.40796e-05,0.000370398,5
415,420,417.5,7.40796e-05,0.000370398,5
420,425,422.5,1.48159e-05,7.40796e-05,1
425,430,427.5,1.48159e-05,7.40796e-05,1
435,440,437.5,8.88955e-05,0.000444477,6
440,445,442.5,2.96318e-05,0.000148159,2
450,455,452.5,1.48159e-05,7.40796e-05,1
455,460,457.5,8.88955e-05,0.000444477,6
460,465,462.5,0.000148159,0.000740796,10
465,470,467.5,0.000162975,0.000814875,11
470,475,472.5,0.000148159,0.000740796,10
475,480,477.5,0.000177791,0.000888955,12
