bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
350.0,355.0,352.5,0.04584692,0.2292346,0
355.0,360.0,357.5,0.07537852,0.3768926,0
360.0,365.0,362.5,0.017047848,0.08523924,0
365.0,370.0,367.5,0.002246712,0.01123356,0
370.0,375.0,372.5,0.001628156,0.00814078,0
390.0,395.0,392.5,0.0001066288,0.000533144,0
395.0,400.0,397.5,0.0001279544,0.000639772,0
400.0,405.0,402.5,0.0002061488,0.001030744,0
405.0,410.0,407.5,0.000241692,0.00120846,0
410.0,415.0,412.5,0.0003625378,0.001812689,0
415.0,420.0,417.5,0.00040519564,0.0020259782,0
420.0,425.0,422.5,0.00055447564,0.0027723782,0
425.0,430.0,427.5,0.00092411824,0.0046205912,0
430.0,435.0,432.5,0.00082459856,0.0041229928,0
435.0,440.0,437.5,0.00086014128,0.0043007064,0
440.0,445.0,442.5,0.0007748452,0.003874226,0
445.0,450.0,447.5,0.0006824356,0.003412178,0
450.0,455.0,452.5,0.00061133832,0.0030566916,0
455.0,460.0,457.5,0.0005615844,0.002807922,0
460.0,465.0,462.5,9.241804e-05,0.0004620902,0
465.0,470.0,467.5,5.687128e-05,0.0002843564,0
470.0,475.0,472.5,0.00012795452,0.0006397726,0
475.0,480.0,477.5,0.000518934,0.00259467,0
480.0,485.0,482.5,0.00039097488,0.0019548744,0
485.0,490.0,487.5,0.0003056692,0.001528346,0
490.0,495.0,492.5,0.000241692,0.00120846,0
495.0,500.0,497.5,0.000220366,0.00110183,0
500.0,505.0,502.5,7.1086e-05,0.00035543,0
505.0,510.0,507.5,6.39772e-05,0.000319886,0
510.0,515.0,512.5,2.843432e-05,0.0001421716,0
515.0,520.0,517.5,9.24116e-05,0.000462058,0
520.0,525.0,522.5,4.26516e-05,0.000213258,0
525.0,530.0,527.5,2.843432e-05,0.0001421716,0
530.0,535.0,532.5,5.68688e-05,0.000284344,0
535.0,540.0,537.5,2.132576e-05,0.0001066288,0
540.0,545.0,542.5,4.26516e-05,0.000213258,0
545.0,550.0,547.5,4.26516e-05,0.000213258,0
550.0,555.0,552.5,7.1086e-05,0.00035543,0
555.0,560.0,557.5,1.421716e-05,7.10858e-05,0
560.0,565.0,562.5,0.0005900132,0.002950066,0
565.0,570.0,567.5,0.00069664556,0.0034832278,0
570.0,575.0,572.5,0.000568688,0.00284344,0
575.0,580.0,577.5,0.00070375316,0.0035187658,0
580.0,585.0,582.5,0.0008032766,0.004016383,0
