bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,0.05877482,0.2938741,0
215.0,220.0,217.5,0.10052428,0.5026214,0
220.0,225.0,222.5,0.020984388,0.10492194,0
225.0,230.0,227.5,0.0020740748,0.010370374,0
230.0,235.0,232.5,0.0007288888,0.003644444,0
245.0,250.0,247.5,0.000213334,0.00106667,0
250.0,255.0,252.5,0.000408888,0.00204444,0
255.0,260.0,257.5,0.000728888,0.00364444,0
260.0,265.0,262.5,0.001025186,0.00512593,0
265.0,270.0,267.5,0.000983704,0.00491852,0
270.0,275.0,272.5,0.000948148,0.00474074,0
275.0,280.0,277.5,0.0009599698,0.004799849,0
280.0,285.0,282.5,0.000788148,0.00394074,0
285.0,290.0,287.5,0.000438518,0.00219259,0
290.0,295.0,292.5,0.0002963198,0.001481599,0
295.0,300.0,297.5,0.0004682656,0.002341328,0
300.0,305.0,302.5,0.0004564096,0.002282048,0
305.0,310.0,307.5,0.00048607,0.00243035,0
310.0,315.0,312.5,0.000426794,0.00213397,0
315.0,320.0,317.5,0.00046236,0.0023118,0
320.0,325.0,322.5,0.000367516,0.00183758,0
325.0,330.0,327.5,0.000450504,0.00225252,0
330.0,335.0,332.5,8.89152e-05,0.000444576,0
370.0,375.0,372.5,0.0001185186,0.000592593,0
375.0,380.0,377.5,0.000397038,0.00198519,0
380.0,385.0,382.5,0.00058074,0.0029037,0
385.0,390.0,387.5,0.000355556,0.00177778,0
390.0,395.0,392.5,0.000444444,0.00222222,0
395.0,400.0,397.5,0.000557038,0.00278519,0
400.0,405.0,402.5,0.000521482,0.00260741,0
405.0,410.0,407.5,0.000361482,0.00180741,0
435.0,440.0,437.5,1.185186e-05,5.92593e-05,0
445.0,450.0,447.5,1.777778e-05,8.88889e-05,0
455.0,460.0,457.5,4.14814e-05,0.000207407,0
465.0,470.0,467.5,4.148328e-05,0.0002074164,0
475.0,480.0,477.5,5.92768e-06,2.96384e-05,0
500.0,505.0,502.5,5.92768e-06,2.96384e-05,0
505.0,510.0,507.5,0.000456296,0.00228148,0
510.0,515.0,512.5,0.000432592,0.00216296,0
515.0,520.0,517.5,0.00050963,0.00254815,0
520.0,525.0,522.5,0.000438518,0.00219259,0
525.0,530.0,527.5,0.00045037,0.00225185,0
530.0,535.0,532.5,0.00045037,0.00225185,0
535.0,540.0,537.5,0.000474074,0.00237037,0
540.0,545.0,542.5,0.0001125926,0.000562963,0
545.0,550.0,547.5,1.185186e-05,5.92593e-05,0
715.0,720.0,717.5,1.185536e-05,5.92768e-05,0
750.0,755.0,752.5,5.92768e-06,2.96384e-05,0
765.0,770.0,767.5,3.5566e-05,0.00017783,0
775.0,780.0,777.5,1.778304e-05,8.89152e-05,0
785.0,790.0,787.5,1.185536e-05,5.92768e-05,0
835.0,840.0,837.5,1.778304e-05,8.89152e-05,0
1040.0,1045.0,1042.5,1.185536e-05,5.92768e-05,0
1050.0,1055.0,1052.5,5.92768e-06,2.96384e-05,0
