==============================================================================================================
  MAC Delay Percentile Statistics
  dataRate=1Mbps  runs=10 (averaged)
  Generated: 2026-04-28 22:33:34
==============================================================================================================

        nSta       ratio         P50         P95         P99       P99.9
  ------------------------------------------------------------------------
           2          0%       357.5       517.5       547.5       612.5
           2         20%       357.5       517.5       547.5       612.5
           2         40%       357.5       517.5       547.5       612.5
           2         60%       357.5       517.5       547.5       612.5
           2         80%       357.5       517.5       547.5       612.5
           2        100%       357.5       517.5       547.5       612.5

           3          0%       357.5       677.5       802.5       812.5
           3         20%       357.5       677.5       802.5       812.5
           3         40%       357.5       677.5       802.5       812.5
           3         60%       357.5       677.5       802.5       812.5
           3         80%       357.5       677.5       802.5       812.5
           3        100%       357.5       677.5       802.5       812.5

           4          0%       357.5       732.5      1162.5      1412.5
           4         20%       357.5       732.5      1162.5      1412.5
           4         40%       357.5       732.5      1162.5      1412.5
           4         60%       357.5       732.5      1162.5      1522.5
           4         80%       357.5       732.5      1162.5      1362.5
           4        100%       357.5       732.5      1162.5      1362.5

           5          0%       357.5       717.5       757.5       962.5
           5         20%       357.5       717.5       757.5       962.5
           5         40%       357.5       717.5       757.5       962.5
           5         60%       357.5       717.5       757.5       962.5
           5         80%       357.5       717.5       757.5       962.5
           5        100%       357.5       717.5       757.5       962.5

           6          0%       357.5       747.5      1412.5      1882.5
           6         20%       357.5       747.5      1417.5      1882.5
           6         40%       357.5       747.5      1422.5      1882.5
           6         60%       357.5       772.5      1417.5      1892.5
           6         80%       357.5       777.5      1417.5      1892.5
           6        100%       357.5       742.5      1417.5      1892.5

           7          0%       357.5       802.5      1232.5      1937.5
           7         20%       357.5       802.5      1232.5      1937.5
           7         40%       357.5       802.5      1227.5      1937.5
           7         60%       357.5       802.5      1227.5      1922.5
           7         80%       357.5       802.5      1232.5      1842.5
           7        100%       357.5       802.5      1227.5      1827.5

           8          0%       357.5       947.5      1512.5      2277.5
           8         20%       357.5       947.5      1507.5      2277.5
           8         40%       357.5       952.5      1517.5      2292.5
           8         60%       357.5       957.5      1512.5      2292.5
           8         80%       357.5       962.5      1512.5      2297.5
           8        100%       357.5       957.5      1512.5      2297.5

           9          0%       357.5      1202.5      1837.5      2322.5
           9         20%       357.5      1202.5      1832.5      2327.5
           9         40%       357.5      1202.5      1842.5      2652.5
           9         60%       357.5      1202.5      1852.5      3567.5
           9         80%       357.5      1202.5      1847.5      3552.5
           9        100%       357.5      1202.5      1852.5      3627.5

