bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,0.000119725,0.000598623,2
220,225,222.5,0.000119725,0.000598623,2
225,230,227.5,5.98623e-05,0.000299312,1
230,235,232.5,0.000119725,0.000598623,2
235,240,237.5,0.000119725,0.000598623,2
240,245,242.5,0.000119725,0.000598623,2
245,250,247.5,0.000119725,0.000598623,2
250,255,252.5,5.98623e-05,0.000299312,1
255,260,257.5,5.98623e-05,0.000299312,1
280,285,282.5,5.98623e-05,0.000299312,1
285,290,287.5,5.98623e-05,0.000299312,1
290,295,292.5,5.98623e-05,0.000299312,1
295,300,297.5,0.000119725,0.000598623,2
305,310,307.5,5.98623e-05,0.000299312,1
330,335,332.5,0.000119725,0.000598623,2
340,345,342.5,5.98623e-05,0.000299312,1
350,355,352.5,0.000838072,0.00419036,14
355,360,357.5,0.00101766,0.0050883,17
360,365,362.5,0.00131697,0.00658485,22
365,370,367.5,0.000718348,0.00359174,12
370,375,372.5,0.00125711,0.00628554,21
375,380,377.5,0.00107752,0.00538761,18
380,385,382.5,0.00107752,0.00538761,18
385,390,387.5,0.000658485,0.00329243,11
390,395,392.5,0.000419036,0.00209518,7
395,400,397.5,0.000419036,0.00209518,7
400,405,402.5,0.000478899,0.00239449,8
405,410,407.5,0.000478899,0.00239449,8
410,415,412.5,0.000359174,0.00179587,6
415,420,417.5,0.000718348,0.00359174,12
420,425,422.5,0.00077821,0.00389105,13
425,430,427.5,0.000119725,0.000598623,2
430,435,432.5,0.000658485,0.00329243,11
435,440,437.5,0.000838072,0.00419036,14
440,445,442.5,0.000718348,0.00359174,12
445,450,447.5,0.000658485,0.00329243,11
450,455,452.5,0.000419036,0.00209518,7
455,460,457.5,0.000419036,0.00209518,7
460,465,462.5,0.000957797,0.00478899,16
465,470,467.5,0.000299312,0.00149656,5
470,475,472.5,0.000838072,0.00419036,14
475,480,477.5,0.000239449,0.00119725,4
480,485,482.5,0.000419036,0.00209518,7
485,490,487.5,0.000598623,0.00299312,10
490,495,492.5,0.000419036,0.00209518,7
495,500,497.5,0.000478899,0.00239449,8
500,505,502.5,0.000419036,0.00209518,7
505,510,507.5,0.000299312,0.00149656,5
510,515,512.5,0.000359174,0.00179587,6
515,520,517.5,0.000478899,0.00239449,8
520,525,522.5,0.000538761,0.0026938,9
525,530,527.5,0.000239449,0.00119725,4
530,535,532.5,0.000359174,0.00179587,6
535,540,537.5,0.000598623,0.00299312,10
540,545,542.5,0.000359174,0.00179587,6
545,550,547.5,0.000419036,0.00209518,7
550,555,552.5,0.000359174,0.00179587,6
555,560,557.5,0.000419036,0.00209518,7
560,565,562.5,0.000359174,0.00179587,6
565,570,567.5,0.000299312,0.00149656,5
570,575,572.5,0.000299312,0.00149656,5
575,580,577.5,0.000179587,0.000897935,3
580,585,582.5,0.000538761,0.0026938,9
585,590,587.5,0.000239449,0.00119725,4
590,595,592.5,0.000239449,0.00119725,4
595,600,597.5,0.000299312,0.00149656,5
600,605,602.5,0.000299312,0.00149656,5
605,610,607.5,0.000359174,0.00179587,6
