bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,1.17213e-05,5.86063e-05,1
215,220,217.5,4.68851e-05,0.000234425,4
220,225,222.5,2.34425e-05,0.000117213,2
225,230,227.5,4.68851e-05,0.000234425,4
230,235,232.5,2.34425e-05,0.000117213,2
235,240,237.5,3.51638e-05,0.000175819,3
240,245,242.5,4.68851e-05,0.000234425,4
245,250,247.5,8.20489e-05,0.000410244,7
250,255,252.5,8.20489e-05,0.000410244,7
255,260,257.5,4.68851e-05,0.000234425,4
260,265,262.5,5.86063e-05,0.000293032,5
265,270,267.5,4.68851e-05,0.000234425,4
270,275,272.5,1.17213e-05,5.86063e-05,1
275,280,277.5,9.37701e-05,0.000468851,8
280,285,282.5,3.51638e-05,0.000175819,3
285,290,287.5,3.51638e-05,0.000175819,3
290,295,292.5,0.000117213,0.000586063,10
295,300,297.5,1.17213e-05,5.86063e-05,1
300,305,302.5,3.51638e-05,0.000175819,3
305,310,307.5,0.000128934,0.00064467,11
310,315,312.5,5.86063e-05,0.000293032,5
315,320,317.5,3.51638e-05,0.000175819,3
320,325,322.5,5.86063e-05,0.000293032,5
325,330,327.5,7.03276e-05,0.000351638,6
330,335,332.5,3.51638e-05,0.000175819,3
335,340,337.5,5.86063e-05,0.000293032,5
340,345,342.5,0.000105491,0.000527457,9
345,350,347.5,3.51638e-05,0.000175819,3
350,355,352.5,0.000433687,0.00216843,37
355,360,357.5,0.00092598,0.0046299,79
360,365,362.5,0.00101975,0.00509875,87
365,370,367.5,0.000902538,0.00451269,77
370,375,372.5,0.000773604,0.00386802,66
375,380,377.5,0.000726719,0.00363359,62
380,385,382.5,0.000750161,0.00375081,64
385,390,387.5,0.000562621,0.0028131,48
390,395,392.5,0.000445408,0.00222704,38
395,400,397.5,0.000468851,0.00234425,40
400,405,402.5,0.000468851,0.00234425,40
405,410,407.5,0.000468851,0.00234425,40
410,415,412.5,0.000246147,0.00123073,21
415,420,417.5,0.00018754,0.000937701,16
420,425,422.5,0.000210983,0.00105491,18
425,430,427.5,0.000234425,0.00117213,20
430,435,432.5,0.00028131,0.00140655,24
435,440,437.5,0.000515736,0.00257868,44
440,445,442.5,0.000246147,0.00123073,21
445,450,447.5,0.000246147,0.00123073,21
450,455,452.5,0.000293032,0.00146516,25
455,460,457.5,0.00028131,0.00140655,24
460,465,462.5,0.00028131,0.00140655,24
