bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
220,225,222.5,0.000172117,0.000860585,1
225,230,227.5,0.000172117,0.000860585,1
255,260,257.5,0.000172117,0.000860585,1
260,265,262.5,0.000172117,0.000860585,1
265,270,267.5,0.000172117,0.000860585,1
295,300,297.5,0.000172117,0.000860585,1
305,310,307.5,0.000172117,0.000860585,1
330,335,332.5,0.000344234,0.00172117,2
345,350,347.5,0.000172117,0.000860585,1
350,355,352.5,0.000516351,0.00258176,3
355,360,357.5,0.000860585,0.00430293,5
360,365,362.5,0.000172117,0.000860585,1
365,370,367.5,0.000516351,0.00258176,3
370,375,372.5,0.000516351,0.00258176,3
375,380,377.5,0.000860585,0.00430293,5
380,385,382.5,0.000344234,0.00172117,2
385,390,387.5,0.000344234,0.00172117,2
390,395,392.5,0.000516351,0.00258176,3
395,400,397.5,0.000172117,0.000860585,1
405,410,407.5,0.000344234,0.00172117,2
410,415,412.5,0.000172117,0.000860585,1
415,420,417.5,0.000516351,0.00258176,3
420,425,422.5,0.000344234,0.00172117,2
425,430,427.5,0.000516351,0.00258176,3
430,435,432.5,0.000344234,0.00172117,2
440,445,442.5,0.000344234,0.00172117,2
445,450,447.5,0.000344234,0.00172117,2
460,465,462.5,0.000172117,0.000860585,1
465,470,467.5,0.000172117,0.000860585,1
475,480,477.5,0.000344234,0.00172117,2
480,485,482.5,0.0425129,0.212565,247
485,490,487.5,0.000172117,0.000860585,1
490,495,492.5,0.000172117,0.000860585,1
500,505,502.5,0.000172117,0.000860585,1
505,510,507.5,0.000688468,0.00344234,4
515,520,517.5,0.000344234,0.00172117,2
525,530,527.5,0.000172117,0.000860585,1
530,535,532.5,0.000516351,0.00258176,3
535,540,537.5,0.000516351,0.00258176,3
540,545,542.5,0.000172117,0.000860585,1
545,550,547.5,0.000172117,0.000860585,1
550,555,552.5,0.000516351,0.00258176,3
555,560,557.5,0.000172117,0.000860585,1
560,565,562.5,0.000344234,0.00172117,2
565,570,567.5,0.000344234,0.00172117,2
580,585,582.5,0.000344234,0.00172117,2
590,595,592.5,0.000344234,0.00172117,2
595,600,597.5,0.000344234,0.00172117,2
605,610,607.5,0.000172117,0.000860585,1
610,615,612.5,0.000344234,0.00172117,2
615,620,617.5,0.00275387,0.0137694,16
620,625,622.5,0.000172117,0.000860585,1
625,630,627.5,0.000172117,0.000860585,1
630,635,632.5,0.000172117,0.000860585,1
640,645,642.5,0.000344234,0.00172117,2
650,655,652.5,0.000172117,0.000860585,1
655,660,657.5,0.000344234,0.00172117,2
665,670,667.5,0.000172117,0.000860585,1
675,680,677.5,0.000172117,0.000860585,1
680,685,682.5,0.000172117,0.000860585,1
690,695,692.5,0.000344234,0.00172117,2
695,700,697.5,0.000516351,0.00258176,3
710,715,712.5,0.000344234,0.00172117,2
725,730,727.5,0.000516351,0.00258176,3
730,735,732.5,0.000344234,0.00172117,2
740,745,742.5,0.000172117,0.000860585,1
745,750,747.5,0.000172117,0.000860585,1
750,755,752.5,0.00172117,0.00860585,10
755,760,757.5,0.000172117,0.000860585,1
760,765,762.5,0.000172117,0.000860585,1
765,770,767.5,0.000172117,0.000860585,1
770,775,772.5,0.000172117,0.000860585,1
780,785,782.5,0.000172117,0.000860585,1
785,790,787.5,0.000172117,0.000860585,1
795,800,797.5,0.000172117,0.000860585,1
800,805,802.5,0.000516351,0.00258176,3
805,810,807.5,0.000344234,0.00172117,2
810,815,812.5,0.000172117,0.000860585,1
820,825,822.5,0.000172117,0.000860585,1
845,850,847.5,0.000172117,0.000860585,1
865,870,867.5,0.000172117,0.000860585,1
875,880,877.5,0.000172117,0.000860585,1
880,885,882.5,0.000516351,0.00258176,3
885,890,887.5,0.000172117,0.000860585,1
910,915,912.5,0.000344234,0.00172117,2
930,935,932.5,0.000172117,0.000860585,1
935,940,937.5,0.000172117,0.000860585,1
950,955,952.5,0.000172117,0.000860585,1
955,960,957.5,0.000344234,0.00172117,2
960,965,962.5,0.000172117,0.000860585,1
965,970,967.5,0.000344234,0.00172117,2
990,995,992.5,0.000344234,0.00172117,2
995,1000,997.5,0.000172117,0.000860585,1
1045,1050,1047.5,0.000172117,0.000860585,1
1060,1065,1062.5,0.000860585,0.00430293,5
1070,1075,1072.5,0.000688468,0.00344234,4
1075,1080,1077.5,0.000172117,0.000860585,1
1080,1085,1082.5,0.000172117,0.000860585,1
1095,1100,1097.5,0.000172117,0.000860585,1
1100,1105,1102.5,0.000172117,0.000860585,1
1105,1110,1107.5,0.000172117,0.000860585,1
1145,1150,1147.5,0.000344234,0.00172117,2
1150,1155,1152.5,0.000344234,0.00172117,2
1165,1170,1167.5,0.000172117,0.000860585,1
1180,1185,1182.5,0.000344234,0.00172117,2
1185,1190,1187.5,0.000172117,0.000860585,1
1190,1195,1192.5,0.000172117,0.000860585,1
1195,1200,1197.5,0.000172117,0.000860585,1
1200,1205,1202.5,0.000344234,0.00172117,2
1210,1215,1212.5,0.000344234,0.00172117,2
1215,1220,1217.5,0.000344234,0.00172117,2
1245,1250,1247.5,0.000172117,0.000860585,1
1265,1270,1267.5,0.000172117,0.000860585,1
1280,1285,1282.5,0.000172117,0.000860585,1
1295,1300,1297.5,0.000172117,0.000860585,1
1300,1305,1302.5,0.000172117,0.000860585,1
1305,1310,1307.5,0.000172117,0.000860585,1
1310,1315,1312.5,0.000172117,0.000860585,1
1315,1320,1317.5,0.000172117,0.000860585,1
1325,1330,1327.5,0.000172117,0.000860585,1
1335,1340,1337.5,0.000516351,0.00258176,3
1340,1345,1342.5,0.000516351,0.00258176,3
1350,1355,1352.5,0.000344234,0.00172117,2
1365,1370,1367.5,0.000172117,0.000860585,1
1380,1385,1382.5,0.000172117,0.000860585,1
1410,1415,1412.5,0.000344234,0.00172117,2
1420,1425,1422.5,0.000172117,0.000860585,1
1435,1440,1437.5,0.000172117,0.000860585,1
1465,1470,1467.5,0.000344234,0.00172117,2
1480,1485,1482.5,0.000344234,0.00172117,2
1500,1505,1502.5,0.000172117,0.000860585,1
1505,1510,1507.5,0.000172117,0.000860585,1
1540,1545,1542.5,0.000172117,0.000860585,1
1550,1555,1552.5,0.000172117,0.000860585,1
1565,1570,1567.5,0.000172117,0.000860585,1
1575,1580,1577.5,0.000172117,0.000860585,1
1580,1585,1582.5,0.000172117,0.000860585,1
1585,1590,1587.5,0.000344234,0.00172117,2
1595,1600,1597.5,0.000172117,0.000860585,1
1605,1610,1607.5,0.000172117,0.000860585,1
1635,1640,1637.5,0.000172117,0.000860585,1
1655,1660,1657.5,0.000172117,0.000860585,1
1680,1685,1682.5,0.000344234,0.00172117,2
1685,1690,1687.5,0.000172117,0.000860585,1
1690,1695,1692.5,0.000172117,0.000860585,1
1725,1730,1727.5,0.000172117,0.000860585,1
1730,1735,1732.5,0.000516351,0.00258176,3
1750,1755,1752.5,0.000172117,0.000860585,1
1755,1760,1757.5,0.000172117,0.000860585,1
1770,1775,1772.5,0.000344234,0.00172117,2
1775,1780,1777.5,0.000344234,0.00172117,2
1785,1790,1787.5,0.000172117,0.000860585,1
1790,1795,1792.5,0.000172117,0.000860585,1
1795,1800,1797.5,0.000172117,0.000860585,1
