bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210.0,215.0,212.5,3.976478e-05,0.0001988239,0
215.0,220.0,217.5,8.904432e-05,0.0004452216,0
220.0,225.0,222.5,9.037028e-05,0.0004518514,0
225.0,230.0,227.5,7.377998e-05,0.0003688999,0
230.0,235.0,232.5,8.079924e-05,0.0004039962,0
235.0,240.0,237.5,6.55581e-05,0.0003277905,0
240.0,245.0,242.5,6.107994e-05,0.0003053997,0
245.0,250.0,247.5,1.304632e-05,6.52316e-05,0
250.0,255.0,252.5,4.23125e-05,0.0002115625,0
255.0,260.0,257.5,3.947044e-05,0.0001973522,0
260.0,265.0,262.5,1.110494e-05,5.55247e-05,0
265.0,270.0,267.5,5.71181e-05,0.0002855905,0
270.0,275.0,272.5,0.0001088025,0.0005440125,0
275.0,280.0,277.5,1.572328e-05,7.86164e-05,0
280.0,285.0,282.5,5.66636e-05,0.000283318,0
285.0,290.0,287.5,3.585004e-05,0.0001792502,0
290.0,295.0,292.5,6.71254e-05,0.000335627,0
295.0,300.0,297.5,0.00010631456,0.0005315728,0
300.0,305.0,302.5,5.45704e-05,0.000272852,0
305.0,310.0,307.5,1.182034e-05,5.91017e-05,0
310.0,315.0,312.5,6.133632e-05,0.0003066816,0
315.0,320.0,317.5,4.020234e-05,0.0002010117,0
320.0,325.0,322.5,2.83655e-05,0.0001418275,0
325.0,330.0,327.5,6.075016e-05,0.0003037508,0
330.0,335.0,332.5,7.066104e-05,0.0003533052,0
335.0,340.0,337.5,6.097476e-05,0.0003048738,0
340.0,345.0,342.5,7.778648e-05,0.0003889324,0
345.0,350.0,347.5,6.38502e-05,0.000319251,0
350.0,355.0,352.5,0.0004361708,0.002180854,0
355.0,360.0,357.5,0.00088358362,0.0044179181,0
360.0,365.0,362.5,0.00080876228,0.0040438114,0
365.0,370.0,367.5,0.0006518402,0.003259201,0
370.0,375.0,372.5,0.00067415298,0.0033707649,0
375.0,380.0,377.5,0.0007565268,0.003782634,0
380.0,385.0,382.5,0.00057806342,0.0028903171,0
385.0,390.0,387.5,0.0003793492,0.001896746,0
