CWds,QSRC,PSRC,nPedca,delay_type,P50_us,P95_us,P99_us
0,0,1,5,legacy,2707.50,16522.50,23287.50
0,0,1,5,legacy,2707.50,16522.50,23287.50
0,0,2,5,legacy,2487.50,15607.50,22007.50
0,0,2,5,legacy,2487.50,15607.50,22007.50
0,0,3,5,legacy,2562.50,15652.50,22272.50
0,0,3,5,legacy,2562.50,15652.50,22272.50
0,1,1,5,legacy,2382.50,15247.50,21692.50
0,1,1,5,legacy,2382.50,15247.50,21692.50
0,1,2,5,legacy,2527.50,15687.50,22462.50
0,1,2,5,legacy,2527.50,15687.50,22462.50
0,1,3,5,legacy,2772.50,16802.50,23917.50
0,1,3,5,legacy,2772.50,16802.50,23917.50
0,2,1,5,legacy,2412.50,15502.50,22077.50
0,2,1,5,legacy,2412.50,15502.50,22077.50
0,2,2,5,legacy,2527.50,15732.50,22462.50
0,2,2,5,legacy,2527.50,15732.50,22462.50
0,2,3,5,legacy,2577.50,16162.50,23142.50
0,2,3,5,legacy,2577.50,16162.50,23142.50
0,3,1,5,legacy,2327.50,14987.50,21662.50
0,3,1,5,legacy,2327.50,14987.50,21662.50
0,3,2,5,legacy,2507.50,15932.50,22597.50
0,3,2,5,legacy,2507.50,15932.50,22597.50
0,3,3,5,legacy,2457.50,15922.50,22832.50
0,3,3,5,legacy,2457.50,15922.50,22832.50
0,4,1,5,legacy,2477.50,15817.50,22562.50
0,4,1,5,legacy,2477.50,15817.50,22562.50
0,4,2,5,legacy,2357.50,15142.50,21912.50
0,4,2,5,legacy,2357.50,15142.50,21912.50
0,4,3,5,legacy,2337.50,15322.50,22237.50
0,4,3,5,legacy,2337.50,15322.50,22237.50
0,5,1,5,legacy,2342.50,15347.50,22097.50
0,5,1,5,legacy,2342.50,15347.50,22097.50
0,5,2,5,legacy,2477.50,15867.50,22887.50
0,5,2,5,legacy,2477.50,15867.50,22887.50
0,5,3,5,legacy,2412.50,15782.50,22662.50
0,5,3,5,legacy,2412.50,15782.50,22662.50
1,0,1,5,legacy,2707.50,16522.50,23287.50
1,0,1,5,legacy,2707.50,16522.50,23287.50
1,0,2,5,legacy,2392.50,15097.50,21692.50
1,0,2,5,legacy,2392.50,15097.50,21692.50
1,0,3,5,legacy,2687.50,16242.50,22907.50
1,0,3,5,legacy,2687.50,16242.50,22907.50
1,1,1,5,legacy,2537.50,15752.50,22447.50
1,1,1,5,legacy,2537.50,15752.50,22447.50
1,1,2,5,legacy,2677.50,16537.50,23587.50
1,1,2,5,legacy,2677.50,16537.50,23587.50
1,1,3,5,legacy,2662.50,16207.50,23157.50
1,1,3,5,legacy,2662.50,16207.50,23157.50
1,2,1,5,legacy,2417.50,15242.50,21962.50
1,2,1,5,legacy,2417.50,15242.50,21962.50
1,2,2,5,legacy,2532.50,15867.50,22767.50
1,2,2,5,legacy,2532.50,15867.50,22767.50
1,2,3,5,legacy,2517.50,15817.50,22647.50
1,2,3,5,legacy,2517.50,15817.50,22647.50
1,3,1,5,legacy,2477.50,15842.50,22442.50
1,3,1,5,legacy,2477.50,15842.50,22442.50
1,3,2,5,legacy,2422.50,15617.50,22392.50
1,3,2,5,legacy,2422.50,15617.50,22392.50
1,3,3,5,legacy,2402.50,15512.50,22292.50
1,3,3,5,legacy,2402.50,15512.50,22292.50
1,4,1,5,legacy,2517.50,15977.50,22767.50
1,4,1,5,legacy,2517.50,15977.50,22767.50
1,4,2,5,legacy,2437.50,15832.50,22672.50
1,4,2,5,legacy,2437.50,15832.50,22672.50
1,4,3,5,legacy,2357.50,15292.50,22177.50
1,4,3,5,legacy,2357.50,15292.50,22177.50
1,5,1,5,legacy,2447.50,15722.50,22557.50
1,5,1,5,legacy,2447.50,15722.50,22557.50
1,5,2,5,legacy,2517.50,16027.50,22882.50
1,5,2,5,legacy,2517.50,16027.50,22882.50
1,5,3,5,legacy,2412.50,15672.50,22527.50
1,5,3,5,legacy,2412.50,15672.50,22527.50
0,0,1,15,legacy,2902.50,16517.50,23227.50
0,0,1,15,legacy,2902.50,16517.50,23227.50
0,0,2,15,legacy,3027.50,16757.50,23257.50
0,0,2,15,legacy,3027.50,16757.50,23257.50
0,0,3,15,legacy,3082.50,17162.50,23957.50
0,0,3,15,legacy,3082.50,17162.50,23957.50
0,1,1,15,legacy,2877.50,16917.50,23732.50
0,1,1,15,legacy,2877.50,16917.50,23732.50
0,1,2,15,legacy,2862.50,16932.50,23997.50
0,1,2,15,legacy,2862.50,16932.50,23997.50
0,1,3,15,legacy,2992.50,17297.50,24402.50
0,1,3,15,legacy,2992.50,17297.50,24402.50
0,2,1,15,legacy,2582.50,15847.50,22567.50
0,2,1,15,legacy,2582.50,15847.50,22567.50
0,2,2,15,legacy,3082.50,17722.50,24887.50
0,2,2,15,legacy,3082.50,17722.50,24887.50
0,2,3,15,legacy,2947.50,17477.50,24717.50
0,2,3,15,legacy,2947.50,17477.50,24717.50
0,3,1,15,legacy,2672.50,16507.50,23517.50
0,3,1,15,legacy,2672.50,16507.50,23517.50
0,3,2,15,legacy,2857.50,16977.50,23787.50
0,3,2,15,legacy,2857.50,16977.50,23787.50
0,3,3,15,legacy,2722.50,16452.50,23537.50
0,3,3,15,legacy,2722.50,16452.50,23537.50
0,4,1,15,legacy,2592.50,15962.50,22837.50
0,4,1,15,legacy,2592.50,15962.50,22837.50
0,4,2,15,legacy,2687.50,16812.50,24212.50
0,4,2,15,legacy,2687.50,16812.50,24212.50
0,4,3,15,legacy,2937.50,17422.50,24592.50
0,4,3,15,legacy,2937.50,17422.50,24592.50
0,5,1,15,legacy,2502.50,16077.50,23152.50
0,5,1,15,legacy,2502.50,16077.50,23152.50
0,5,2,15,legacy,2652.50,16812.50,24207.50
0,5,2,15,legacy,2652.50,16812.50,24207.50
0,5,3,15,legacy,2387.50,15982.50,23287.50
0,5,3,15,legacy,2387.50,15982.50,23287.50
1,0,1,15,legacy,2902.50,16517.50,23227.50
1,0,1,15,legacy,2902.50,16517.50,23227.50
1,0,2,15,legacy,2992.50,16867.50,23452.50
1,0,2,15,legacy,2992.50,16867.50,23452.50
1,0,3,15,legacy,3102.50,16827.50,23587.50
1,0,3,15,legacy,3102.50,16827.50,23587.50
1,1,1,15,legacy,2927.50,17022.50,24122.50
1,1,1,15,legacy,2927.50,17022.50,24122.50
1,1,2,15,legacy,2907.50,17012.50,23927.50
1,1,2,15,legacy,2907.50,17012.50,23927.50
1,1,3,15,legacy,2992.50,17252.50,24317.50
1,1,3,15,legacy,2992.50,17252.50,24317.50
