bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
235,240,237.5,0.00010304,0.000515198,1
250,255,252.5,0.00010304,0.000515198,1
270,275,272.5,0.00010304,0.000515198,1
275,280,277.5,0.00010304,0.000515198,1
280,285,282.5,0.000206079,0.0010304,2
305,310,307.5,0.00010304,0.000515198,1
320,325,322.5,0.00010304,0.000515198,1
330,335,332.5,0.00010304,0.000515198,1
335,340,337.5,0.00010304,0.000515198,1
340,345,342.5,0.00133952,0.00669758,13
345,350,347.5,0.00144256,0.00721278,14
350,355,352.5,0.0010304,0.00515198,10
355,360,357.5,0.000515198,0.00257599,5
360,365,362.5,0.00123648,0.00618238,12
365,370,367.5,0.000618238,0.00309119,6
370,375,372.5,0.000515198,0.00257599,5
375,380,377.5,0.000618238,0.00309119,6
380,385,382.5,0.000515198,0.00257599,5
385,390,387.5,0.000412159,0.00206079,4
390,395,392.5,0.000206079,0.0010304,2
395,400,397.5,0.000206079,0.0010304,2
400,405,402.5,0.00010304,0.000515198,1
405,410,407.5,0.000412159,0.00206079,4
415,420,417.5,0.00010304,0.000515198,1
420,425,422.5,0.000206079,0.0010304,2
425,430,427.5,0.000309119,0.0015456,3
430,435,432.5,0.000824317,0.00412159,8
435,440,437.5,0.000412159,0.00206079,4
440,445,442.5,0.00010304,0.000515198,1
445,450,447.5,0.00010304,0.000515198,1
450,455,452.5,0.000309119,0.0015456,3
455,460,457.5,0.000309119,0.0015456,3
460,465,462.5,0.000721278,0.00360639,7
465,470,467.5,0.000206079,0.0010304,2
470,475,472.5,0.01051,0.0525502,102
480,485,482.5,0.00010304,0.000515198,1
485,490,487.5,0.000309119,0.0015456,3
490,495,492.5,0.00010304,0.000515198,1
495,500,497.5,0.000618238,0.00309119,6
500,505,502.5,0.00010304,0.000515198,1
505,510,507.5,0.000309119,0.0015456,3
510,515,512.5,0.00010304,0.000515198,1
515,520,517.5,0.00010304,0.000515198,1
520,525,522.5,0.000309119,0.0015456,3
525,530,527.5,0.000618238,0.00309119,6
530,535,532.5,0.000206079,0.0010304,2
535,540,537.5,0.000206079,0.0010304,2
540,545,542.5,0.000206079,0.0010304,2
545,550,547.5,0.000515198,0.00257599,5
550,555,552.5,0.000721278,0.00360639,7
560,565,562.5,0.000206079,0.0010304,2
565,570,567.5,0.000618238,0.00309119,6
570,575,572.5,0.000206079,0.0010304,2
575,580,577.5,0.000206079,0.0010304,2
580,585,582.5,0.00010304,0.000515198,1
585,590,587.5,0.000927357,0.00463679,9
590,595,592.5,0.000412159,0.00206079,4
595,600,597.5,0.00010304,0.000515198,1
600,605,602.5,0.0010304,0.00515198,10
605,610,607.5,0.00010304,0.000515198,1
610,615,612.5,0.000309119,0.0015456,3
615,620,617.5,0.00010304,0.000515198,1
620,625,622.5,0.000206079,0.0010304,2
625,630,627.5,0.00010304,0.000515198,1
630,635,632.5,0.000206079,0.0010304,2
635,640,637.5,0.000206079,0.0010304,2
640,645,642.5,0.000412159,0.00206079,4
645,650,647.5,0.00010304,0.000515198,1
650,655,652.5,0.000309119,0.0015456,3
655,660,657.5,0.000309119,0.0015456,3
660,665,662.5,0.000309119,0.0015456,3
665,670,667.5,0.000206079,0.0010304,2
670,675,672.5,0.000412159,0.00206079,4
675,680,677.5,0.000412159,0.00206079,4
680,685,682.5,0.000309119,0.0015456,3
685,690,687.5,0.000618238,0.00309119,6
695,700,697.5,0.00010304,0.000515198,1
700,705,702.5,0.000206079,0.0010304,2
705,710,707.5,0.000515198,0.00257599,5
715,720,717.5,0.00010304,0.000515198,1
720,725,722.5,0.000618238,0.00309119,6
725,730,727.5,0.00010304,0.000515198,1
730,735,732.5,0.000412159,0.00206079,4
735,740,737.5,0.000309119,0.0015456,3
740,745,742.5,0.000618238,0.00309119,6
745,750,747.5,0.00010304,0.000515198,1
750,755,752.5,0.000206079,0.0010304,2
755,760,757.5,0.000206079,0.0010304,2
760,765,762.5,0.000206079,0.0010304,2
770,775,772.5,0.000412159,0.00206079,4
775,780,777.5,0.000206079,0.0010304,2
780,785,782.5,0.000515198,0.00257599,5
785,790,787.5,0.000206079,0.0010304,2
790,795,792.5,0.000206079,0.0010304,2
795,800,797.5,0.00010304,0.000515198,1
800,805,802.5,0.00010304,0.000515198,1
805,810,807.5,0.00010304,0.000515198,1
810,815,812.5,0.00010304,0.000515198,1
815,820,817.5,0.000309119,0.0015456,3
825,830,827.5,0.000206079,0.0010304,2
830,835,832.5,0.000206079,0.0010304,2
835,840,837.5,0.000309119,0.0015456,3
840,845,842.5,0.000309119,0.0015456,3
845,850,847.5,0.000206079,0.0010304,2
850,855,852.5,0.00010304,0.000515198,1
865,870,867.5,0.000618238,0.00309119,6
870,875,872.5,0.000309119,0.0015456,3
875,880,877.5,0.000206079,0.0010304,2
880,885,882.5,0.00010304,0.000515198,1
885,890,887.5,0.000309119,0.0015456,3
890,895,892.5,0.000412159,0.00206079,4
895,900,897.5,0.000206079,0.0010304,2
900,905,902.5,0.000412159,0.00206079,4
910,915,912.5,0.000206079,0.0010304,2
915,920,917.5,0.00010304,0.000515198,1
920,925,922.5,0.000206079,0.0010304,2
925,930,927.5,0.00010304,0.000515198,1
