bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
235,240,237.5,0.00024024,0.0012012,2
240,245,242.5,0.00012012,0.000600601,1
285,290,287.5,0.00012012,0.000600601,1
295,300,297.5,0.00012012,0.000600601,1
300,305,302.5,0.00012012,0.000600601,1
315,320,317.5,0.00012012,0.000600601,1
340,345,342.5,0.00132132,0.00660661,11
345,350,347.5,0.00108108,0.00540541,9
350,355,352.5,0.000720721,0.0036036,6
355,360,357.5,0.000600601,0.003003,5
360,365,362.5,0.000600601,0.003003,5
365,370,367.5,0.000840841,0.0042042,7
370,375,372.5,0.00108108,0.00540541,9
375,380,377.5,0.00036036,0.0018018,3
380,385,382.5,0.00048048,0.0024024,4
385,390,387.5,0.00012012,0.000600601,1
390,395,392.5,0.00048048,0.0024024,4
395,400,397.5,0.00012012,0.000600601,1
405,410,407.5,0.00012012,0.000600601,1
410,415,412.5,0.00048048,0.0024024,4
415,420,417.5,0.00048048,0.0024024,4
420,425,422.5,0.00024024,0.0012012,2
425,430,427.5,0.00036036,0.0018018,3
430,435,432.5,0.00036036,0.0018018,3
435,440,437.5,0.00024024,0.0012012,2
440,445,442.5,0.00048048,0.0024024,4
445,450,447.5,0.000600601,0.003003,5
450,455,452.5,0.00012012,0.000600601,1
455,460,457.5,0.00024024,0.0012012,2
465,470,467.5,0.00024024,0.0012012,2
470,475,472.5,0.0144144,0.0720721,120
480,485,482.5,0.00036036,0.0018018,3
485,490,487.5,0.000720721,0.0036036,6
490,495,492.5,0.00036036,0.0018018,3
495,500,497.5,0.00012012,0.000600601,1
500,505,502.5,0.00036036,0.0018018,3
505,510,507.5,0.00036036,0.0018018,3
510,515,512.5,0.00024024,0.0012012,2
515,520,517.5,0.00024024,0.0012012,2
520,525,522.5,0.000600601,0.003003,5
525,530,527.5,0.00036036,0.0018018,3
530,535,532.5,0.00012012,0.000600601,1
535,540,537.5,0.00036036,0.0018018,3
540,545,542.5,0.00024024,0.0012012,2
545,550,547.5,0.00036036,0.0018018,3
550,555,552.5,0.00048048,0.0024024,4
555,560,557.5,0.00024024,0.0012012,2
560,565,562.5,0.00012012,0.000600601,1
565,570,567.5,0.00036036,0.0018018,3
570,575,572.5,0.00012012,0.000600601,1
575,580,577.5,0.00012012,0.000600601,1
585,590,587.5,0.00012012,0.000600601,1
590,595,592.5,0.00024024,0.0012012,2
595,600,597.5,0.00036036,0.0018018,3
600,605,602.5,0.00036036,0.0018018,3
605,610,607.5,0.00024024,0.0012012,2
610,615,612.5,0.000840841,0.0042042,7
615,620,617.5,0.000600601,0.003003,5
620,625,622.5,0.00036036,0.0018018,3
625,630,627.5,0.000600601,0.003003,5
630,635,632.5,0.00012012,0.000600601,1
635,640,637.5,0.00036036,0.0018018,3
640,645,642.5,0.000600601,0.003003,5
645,650,647.5,0.00036036,0.0018018,3
