bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
210,215,212.5,0.00022792,0.0011396,2
220,225,222.5,0.00034188,0.0017094,3
230,235,232.5,0.00011396,0.000569801,1
240,245,242.5,0.00011396,0.000569801,1
255,260,257.5,0.00022792,0.0011396,2
260,265,262.5,0.00011396,0.000569801,1
270,275,272.5,0.00011396,0.000569801,1
275,280,277.5,0.00011396,0.000569801,1
280,285,282.5,0.00011396,0.000569801,1
290,295,292.5,0.00011396,0.000569801,1
310,315,312.5,0.00011396,0.000569801,1
330,335,332.5,0.00011396,0.000569801,1
335,340,337.5,0.00011396,0.000569801,1
340,345,342.5,0.0011396,0.00569801,10
345,350,347.5,0.000797721,0.0039886,7
350,355,352.5,0.000683761,0.0034188,6
355,360,357.5,0.00045584,0.0022792,4
360,365,362.5,0.00034188,0.0017094,3
365,370,367.5,0.00022792,0.0011396,2
370,375,372.5,0.00045584,0.0022792,4
375,380,377.5,0.00034188,0.0017094,3
380,385,382.5,0.000683761,0.0034188,6
385,390,387.5,0.00011396,0.000569801,1
390,395,392.5,0.00011396,0.000569801,1
400,405,402.5,0.00022792,0.0011396,2
405,410,407.5,0.00011396,0.000569801,1
415,420,417.5,0.00022792,0.0011396,2
420,425,422.5,0.00034188,0.0017094,3
425,430,427.5,0.00011396,0.000569801,1
430,435,432.5,0.00011396,0.000569801,1
435,440,437.5,0.00011396,0.000569801,1
440,445,442.5,0.00022792,0.0011396,2
445,450,447.5,0.00011396,0.000569801,1
465,470,467.5,0.00022792,0.0011396,2
470,475,472.5,0.0176638,0.0883191,155
475,480,477.5,0.00011396,0.000569801,1
480,485,482.5,0.00011396,0.000569801,1
485,490,487.5,0.00011396,0.000569801,1
490,495,492.5,0.00011396,0.000569801,1
495,500,497.5,0.00022792,0.0011396,2
500,505,502.5,0.00022792,0.0011396,2
510,515,512.5,0.00022792,0.0011396,2
515,520,517.5,0.00034188,0.0017094,3
540,545,542.5,0.00011396,0.000569801,1
545,550,547.5,0.00045584,0.0022792,4
550,555,552.5,0.00011396,0.000569801,1
555,560,557.5,0.00022792,0.0011396,2
560,565,562.5,0.00011396,0.000569801,1
570,575,572.5,0.00011396,0.000569801,1
580,585,582.5,0.00011396,0.000569801,1
590,595,592.5,0.00011396,0.000569801,1
595,600,597.5,0.00011396,0.000569801,1
600,605,602.5,0.00364672,0.0182336,32
605,610,607.5,0.00034188,0.0017094,3
610,615,612.5,0.00011396,0.000569801,1
620,625,622.5,0.00011396,0.000569801,1
625,630,627.5,0.00011396,0.000569801,1
630,635,632.5,0.00022792,0.0011396,2
635,640,637.5,0.00045584,0.0022792,4
640,645,642.5,0.00011396,0.000569801,1
645,650,647.5,0.00011396,0.000569801,1
650,655,652.5,0.00011396,0.000569801,1
655,660,657.5,0.00011396,0.000569801,1
665,670,667.5,0.00034188,0.0017094,3
670,675,672.5,0.00011396,0.000569801,1
675,680,677.5,0.00022792,0.0011396,2
685,690,687.5,0.00022792,0.0011396,2
690,695,692.5,0.00034188,0.0017094,3
695,700,697.5,0.00011396,0.000569801,1
705,710,707.5,0.00011396,0.000569801,1
710,715,712.5,0.00011396,0.000569801,1
725,730,727.5,0.00022792,0.0011396,2
730,735,732.5,0.00034188,0.0017094,3
735,740,737.5,0.00022792,0.0011396,2
740,745,742.5,0.00615385,0.0307692,54
745,750,747.5,0.00011396,0.000569801,1
755,760,757.5,0.00011396,0.000569801,1
765,770,767.5,0.00011396,0.000569801,1
770,775,772.5,0.00034188,0.0017094,3
780,785,782.5,0.00045584,0.0022792,4
790,795,792.5,0.00011396,0.000569801,1
800,805,802.5,0.00022792,0.0011396,2
805,810,807.5,0.00011396,0.000569801,1
820,825,822.5,0.00011396,0.000569801,1
825,830,827.5,0.00022792,0.0011396,2
830,835,832.5,0.00022792,0.0011396,2
845,850,847.5,0.00011396,0.000569801,1
850,855,852.5,0.00011396,0.000569801,1
860,865,862.5,0.00022792,0.0011396,2
865,870,867.5,0.00262108,0.0131054,23
870,875,872.5,0.00011396,0.000569801,1
875,880,877.5,0.00011396,0.000569801,1
895,900,897.5,0.00011396,0.000569801,1
905,910,907.5,0.00022792,0.0011396,2
910,915,912.5,0.00034188,0.0017094,3
925,930,927.5,0.00011396,0.000569801,1
945,950,947.5,0.00011396,0.000569801,1
955,960,957.5,0.00011396,0.000569801,1
990,995,992.5,0.00034188,0.0017094,3
1000,1005,1002.5,0.002849,0.014245,25
1005,1010,1007.5,0.00011396,0.000569801,1
1020,1025,1022.5,0.00011396,0.000569801,1
1025,1030,1027.5,0.00022792,0.0011396,2
1040,1045,1042.5,0.00022792,0.0011396,2
1045,1050,1047.5,0.00022792,0.0011396,2
1050,1055,1052.5,0.00034188,0.0017094,3
1055,1060,1057.5,0.00022792,0.0011396,2
1060,1065,1062.5,0.00011396,0.000569801,1
1070,1075,1072.5,0.00011396,0.000569801,1
1075,1080,1077.5,0.00011396,0.000569801,1
1090,1095,1092.5,0.00022792,0.0011396,2
1095,1100,1097.5,0.00011396,0.000569801,1
1110,1115,1112.5,0.000569801,0.002849,5
1115,1120,1117.5,0.00011396,0.000569801,1
1120,1125,1122.5,0.00034188,0.0017094,3
