bin_start_us,bin_end_us,bin_mid_us,pdf_per_us,probability,count
380,385,382.5,0.0424517,0.212258,516
385,390,387.5,0.0352118,0.176059,428
390,395,392.5,0.00238585,0.0119292,29
395,400,397.5,0.0095434,0.047717,116
400,405,402.5,0.00682847,0.0341423,83
405,410,407.5,0.00164541,0.00822707,20
410,415,412.5,0.00131633,0.00658165,16
415,420,417.5,0.00189223,0.00946113,23
420,425,422.5,0.000904977,0.00452489,11
425,430,427.5,8.22707e-05,0.000411353,1
490,495,492.5,0.00855615,0.0427807,104
495,500,497.5,0.0115179,0.0575895,140
500,505,502.5,0.000411353,0.00205677,5
520,525,522.5,8.22707e-05,0.000411353,1
665,670,667.5,8.22707e-05,0.000411353,1
730,735,732.5,0.00148087,0.00740436,18
735,740,737.5,0.0120115,0.0600576,146
740,745,742.5,0.00699301,0.034965,85
745,750,747.5,8.22707e-05,0.000411353,1
750,755,752.5,0.00452489,0.0226244,55
755,760,757.5,0.0115179,0.0575895,140
760,765,762.5,0.0047717,0.0238585,58
765,770,767.5,0.000164541,0.000822707,2
780,785,782.5,0.00575895,0.0287947,70
785,790,787.5,0.00839161,0.041958,102
790,795,792.5,0.000658165,0.00329083,8
910,915,912.5,8.22707e-05,0.000411353,1
950,955,952.5,0.00929659,0.0464829,113
955,960,957.5,0.0111888,0.0559441,136
1150,1155,1152.5,8.22707e-05,0.000411353,1
1370,1375,1372.5,8.22707e-05,0.000411353,1
