VO_Ratio,nSta,Scenario,Avg_Delay_us,Avg_Throughput_Mbps,Avg_Loss_Percent,Avg_Retx_Ratio
0.1,2,pedca_scenario,231.8190,0.0500,0.0000,0.0000
0.1,2,edca_scenario,231.7880,0.0500,0.0000,0.0000
0.1,4,pedca_scenario,215.9910,0.0500,0.0000,0.0000
0.1,4,edca_scenario,215.9910,0.0500,0.0000,0.0000
0.1,6,pedca_scenario,227.0640,0.0500,0.0000,0.0000
0.1,6,edca_scenario,227.0640,0.0500,0.0000,0.0000
0.1,8,pedca_scenario,233.2910,0.0500,0.0000,0.0000
0.1,8,edca_scenario,233.3880,0.0500,0.0000,0.0000
0.1,10,edca_scenario,255.9800,0.0500,0.0000,0.0000
0.1,10,pedca_scenario,255.8210,0.0500,0.0000,0.0000
0.1,12,edca_scenario,232.5450,0.0500,0.0000,0.0000
0.1,12,pedca_scenario,232.5450,0.0500,0.0000,0.0000
0.1,14,edca_scenario,257.3270,0.0500,0.0000,0.0020
0.1,14,pedca_scenario,257.3270,0.0500,0.0000,0.0020
0.1,16,pedca_scenario,255.2050,0.0500,0.0000,0.0490
0.1,16,edca_scenario,255.3690,0.0500,0.0000,0.0560
0.1,18,edca_scenario,285.1210,0.0500,0.0000,0.1270
0.1,18,pedca_scenario,289.9680,0.0500,0.0000,0.1270
0.1,20,pedca_scenario,263.2660,0.0500,0.0000,0.0100
0.1,20,edca_scenario,261.4220,0.0500,0.0000,0.0100
0.1,22,pedca_scenario,291.7290,0.0500,0.0000,0.1110
0.1,22,edca_scenario,284.6820,0.0500,0.0000,0.1040
0.1,24,pedca_scenario,330.5140,0.0500,0.0000,0.0440
0.1,24,edca_scenario,331.8340,0.0500,0.0000,0.0390
0.1,26,pedca_scenario,303.3290,0.0500,0.0000,0.0130
0.1,26,edca_scenario,306.5290,0.0500,0.0000,0.0160
0.1,28,edca_scenario,304.4460,0.0500,0.0000,0.0220
0.1,28,pedca_scenario,303.8390,0.0500,0.0000,0.0210
0.1,30,edca_scenario,352.4130,0.0500,0.0000,0.0450
0.1,30,pedca_scenario,356.4030,0.0500,0.0000,0.0440
0.1,32,edca_scenario,395.1930,0.0500,0.0000,0.0590
0.1,32,pedca_scenario,375.2010,0.0500,0.0000,0.0410
0.1,34,pedca_scenario,335.0320,0.0500,0.0000,0.0450
0.1,34,edca_scenario,343.5540,0.0500,0.0000,0.0430
0.1,36,edca_scenario,379.3960,0.0500,0.0000,0.0590
0.1,36,pedca_scenario,377.0740,0.0500,0.0000,0.0640
0.1,38,pedca_scenario,317.3200,0.0500,0.0000,0.0260
0.05,2,pedca_scenario,218.3580,0.0220,0.0000,0.0000
0.05,2,edca_scenario,218.3580,0.0220,0.0000,0.0000
0.05,4,pedca_scenario,232.5170,0.0220,0.0000,0.0000
0.05,4,edca_scenario,232.5160,0.0220,0.0000,0.0000
0.05,6,pedca_scenario,218.1730,0.0210,0.0000,0.0000
