VO_Ratio,nSta,Scenario,Avg_Delay_us,Avg_Throughput_Mbps,Avg_Loss_Percent,Avg_Retx_Ratio
0.1,2,pedca_scenario,231.1370,0.1000,0.0000,0.0000
0.1,2,edca_scenario,231.2010,0.1000,0.0000,0.0000
0.1,4,edca_scenario,217.0070,0.1000,0.0000,0.0000
0.1,4,pedca_scenario,217.0070,0.1000,0.0000,0.0000
0.1,6,pedca_scenario,227.0140,0.1000,0.0000,0.0000
0.1,6,edca_scenario,227.0140,0.1000,0.0000,0.0000
0.1,8,pedca_scenario,233.2110,0.1000,0.0000,0.0000
0.1,8,edca_scenario,232.9850,0.1000,0.0000,0.0000
0.1,10,edca_scenario,286.3350,0.1000,0.0000,0.0030
0.1,10,pedca_scenario,287.7950,0.1000,0.0000,0.0050
0.1,12,edca_scenario,285.8540,0.1000,0.0000,0.0400
0.1,12,pedca_scenario,286.8700,0.1000,0.0000,0.0360
0.1,14,pedca_scenario,320.5010,0.1000,0.0000,0.0290
0.1,14,edca_scenario,317.6400,0.1000,0.0000,0.0400
0.1,16,pedca_scenario,390.6410,0.1000,0.0000,0.0750
0.1,16,edca_scenario,391.5360,0.1000,0.0000,0.0770
0.1,18,pedca_scenario,333.3710,0.1000,0.0000,0.1310
0.1,18,edca_scenario,344.1140,0.1000,0.0000,0.1420
0.1,20,edca_scenario,314.5050,0.1000,0.0000,0.0630
0.1,20,pedca_scenario,304.7070,0.1000,0.0000,0.0370
0.1,22,edca_scenario,457.0240,0.1000,0.0000,0.1980
0.1,22,pedca_scenario,479.9660,0.1000,0.0000,0.2140
0.1,24,edca_scenario,477.5960,0.1000,0.0000,0.1430
0.1,24,pedca_scenario,484.7840,0.1000,0.0000,0.1500
0.1,26,pedca_scenario,557.8330,0.1000,0.0000,0.1970
0.1,26,edca_scenario,540.7370,0.1000,0.0000,0.2140
0.1,28,pedca_scenario,631.2780,0.1000,0.0000,0.2650
0.1,28,edca_scenario,634.5710,0.1000,0.0000,0.3040
0.1,30,edca_scenario,604.1510,0.1000,0.0000,0.2730
0.1,30,pedca_scenario,642.0650,0.1000,0.0000,0.2900
0.1,32,pedca_scenario,856.3530,0.1000,0.0000,0.4060
0.1,32,edca_scenario,905.3970,0.1000,0.1790,0.4990
0.1,34,pedca_scenario,830.0700,0.1000,0.0000,0.3950
0.1,34,edca_scenario,902.1770,0.1000,0.0890,0.4880
0.1,36,edca_scenario,1641.9460,0.1000,1.1570,0.8650
0.1,36,pedca_scenario,1610.2070,0.1000,0.4480,0.7220
0.1,38,pedca_scenario,2244.8950,0.0990,1.7110,0.9340
0.1,38,edca_scenario,2162.9020,0.0960,2.9760,0.9950
