nSta,DataRate,AC,Throughput_Mbps,Loss_Pct,Retries,QueueDelay_us,AirDelay_us
10,0.1Mbps,BE,1.05544,0.0,0.0030303,0.0,202.0
10,0.1Mbps,BK,1.06611,0.0,0.0242669,0.0,202.0
10,0.1Mbps,VI,1.05651,0.0,0.0121335,0.0,202.0
10,0.1Mbps,VO,1.05651,0.0,0.0030303,0.0,202.0
10,0.5Mbps,BE,5.73032,0.0,0.419472,0.0,244.122
10,0.5Mbps,BK,2.54799,11.6451,0.339002,13047.0,202.0
10,0.5Mbps,VI,5.59705,0.0,0.295675,0.0,202.0
10,0.5Mbps,VO,5.54908,0.0,0.302222,0.0,202.0
10,1Mbps,BE,0.497871,42.203,0.0730198,0.0,4280.96
10,1Mbps,BK,0.00959495,52.6316,0.0,5691.6,202.0
10,1Mbps,VI,11.1259,0.0,0.570113,3014.0,1153.43
10,1Mbps,VO,10.7805,0.0,1.84281,0.0,202.0
10,5Mbps,BE,1.26889,8.22444,0.00307456,471822.0,5348.2
10,5Mbps,BK,0.0,0.0,0.0,0.0,0.0
10,5Mbps,VI,18.6579,7.3919,0.0468949,1124.5,3914.96
10,5Mbps,VO,24.3317,0.126904,0.0230614,754.5,202.0
10,10Mbps,BE,0.513019,7.61905,0.0247619,49034.0,5268.95
10,10Mbps,BK,0.0,0.0,0.0,0.0,0.0
10,10Mbps,VI,19.0513,4.01762,0.0326566,54670.5,3851.69
10,10Mbps,VO,25.0673,0.0,0.0951591,166.833,202.0
10,50Mbps,BE,1.84436,5.67067,0.00163577,275273.0,5355.18
10,50Mbps,BK,0.0,0.0,0.0,0.0,0.0
10,50Mbps,VI,19.6163,0.0,0.120507,11791.4,3942.33
10,50Mbps,VO,23.8104,0.0,0.125149,61.0,202.0
20,0.1Mbps,BE,2.13025,0.0,0.0464178,315.75,201.778
20,0.1Mbps,BK,2.10769,0.0,0.0146761,828.667,202.0
20,0.1Mbps,VI,2.12901,0.0,0.0963489,122.333,202.0
20,0.1Mbps,VO,2.10982,0.0,0.0161861,48.6667,202.0
20,0.5Mbps,BE,0.180728,62.1564,0.0486258,127469.0,3015.12
20,0.5Mbps,BK,0.00106611,87.5,0.0,9645.75,202.0
20,0.5Mbps,VI,9.61414,0.0,0.959826,2486.4,1159.68
20,0.5Mbps,VO,6.15356,35.5516,4.44317,863.0,202.0
20,1Mbps,BE,0.268371,51.1971,0.0589319,136298.0,4767.31
20,1Mbps,BK,0.0127933,36.8421,0.0,5376.38,202.0
20,1Mbps,VI,15.4628,3.38396,0.287303,2918.27,2882.55
20,1Mbps,VO,15.7251,9.29775,1.16093,946.5,202.0
20,5Mbps,BE,1.54202,5.39846,0.0392031,70962.2,4861.39
20,5Mbps,BK,0.00426442,20.0,0.0,1322.0,202.0
20,5Mbps,VI,17.2602,8.4276,0.0627828,632.25,3661.48
20,5Mbps,VO,22.6238,2.11274,0.0344128,425.0,202.0
20,10Mbps,BE,0.688982,14.6789,0.00917431,323082.0,5325.2
20,10Mbps,BK,0.0,0.0,0.0,0.0,0.0
20,10Mbps,VI,19.2027,5.32457,0.0311695,410.75,3939.94
20,10Mbps,VO,25.0343,0.0,0.107488,217.4,202.0
20,50Mbps,BE,0.629947,2.25443,0.00483092,245543.0,5115.14
20,50Mbps,BK,0.0,0.0,0.0,0.0,0.0
20,50Mbps,VI,19.0033,0.0,3.35472,4196.0,3958.0
20,50Mbps,VO,26.1121,0.0,4.97635,37.0,202.0
